NC,MLP,RF-4,RF-2,label,classifier_n
1.0,1.0,0.9705882352941176,0.8235294117647058,bone_marrow_-_hematopoietic_cells_2,39
1.0,1.0,1.0,0.9950980392156863,breast_-_adipocytes_2,39
1.0,1.0,0.9705882352941176,0.9313725490196079,breast_-_myoepithelial_cells_2,39
1.0,1.0,0.9411764705882353,0.7598039215686274,bronchus_-_respiratory_epithelial_cells_2,39
1.0,1.0,1.0,0.9558823529411765,cerebellum_-_cells_in_molecular_layer_2,39
1.0,1.0,0.9754901960784313,0.9607843137254902,cerebral_cortex_-_neuropil_2,39
1.0,0.9901960784313726,0.9705882352941176,0.7254901960784313,"cervix,_uterine_-_glandular_cells_2",39
1.0,1.0,0.9656862745098039,0.9509803921568627,colon_-_peripheral_nerve-ganglion_2,39
1.0,1.0,0.946078431372549,0.8970588235294118,esophagus_-_squamous_epithelial_cells_2,39
1.0,1.0,0.9852941176470589,0.9705882352941176,fallopian_tube_-_glandular_cells_2,39
0.9950980392156863,0.9852941176470589,0.9705882352941176,0.9852941176470589,gallbladder_-_glandular_cells_2,39
1.0,1.0,0.9950980392156863,0.9901960784313726,heart_muscle_-_myocytes_2,39
1.0,1.0,0.8872549019607843,0.8725490196078431,hippocampus_-_glial_cells_2,39
0.9950980392156863,0.9950980392156863,0.9901960784313726,0.9754901960784313,kidney_-_cells_in_glomeruli_2,39
1.0,1.0,0.9803921568627451,0.8872549019607843,kidney_-_cells_in_tubules_2,39
1.0,1.0,0.9901960784313726,0.9264705882352942,lateral_ventricle_-_glial_cells_2,39
1.0,1.0,0.9509803921568627,0.8676470588235294,lateral_ventricle_-_neuronal_cells_2,39
1.0,1.0,0.946078431372549,0.9362745098039216,liver_-_hepatocytes_2,39
0.9950980392156863,0.9950980392156863,0.9852941176470589,0.946078431372549,lung_-_pneumocytes_2,39
1.0,1.0,0.9950980392156863,0.9803921568627451,nasopharynx_-_respiratory_epithelial_cells_2,39
1.0,1.0,0.8774509803921569,0.8284313725490197,ovary_-_follicle_cells_2,39
1.0,1.0,0.9705882352941176,0.7009803921568627,ovary_-_ovarian_stroma_cells_2,39
1.0,1.0,0.9607843137254902,0.7892156862745098,rectum_-_glandular_cells_2,39
1.0,1.0,0.946078431372549,0.7843137254901961,salivary_gland_-_glandular_cells_2,39
1.0,1.0,0.9852941176470589,0.946078431372549,seminal_vesicle_-_glandular_cells_2,39
