emb0,emb1,emb2,emb3,emb4,emb5,emb6,emb7,emb8,emb9,emb10,emb11,emb12,emb13,emb14,emb15,emb16,emb17,emb18,emb19,emb20,emb21,emb22,emb23,emb24,emb25,emb26,emb27,emb28,emb29,emb30,emb31,label,file_n,sample_n,file_name,loss,reconstruction_loss,divergence_loss,stoicheometry_loss
2.3688314,11.123524,-0.03986144,11.281816,-0.42463493,28.552834,7.208919,2.7370021,108.49574,110.52654,147.69298,5.7864275,12.630421,10.132635,-2.39333,-11.147966,11.256565,3.779212,11.71389,15.246237,-0.5621705,-2.2505,0.9718791,-0.50520283,88.668335,7.4926023,78.84983,146.0712,27.571783,26.973516,7.144969,26.996613,liver cancer - patient 2177,0,9394,liver cancer - patient 2177_10000,2090306.9,2056288.8,34018.145,0.0
4.8157053,2.439698,4.4857783,6.829774,3.8446913,2.2159557,12.394268,6.2100058,0.75369465,1.8303593,1.1647112,1.8693666,4.5489936,1.8508968,2.486526,-1.2913947,3.6325488,6.9981565,3.7627048,3.2780166,2.38908,0.9218155,5.661151,5.7507005,1.2265096,1.2182853,-0.75552636,4.536352,4.3213973,1.8975761,1.7746621,1.5509002,liver cancer - patient 2177,0,898,liver cancer - patient 2177_10000,24223.059,24093.303,129.75589,0.0
16.348017,6.650091,12.516649,25.464813,11.268152,3.0786667,140.7934,25.457392,-0.68822944,2.0831132,5.449567,5.319714,14.951509,5.387562,5.6009483,-4.660959,7.5415864,35.80235,12.650505,8.182951,6.3042445,0.5772093,20.499775,16.561363,2.5396645,1.9369466,-1.5095308,16.171436,11.23101,2.9852033,1.1148342,2.314373,liver cancer - patient 2177,0,2398,liver cancer - patient 2177_10000,434809.34,425221.5,9587.852,0.0
1.860835,8.095644,8.0612755,4.0767913,5.714098,5.789252,3.950635,10.392672,1.4753684,11.117102,14.197128,4.102046,6.1585875,13.169943,0.98443353,-7.395162,1.995806,3.755198,-0.93508464,11.17418,2.3698082,-2.8831058,4.2342334,13.008636,4.4957943,-1.6191418,2.187945,10.624509,6.374723,1.0020587,-7.3354163,10.187061,liver cancer - patient 2177,0,5906,liver cancer - patient 2177_10000,23517.129,23063.93,453.19946,0.0
9.022114,3.770209,7.7822,13.543835,6.885127,1.920866,39.418694,12.082632,-0.5645961,1.1356885,3.0773058,4.0021296,8.874393,3.701761,4.3224936,-2.6610985,4.86627,16.22167,7.474725,5.2763433,4.247427,0.9942097,11.775976,10.53244,2.0374684,1.345672,-1.0139086,8.710263,6.2778635,2.1406832,1.7328659,1.659374,liver cancer - patient 2177,0,2343,liver cancer - patient 2177_10000,72651.44,71803.94,847.49896,0.0
10.627928,1.1830207,-3.267384,7.155764,-2.7763414,9.759024,9.875161,-2.7005272,58.21267,21.22556,19.26786,5.3659134,4.0988317,-2.8232634,-2.408068,0.6895771,4.185111,7.287928,19.292679,0.6783708,-4.720669,0.38335162,-1.6066425,-5.830692,29.292212,9.423483,44.979626,16.623201,17.911646,26.713705,44.09702,7.446349,liver cancer - patient 2177,0,8225,liver cancer - patient 2177_10000,451658.4,447938.06,3720.3386,0.0
15.529449,0.03940493,-2.1168947,3.4505816,0.92042136,4.2942348,6.365324,-3.9563146,24.930595,9.333404,3.5004945,4.3041573,6.2433863,-3.6420195,1.105459,10.630144,0.43533355,9.494801,5.221899,-0.56326544,-6.1300616,1.1651717,-0.7299674,-1.8136023,7.9864697,4.50009,16.44146,1.20283,10.827013,12.52437,19.00833,5.0077496,liver cancer - patient 2177,0,5506,liver cancer - patient 2177_10000,161140.39,160465.72,674.6644,0.0
1.9668486,3.0241756,0.30359298,3.81138,-0.11513686,5.678318,1.9162784,0.99096316,7.9804316,8.128137,9.28931,1.8434598,3.2077107,2.7112129,-0.6868457,-3.0808887,2.5037634,2.15653,3.8057842,4.496986,-0.5097264,-0.75320476,0.55499154,-0.6633543,7.8878713,2.1537323,8.208238,8.273085,5.493631,5.9233484,3.5573072,5.619786,liver cancer - patient 2177,0,6451,liver cancer - patient 2177_10000,77615.38,77449.56,165.8241,0.0
11.876423,4.1988344,9.460472,23.293797,10.959579,2.4630466,77.86932,14.511702,-0.48759925,1.4888579,2.8261976,3.378975,12.129183,3.1811585,5.679222,-2.7584872,6.32207,24.223137,8.715744,8.683904,4.9178553,2.5170367,18.988869,15.86495,2.2080078,1.5685204,-1.6170835,10.300798,8.201606,3.335577,3.7182753,1.1000197,liver cancer - patient 2177,0,2670,liver cancer - patient 2177_10000,190985.06,187959.1,3025.9688,0.0
5.8183136,4.6760397,7.4585457,8.775447,6.6053987,3.5364673,20.309097,12.122788,0.93549955,3.4051857,6.6598053,2.880469,7.7489467,5.4729977,3.494641,-3.9884038,3.2383685,10.94142,4.2946796,4.9441605,4.6525226,-1.162112,7.878919,9.4560795,2.379805,1.0099063,0.08266389,9.398906,7.923629,1.9822433,-1.7070026,3.4834895,liver cancer - patient 2177,0,3497,liver cancer - patient 2177_10000,52170.113,51790.176,379.93774,0.0
