epoch,loss,reconstruction_loss,divergence_loss,stoicheometry_loss,test_loss,test_reconstruction_loss,test_divergence_loss,test_stoicheometry_loss,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,save_test_min,weight_decay,beta_S,main_folder,losses_file,run
0,3306.9391600000004,3264.827475,42.1116897,0.0,3378.930515,3340.07906,38.85146855,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
1,2873.502605,2843.660895,29.84170045,0.0,3051.818755,3023.456525,28.36222515,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
2,2579.84461,2548.630515,31.21408255,0.0,2800.399415,2770.7696800000003,29.62972595,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
3,2357.040455,2326.105565,30.934894800000002,0.0,2681.72916,2652.951815,28.777351099999997,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
4,2094.67555,2059.79276,34.882750699999995,0.0,2573.07389,2543.8591100000003,29.214749,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
5,1825.15416,1785.326655,39.8275015,0.0,2481.659505,2450.713955,30.94555345,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
6,1610.195075,1568.7573550000002,41.4377279,0.0,2430.8484,2399.687385,31.161024750000003,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
7,1407.141455,1361.43057,45.71086755,0.0,2386.78014,2354.51737,32.2628013,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
8,1241.620565,1193.35755,48.26301325,0.0,2354.64579,2321.10581,33.53996305,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
9,1089.9675925,1040.387395,49.5802137,0.0,2335.8139650000003,2302.15574,33.6582502,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
