epoch,loss,reconstruction_loss,divergence_loss,stoicheometry_loss,test_loss,test_reconstruction_loss,test_divergence_loss,test_stoicheometry_loss,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,save_test_min,weight_decay,beta_S,main_folder,losses_file,run
0,6920.654250253808,6919.561423857867,1.0928132055837563,0.0,6940.281429441625,6939.172113197969,1.1093223766497462,0.0,32,256,0,2,2,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0/losses.csv,0
1,6439.969704568528,6438.932373096447,1.0373120233502537,0.0,6467.883183248731,6466.827083756345,1.0560950040609138,0.0,32,256,0,2,2,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0/losses.csv,0
2,6109.896079695432,6108.8681964467005,1.0278785365482233,0.0,6127.939370558376,6126.895291878172,1.044072702030457,0.0,32,256,0,2,2,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0/losses.csv,0
3,5828.994888832488,5827.969610152284,1.0252962852791878,0.0,5851.2342269035535,5850.193906091371,1.0403121208121828,0.0,32,256,0,2,2,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0/losses.csv,0
4,5607.083676649746,5606.058572588832,1.0251154563451776,0.0,5622.641197969544,5621.601835025381,1.0393770253807106,0.0,32,256,0,2,2,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0/losses.csv,0
5,5407.005947208122,5405.9800000000005,1.0259370659898477,0.0,5428.189305583756,5427.150111167513,1.0391974923857867,0.0,32,256,0,2,2,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0/losses.csv,0
6,5245.41546751269,5244.389111167513,1.0263499456852792,0.0,5262.4207954314725,5261.3815746192895,1.039225140101523,0.0,32,256,0,2,2,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0/losses.csv,0
7,5102.881978172589,5101.852584263959,1.0293952385786802,0.0,5124.028829949239,5122.987652284264,1.0411797944162435,0.0,32,256,0,2,2,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0/losses.csv,0
8,4985.213040609137,4984.180765989848,1.0322690467005076,0.0,5004.485238578681,5003.441866497462,1.0433683720812184,0.0,32,256,0,2,2,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0/losses.csv,0
9,4875.660725380711,4874.626152284263,1.0345670862944163,0.0,4901.244211675127,4900.1986659898475,1.0455724360406091,0.0,32,256,0,2,2,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0/losses.csv,0
10,4796.081896446701,4795.044205076142,1.0376899015228427,0.0,4812.323343147208,4811.2751553299495,1.048199683248731,0.0,32,256,0,2,2,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0/losses.csv,0
11,4720.008698984771,4718.967870050761,1.04083499035533,0.0,4735.238611675127,4734.187757360406,1.0508728878172588,0.0,32,256,0,2,2,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0/losses.csv,0
12,4643.722894923858,4642.678262944162,1.0446425299492386,0.0,4669.315378680203,4668.261216751269,1.0541297208121827,0.0,32,256,0,2,2,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0/losses.csv,0
13,4594.526793908629,4593.478822335025,1.0479806441624366,0.0,4611.518205583756,4610.461087309644,1.0570837619289342,0.0,32,256,0,2,2,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0/losses.csv,0
14,4541.142381218275,4540.090944162436,1.0514602675126903,0.0,4561.341930964467,4560.281617258884,1.0602938609137056,0.0,32,256,0,2,2,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0/losses.csv,0
15,4497.110598984771,4496.055395431472,1.0551865944162435,0.0,4517.654467512691,4516.590887309645,1.0635869324873097,0.0,32,256,0,2,2,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0/losses.csv,0
16,4465.953626903553,4464.89516751269,1.0584465020304568,0.0,4479.4602883248735,4478.393643147208,1.0666483588832487,0.0,32,256,0,2,2,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0/losses.csv,0
17,4422.374705583757,4421.312773096447,1.0619559279187816,0.0,4445.880741624365,4444.81092893401,1.0698013680203045,0.0,32,256,0,2,2,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0/losses.csv,0
18,4396.251236040609,4395.185758375635,1.0654868725888325,0.0,4416.4334868020305,4415.360479187817,1.0730064776649746,0.0,32,256,0,2,2,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/emb_lay/runs/0/losses.csv,0
