epoch,loss,reconstruction_loss,divergence_loss,stoicheometry_loss,test_loss,test_reconstruction_loss,test_divergence_loss,test_stoicheometry_loss,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,save_test_min,weight_decay,beta_S,use_beta_S_in_test_loss,test_beta_S,main_folder,losses_file,run
0,843.8162866666667,817.770265263158,26.04601847368421,0.0,861.2845778947368,834.9917871929824,26.292794333333333,0.0,64,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,16,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/agren_40_bs/runs/0,./data/tuner/agren_40_bs/runs/0/losses.csv,0
1,563.9958936842105,539.3334214035087,24.66247061403509,0.0,602.347291754386,577.4114482456141,24.935846070175437,0.0,64,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,16,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/agren_40_bs/runs/0,./data/tuner/agren_40_bs/runs/0/losses.csv,0
2,520.9326992982457,497.1156915789474,23.81700696491228,0.0,538.8542677192983,515.164949122807,23.689318807017543,0.0,64,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,16,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/agren_40_bs/runs/0,./data/tuner/agren_40_bs/runs/0/losses.csv,0
3,460.3797887719298,437.11631385964915,23.263469754385962,0.0,505.1329510526316,481.7336459649123,23.399304298245614,0.0,64,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,16,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/agren_40_bs/runs/0,./data/tuner/agren_40_bs/runs/0/losses.csv,0
4,448.78874631578947,425.21489105263163,23.573854052631578,0.0,483.53356263157895,460.12861912280704,23.40494298245614,0.0,64,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,16,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/agren_40_bs/runs/0,./data/tuner/agren_40_bs/runs/0/losses.csv,0
5,421.39076105263155,398.0262245614035,23.3645380877193,0.0,466.8515828070175,443.38615280701754,23.465430666666666,0.0,64,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,16,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/agren_40_bs/runs/0,./data/tuner/agren_40_bs/runs/0/losses.csv,0
6,408.74375421052633,385.3416717543859,23.40208343859649,0.0,455.40396157894736,431.92524333333336,23.478717929824562,0.0,64,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,16,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/agren_40_bs/runs/0,./data/tuner/agren_40_bs/runs/0/losses.csv,0
7,391.5077371929824,368.0871845614035,23.420550473684212,0.0,445.7208984210526,422.2071914035088,23.513705894736844,0.0,64,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,16,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/agren_40_bs/runs/0,./data/tuner/agren_40_bs/runs/0/losses.csv,0
8,383.42976614035086,360.1398092982456,23.289955789473684,0.0,437.33092315789474,413.7379628070176,23.592961842105264,0.0,64,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,16,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/agren_40_bs/runs/0,./data/tuner/agren_40_bs/runs/0/losses.csv,0
9,367.2907429824561,343.8856684210526,23.40507484210526,0.0,430.8674210526316,407.16879280701755,23.698629228070175,0.0,64,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,16,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/agren_40_bs/runs/0,./data/tuner/agren_40_bs/runs/0/losses.csv,0
