epoch,loss,reconstruction_loss,divergence_loss,stoicheometry_loss,test_loss,test_reconstruction_loss,test_divergence_loss,test_stoicheometry_loss,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,save_test_min,weight_decay,beta_S,use_beta_S_in_test_loss,test_beta_S,main_folder,losses_file,run
0,1285.3399466666667,1261.29014,24.049797066666667,0.0,1288.3340933333334,1264.2540133333334,24.080082866666665,0.0,64,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,16,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/agren_40_lr/runs/0,./data/tuner/agren_40_lr/runs/0/losses.csv,0
1,1084.1167466666668,1056.44648,27.670259866666665,0.0,1109.6678133333332,1081.0204733333333,28.647338466666668,0.0,64,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,16,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/agren_40_lr/runs/0,./data/tuner/agren_40_lr/runs/0/losses.csv,0
2,1021.297928,992.24071,29.057216666666665,0.0,1018.873686,989.5121486666667,29.3615314,0.0,64,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,16,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/agren_40_lr/runs/0,./data/tuner/agren_40_lr/runs/0/losses.csv,0
3,904.9185533333333,874.9438466666667,29.9747076,0.0,940.4586246666667,909.6207246666667,30.837903200000003,0.0,64,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,16,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/agren_40_lr/runs/0,./data/tuner/agren_40_lr/runs/0/losses.csv,0
4,875.6569286666667,846.6281546666667,29.0287722,0.0,892.3616106666667,862.657732,29.703880466666664,0.0,64,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,16,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/agren_40_lr/runs/0,./data/tuner/agren_40_lr/runs/0/losses.csv,0
5,844.8692266666666,815.9293493333333,28.939885866666668,0.0,857.4337933333334,828.1670793333334,29.266721933333333,0.0,64,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,16,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/agren_40_lr/runs/0,./data/tuner/agren_40_lr/runs/0/losses.csv,0
6,812.5332193333332,782.5966380000001,29.936571,0.0,823.881806,794.6237286666667,29.258073866666667,0.0,64,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,16,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/agren_40_lr/runs/0,./data/tuner/agren_40_lr/runs/0/losses.csv,0
7,795.8630833333334,766.5464966666666,29.316577133333332,0.0,792.163324,762.6620293333333,29.5012956,0.0,64,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,16,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/agren_40_lr/runs/0,./data/tuner/agren_40_lr/runs/0/losses.csv,0
8,769.0463333333333,739.211594,29.834734333333333,0.0,764.1715633333333,734.6287046666667,29.542855866666667,0.0,64,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,16,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/agren_40_lr/runs/0,./data/tuner/agren_40_lr/runs/0/losses.csv,0
9,748.14948,718.83803,29.311449666666665,0.0,744.051056,715.1144126666667,28.936658,0.0,64,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,16,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/agren_40_lr/runs/0,./data/tuner/agren_40_lr/runs/0/losses.csv,0
