epoch,loss,reconstruction_loss,divergence_loss,stoicheometry_loss,test_loss,test_reconstruction_loss,test_divergence_loss,test_stoicheometry_loss,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,save_test_min,weight_decay,beta_S,use_beta_S_in_test_loss,test_beta_S,main_folder,losses_file,run
0,1173.9028537946429,1147.5374229910715,26.365430542410714,0.0,1189.4563853348213,1163.01946171875,26.436922029017857,0.0,256,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,8,1,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/models/agren_40_long/,./data/models/agren_40_long/losses.csv,0
1,875.7551196875,846.8159020089286,28.939218488839288,0.0,896.2144983258929,867.3375293526786,28.876969220982144,0.0,256,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,8,1,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/models/agren_40_long/,./data/models/agren_40_long/losses.csv,0
2,753.4993985267857,726.1441526562501,27.355243691964287,0.0,781.2598586160714,754.0408169866071,27.21904378125,0.0,256,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,8,1,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/models/agren_40_long/,./data/models/agren_40_long/losses.csv,0
3,686.1926900892857,659.2505328125,26.942159633928572,0.0,716.1001060267856,689.2643544196428,26.83574996875,0.0,256,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,8,1,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/models/agren_40_long/,./data/models/agren_40_long/losses.csv,0
4,638.4140283482142,611.8402028348215,26.573825401785715,0.0,668.6112162053571,642.0782027232143,26.533012953125,0.0,256,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,8,1,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/models/agren_40_long/,./data/models/agren_40_long/losses.csv,0
5,604.2781384375,577.9035488392857,26.374589401785716,0.0,636.0858361160715,609.7383869196428,26.347447705357144,0.0,256,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,8,1,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/models/agren_40_long/,./data/models/agren_40_long/losses.csv,0
6,579.8890708705356,553.7631614285714,26.125909042410715,0.0,613.7455174999999,587.6767120758929,26.068805622767858,0.0,256,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,8,1,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/models/agren_40_long/,./data/models/agren_40_long/losses.csv,0
7,560.7244245758928,534.7482456696429,25.97617836830357,0.0,596.8736658928572,570.9864895758928,25.887177613839288,0.0,256,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,8,1,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/models/agren_40_long/,./data/models/agren_40_long/losses.csv,0
8,559.1039575892858,533.2325892857143,25.871367020089284,0.0,581.8886843526785,556.2486799776785,25.640001051339286,0.0,256,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,8,1,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/models/agren_40_long/,./data/models/agren_40_long/losses.csv,0
9,541.8022030803571,515.9592372321429,25.842965785714284,0.0,568.5458804241072,542.9430541741071,25.602825901785714,0.0,256,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,8,1,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,False,0.0,./data/models/agren_40_long/,./data/models/agren_40_long/losses.csv,0
