epoch,loss,reconstruction_loss,divergence_loss,stoicheometry_loss,test_loss,test_reconstruction_loss,test_divergence_loss,test_stoicheometry_loss,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,save_test_min,weight_decay,beta_S,use_beta_S_in_test_loss,test_beta_S,main_folder,losses_file,run
0,2306.9951583439492,2217.755826496815,89.23932867770701,0.0,3932.762732738853,3286.708006242038,646.0546470089173,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
1,1442.5802205095542,1415.8232008917198,26.757019561783437,0.0,1631.613276687898,1605.9054557961783,25.707819878980892,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
2,1193.4600045859872,1167.4210322675158,26.038971351592355,0.0,1414.6576862420382,1389.482622420382,25.175059903184714,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
3,1052.6785826242037,1026.7035539490446,25.97502758726115,0.0,1307.4489811464969,1282.1693700636943,25.27961332356688,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
4,938.3019282165604,911.1621627898089,27.139766927388532,0.0,1259.3601782165606,1233.133395923567,26.226780292993627,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
5,820.7009277834395,791.2745362802548,29.42639331592357,0.0,1256.3538145222929,1228.67306955414,27.680746806369427,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
6,687.9372874649682,655.788906700637,32.14838044585987,0.0,1280.547729044586,1251.857629299363,28.690097834394905,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
7,569.4729413757962,535.5685168280255,33.904424397452225,0.0,1297.8537932484078,1269.2198942675159,28.633902873885347,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
8,496.2354091592357,461.67449505732486,34.56091308025478,0.0,1308.9259810191083,1280.7599174522293,28.166058499363057,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
9,427.8455422675159,393.58560800000004,34.25993478343949,0.0,1301.9099356687898,1274.5034170700637,27.406516708280254,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
10,387.4611089299363,353.38453048407644,34.076579208917195,0.0,1301.0955143949045,1274.025394522293,27.070120943949046,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
