epoch,loss,reconstruction_loss,divergence_loss,stoicheometry_loss,test_loss,test_reconstruction_loss,test_divergence_loss,test_stoicheometry_loss,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,save_test_min,weight_decay,beta_S,use_beta_S_in_test_loss,test_beta_S,main_folder,losses_file,run
0,2860.5447527918777,2814.5263695431477,46.01838454822335,0.0,2958.020339593909,2912.79822284264,45.22212096954315,0.0,32,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0/losses.csv,0
1,2163.793173096447,2117.440942639594,46.35223404060914,0.0,2291.3876913705585,2245.2305010152286,46.157194543147206,0.0,32,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0/losses.csv,0
2,1883.2561223350253,1838.1899913705586,45.06613536548224,0.0,2033.185036040609,1989.4680411167512,43.716995776649746,0.0,32,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0/losses.csv,0
3,1667.2066203045683,1621.6207395939086,45.58587891878173,0.0,1841.5911578680202,1797.2746741116753,44.31648310659898,0.0,32,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0/losses.csv,0
4,1509.1037147208124,1464.2309015228427,44.872816695431474,0.0,1696.3848776649745,1652.3640441624366,44.020830269035535,0.0,32,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0/losses.csv,0
5,1404.7588081218273,1361.4946461928935,43.26416704568528,0.0,1603.9206309644671,1561.0995817258884,42.82104781725888,0.0,32,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0/losses.csv,0
6,1320.50360964467,1278.164143147208,42.33947096954315,0.0,1523.7624436548224,1481.9383649746194,41.824078913705584,0.0,32,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0/losses.csv,0
7,1254.0404060913704,1212.8580197969543,41.18238383756346,0.0,1459.8550426395939,1419.4340208121826,40.42102137563452,0.0,32,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0/losses.csv,0
8,1204.602636040609,1164.425033502538,40.17760233502538,0.0,1414.5601081218272,1375.2816035532996,39.2784992284264,0.0,32,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0/losses.csv,0
9,1162.4866101522844,1123.0959446700508,39.390663563451774,0.0,1374.8362776649747,1336.2461898477156,38.590086680203044,0.0,32,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0/losses.csv,0
