epoch,loss,reconstruction_loss,divergence_loss,stoicheometry_loss,test_loss,test_reconstruction_loss,test_divergence_loss,test_stoicheometry_loss,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,save_test_min,weight_decay,beta_S,use_beta_S_in_test_loss,test_beta_S,main_folder,losses_file,run
0,2111.378925888325,2079.685749746193,31.693177964467008,0.0,2169.1392258883247,2138.5687390862945,30.57048374111675,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
1,1413.370330964467,1382.4447583756344,30.925574893401016,0.0,1586.0294121827412,1556.880211675127,29.149195994923858,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
2,1169.2860670050761,1140.1846083248731,29.101459741116752,0.0,1382.7254370558378,1355.0949395939085,27.630500421319795,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
3,1046.9191565482233,1018.2477482741116,28.671404614213202,0.0,1284.3783532994923,1257.0563081218274,27.322051091370557,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
4,955.1110247715735,927.0180823857869,28.092944015228426,0.0,1220.508338071066,1193.649545685279,26.85879223857868,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
5,884.4313387309645,855.9678094416244,28.463526030456855,0.0,1194.2271345177664,1167.0918390862944,27.135293746192893,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
6,821.7766063451777,792.0769071573603,29.699702284263957,0.0,1199.6554197969542,1171.7882710659899,27.867147461928933,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
7,745.1582430964468,713.541186751269,31.617055055837564,0.0,1220.4668253807106,1191.8053538071065,28.661473893401016,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
8,668.7397606091371,635.3171115228427,33.422647421319795,0.0,1246.9243461928934,1218.0209913705582,28.903352106598984,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
9,593.8432702030457,559.3568430964467,34.486424350253806,0.0,1266.4861208121827,1237.9547152284263,28.53140792385787,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
