epoch,loss,reconstruction_loss,divergence_loss,stoicheometry_loss,test_loss,test_reconstruction_loss,test_divergence_loss,test_stoicheometry_loss,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,save_test_min,weight_decay,beta_S,main_folder,losses_file,run
0,2317.8751862944164,2286.350396954315,31.524798137055836,0.0,2419.177452284264,2389.6435030456855,29.533945538071066,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0.0001,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0/losses.csv,0
1,1528.296682741117,1493.8603431472081,34.43633748730964,0.0,1760.9725436548224,1728.8073421319796,32.16519882741117,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0.0001,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0/losses.csv,0
2,1268.407044670051,1235.8914994923857,32.515548776649744,0.0,1559.1171690355332,1528.4190609137056,30.698108015228424,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0.0001,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0/losses.csv,0
3,1129.7540847715736,1096.0416091878174,33.71247621319797,0.0,1479.651302030457,1448.2371604060913,31.414143538071066,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0.0001,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0/losses.csv,0
4,998.9224890355331,963.0896305583756,35.83285370558376,0.0,1449.4758756345177,1416.6593954314721,32.81648123350254,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0.0001,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0/losses.csv,0
5,891.0005219796953,853.0499894923857,37.95053190862944,0.0,1469.6941969543145,1435.9408157360406,33.75338218274112,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0.0001,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0/losses.csv,0
6,789.7667494923858,750.2904205076142,39.47632952791878,0.0,1500.7344020304567,1466.9154984771574,33.81889787309645,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0.0001,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0/losses.csv,0
7,692.0148197969543,651.8625013705583,40.15232041116751,0.0,1518.5382208121828,1485.4779436548224,33.060275253807106,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0.0001,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0/losses.csv,0
8,616.1718067512691,576.1546694416244,40.01713648730964,0.0,1532.3853065989847,1500.5065,31.878811081218277,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0.0001,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0/losses.csv,0
9,557.9677389847716,518.5107918274111,39.456947695431474,0.0,1543.7663984771573,1513.1186807106599,30.64771162436548,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0.0001,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0/losses.csv,0
