tsne0,tsne1,label,file_n,sample_n,file_name
-35.86068,-42.466457,"uterus,_post-menopause_-_glandular_cells_2",0,2244,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-35.193516,-46.921894,"uterus,_post-menopause_-_glandular_cells_2",0,2882,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-38.14367,-43.140602,"uterus,_post-menopause_-_glandular_cells_2",0,3235,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-42.157005,-46.736828,"uterus,_post-menopause_-_glandular_cells_2",0,302,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-37.790054,-44.9239,"uterus,_post-menopause_-_glandular_cells_2",0,1921,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-36.822243,-43.488853,"uterus,_post-menopause_-_glandular_cells_2",0,4402,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-41.844734,-42.23538,"uterus,_post-menopause_-_glandular_cells_2",0,1687,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-33.993523,-41.58623,"uterus,_post-menopause_-_glandular_cells_2",0,333,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-43.305294,-44.50109,"uterus,_post-menopause_-_glandular_cells_2",0,1329,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-43.266727,-43.785072,"uterus,_post-menopause_-_glandular_cells_2",0,2788,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-36.908848,-44.512997,"uterus,_post-menopause_-_glandular_cells_2",0,3832,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-37.743996,-42.99048,"uterus,_post-menopause_-_glandular_cells_2",0,3391,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-42.210297,-46.69725,"uterus,_post-menopause_-_glandular_cells_2",0,291,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-35.859505,-46.98923,"uterus,_post-menopause_-_glandular_cells_2",0,4975,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-33.154858,-46.850693,"uterus,_post-menopause_-_glandular_cells_2",0,2592,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-41.58822,-42.163166,"uterus,_post-menopause_-_glandular_cells_2",0,3775,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-39.49319,-40.92868,"uterus,_post-menopause_-_glandular_cells_2",0,2013,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-38.353687,-43.261703,"uterus,_post-menopause_-_glandular_cells_2",0,3229,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-38.568275,-44.518177,"uterus,_post-menopause_-_glandular_cells_2",0,4411,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-36.319782,-48.142296,"uterus,_post-menopause_-_glandular_cells_2",0,4945,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-34.97907,-43.518066,"uterus,_post-menopause_-_glandular_cells_2",0,1001,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-37.41197,-47.83516,"uterus,_post-menopause_-_glandular_cells_2",0,4871,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-36.809258,-46.08008,"uterus,_post-menopause_-_glandular_cells_2",0,1428,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-35.23702,-46.822365,"uterus,_post-menopause_-_glandular_cells_2",0,4960,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-37.838737,-48.24942,"uterus,_post-menopause_-_glandular_cells_2",0,1119,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
