epoch,loss,reconstruction_loss,divergence_loss,stoicheometry_loss,test_loss,test_reconstruction_loss,test_divergence_loss,test_stoicheometry_loss,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,save_test_min,weight_decay,beta_S,test_beta_S,main_folder,losses_file,run
0,1375.5199466666668,1372.6365333333333,2.8833873733333335,0.0,1383.3506933333333,1380.35268,2.99801124,0.0,256,256,0,2,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,8,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,0.0,./data/tuner/agren_40_emb/runs/0,./data/tuner/agren_40_emb/runs/0/losses.csv,0
1,1251.2868266666667,1247.7665133333333,3.5203137333333334,0.0,1289.4643333333333,1286.0839733333335,3.3803525,0.0,256,256,0,2,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,8,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,0.0,./data/tuner/agren_40_emb/runs/0,./data/tuner/agren_40_emb/runs/0/losses.csv,0
2,1196.1235733333333,1191.9640066666666,4.15957334,0.0,1239.8790866666668,1236.0957333333333,3.7833633266666666,0.0,256,256,0,2,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,8,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,0.0,./data/tuner/agren_40_emb/runs/0,./data/tuner/agren_40_emb/runs/0/losses.csv,0
3,1235.7667133333334,1231.3092266666667,4.457485626666667,0.0,1208.0490666666667,1204.0305,4.018557673333333,0.0,256,256,0,2,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,8,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,0.0,./data/tuner/agren_40_emb/runs/0,./data/tuner/agren_40_emb/runs/0/losses.csv,0
4,1191.3186266666667,1187.0301933333333,4.288421913333334,0.0,1187.4149533333334,1183.3743866666666,4.040564706666666,0.0,256,256,0,2,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,8,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,0.0,./data/tuner/agren_40_emb/runs/0,./data/tuner/agren_40_emb/runs/0/losses.csv,0
5,1165.5912333333333,1161.45244,4.13879876,0.0,1173.5078666666666,1169.51682,3.9910419666666663,0.0,256,256,0,2,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,8,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,0.0,./data/tuner/agren_40_emb/runs/0,./data/tuner/agren_40_emb/runs/0/losses.csv,0
6,1134.8952,1130.5967093333334,4.2984810866666665,0.0,1161.3923466666668,1157.3604466666666,4.031886893333334,0.0,256,256,0,2,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,8,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,0.0,./data/tuner/agren_40_emb/runs/0,./data/tuner/agren_40_emb/runs/0/losses.csv,0
7,1146.0869333333333,1141.6277406666666,4.459194073333333,0.0,1150.6198266666665,1146.5566266666667,4.0631961,0.0,256,256,0,2,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,8,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,0.0,./data/tuner/agren_40_emb/runs/0,./data/tuner/agren_40_emb/runs/0/losses.csv,0
8,1145.5169199999998,1140.6912200000002,4.825687953333333,0.0,1140.2650933333332,1136.1305733333331,4.1345084,0.0,256,256,0,2,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,8,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,0.0,./data/tuner/agren_40_emb/runs/0,./data/tuner/agren_40_emb/runs/0/losses.csv,0
9,1091.0414326666667,1086.497416,4.544011186666666,0.0,1128.82332,1124.5404999999998,4.282831433333333,0.0,256,256,0,2,5,0.0001,0.1,False,0.0,./data/samples/agren_human_cells/k250/,./data/samples/agren_human_cells/k250/,131072,inner,8,32,./data/samples/agren_human_cells/k250/test/,8192,True,0.05,0.0,0.0,./data/tuner/agren_40_emb/runs/0,./data/tuner/agren_40_emb/runs/0/losses.csv,0
