tsne0,tsne1,label,file_n,sample_n,file_name
-14.549194,-37.43864,cerebral cortex - glial cells,0,9394,cerebral cortex - glial cells_10k
8.960724,-9.106389,cerebral cortex - glial cells,0,898,cerebral cortex - glial cells_10k
7.8177714,-10.465429,cerebral cortex - glial cells,0,2398,cerebral cortex - glial cells_10k
32.405704,2.959666,cerebral cortex - glial cells,0,5906,cerebral cortex - glial cells_10k
7.5252514,-10.426098,cerebral cortex - glial cells,0,2343,cerebral cortex - glial cells_10k
-11.229633,-42.189766,cerebral cortex - glial cells,0,8225,cerebral cortex - glial cells_10k
39.51706,5.7892003,cerebral cortex - glial cells,0,5506,cerebral cortex - glial cells_10k
-9.36645,-45.621452,cerebral cortex - glial cells,0,6451,cerebral cortex - glial cells_10k
12.529225,-11.076938,cerebral cortex - glial cells,0,2670,cerebral cortex - glial cells_10k
59.25291,-3.369565,cerebral cortex - glial cells,0,3497,cerebral cortex - glial cells_10k
10.220083,-7.0240216,cerebral cortex - glial cells,0,1087,cerebral cortex - glial cells_10k
16.588942,-14.241746,cerebral cortex - glial cells,0,1819,cerebral cortex - glial cells_10k
12.883484,-11.505401,cerebral cortex - glial cells,0,2308,cerebral cortex - glial cells_10k
32.92142,3.26391,cerebral cortex - glial cells,0,6084,cerebral cortex - glial cells_10k
58.192036,-1.8037748,cerebral cortex - glial cells,0,3724,cerebral cortex - glial cells_10k
16.078934,-13.742117,cerebral cortex - glial cells,0,3184,cerebral cortex - glial cells_10k
-9.763063,-45.590126,cerebral cortex - glial cells,0,6387,cerebral cortex - glial cells_10k
58.20209,-1.6806026,cerebral cortex - glial cells,0,3728,cerebral cortex - glial cells_10k
12.86349,-11.309122,cerebral cortex - glial cells,0,2702,cerebral cortex - glial cells_10k
-11.61374,-43.80463,cerebral cortex - glial cells,0,7883,cerebral cortex - glial cells_10k
15.03196,-13.197793,cerebral cortex - glial cells,0,2930,cerebral cortex - glial cells_10k
32.60852,3.91668,cerebral cortex - glial cells,0,5988,cerebral cortex - glial cells_10k
32.903168,5.2708015,cerebral cortex - glial cells,0,4890,cerebral cortex - glial cells_10k
-8.68729,-44.28629,cerebral cortex - glial cells,0,6718,cerebral cortex - glial cells_10k
38.584015,5.6439667,cerebral cortex - glial cells,0,5423,cerebral cortex - glial cells_10k
16.908075,-14.595386,cerebral cortex - glial cells,0,3213,cerebral cortex - glial cells_10k
14.647723,-13.416901,cerebral cortex - glial cells,0,3017,cerebral cortex - glial cells_10k
9.645735,-9.563391,cerebral cortex - glial cells,0,382,cerebral cortex - glial cells_10k
57.67912,-1.4849337,cerebral cortex - glial cells,0,4237,cerebral cortex - glial cells_10k
34.40197,4.366376,cerebral cortex - glial cells,0,4721,cerebral cortex - glial cells_10k
-14.213384,-37.7699,cerebral cortex - glial cells,0,9547,cerebral cortex - glial cells_10k
-14.679569,-37.306366,cerebral cortex - glial cells,0,9477,cerebral cortex - glial cells_10k
34.729164,4.738265,cerebral cortex - glial cells,0,4795,cerebral cortex - glial cells_10k
34.880787,4.6774774,cerebral cortex - glial cells,0,4747,cerebral cortex - glial cells_10k
-15.193272,-37.106724,cerebral cortex - glial cells,0,9366,cerebral cortex - glial cells_10k
38.952267,5.8910174,cerebral cortex - glial cells,0,5334,cerebral cortex - glial cells_10k
-9.78096,-45.030373,cerebral cortex - glial cells,0,6652,cerebral cortex - glial cells_10k
-13.052237,-38.84555,cerebral cortex - glial cells,0,9032,cerebral cortex - glial cells_10k
6.920294,-7.2559586,cerebral cortex - glial cells,0,580,cerebral cortex - glial cells_10k
-14.72627,-37.228607,cerebral cortex - glial cells,0,9491,cerebral cortex - glial cells_10k
-9.865312,-45.79939,cerebral cortex - glial cells,0,6526,cerebral cortex - glial cells_10k
56.237595,-1.2106433,cerebral cortex - glial cells,0,4346,cerebral cortex - glial cells_10k
33.21056,5.467158,cerebral cortex - glial cells,0,4974,cerebral cortex - glial cells_10k
-11.695725,-43.89603,cerebral cortex - glial cells,0,7913,cerebral cortex - glial cells_10k
39.048218,5.5195,cerebral cortex - glial cells,0,5611,cerebral cortex - glial cells_10k
-11.368562,-40.428844,cerebral cortex - glial cells,0,8480,cerebral cortex - glial cells_10k
-9.780036,-45.478188,cerebral cortex - glial cells,0,6625,cerebral cortex - glial cells_10k
38.02085,5.406115,cerebral cortex - glial cells,0,5615,cerebral cortex - glial cells_10k
39.039375,5.529403,cerebral cortex - glial cells,0,5602,cerebral cortex - glial cells_10k
34.01269,5.0799313,cerebral cortex - glial cells,0,4857,cerebral cortex - glial cells_10k
-9.299065,-44.4431,cerebral cortex - glial cells,0,6734,cerebral cortex - glial cells_10k
-11.297223,-40.454254,cerebral cortex - glial cells,0,8451,cerebral cortex - glial cells_10k
-10.069356,-45.938686,cerebral cortex - glial cells,0,6332,cerebral cortex - glial cells_10k
-6.9813757,-44.419342,cerebral cortex - glial cells,0,6798,cerebral cortex - glial cells_10k
39.167973,5.9070797,cerebral cortex - glial cells,0,5313,cerebral cortex - glial cells_10k
15.523161,-13.199125,cerebral cortex - glial cells,0,2821,cerebral cortex - glial cells_10k
-15.118875,-37.207283,cerebral cortex - glial cells,0,9300,cerebral cortex - glial cells_10k
7.5551634,-10.375618,cerebral cortex - glial cells,0,2375,cerebral cortex - glial cells_10k
9.213836,-9.703916,cerebral cortex - glial cells,0,1478,cerebral cortex - glial cells_10k
35.694412,4.6653714,cerebral cortex - glial cells,0,5013,cerebral cortex - glial cells_10k
11.812321,-10.191872,cerebral cortex - glial cells,0,1559,cerebral cortex - glial cells_10k
-12.938804,-39.50341,cerebral cortex - glial cells,0,8885,cerebral cortex - glial cells_10k
57.666862,-2.71672,cerebral cortex - glial cells,0,3986,cerebral cortex - glial cells_10k
56.72745,-1.4372526,cerebral cortex - glial cells,0,4429,cerebral cortex - glial cells_10k
