tsne0,tsne1,label,file_n,sample_n,file_name
1.3572675,-98.109055,cerebral cortex - glial cells,0,9394,cerebral cortex - glial cells_10k
-4.943597,-73.15033,cerebral cortex - glial cells,0,898,cerebral cortex - glial cells_10k
-8.518559,-70.11312,cerebral cortex - glial cells,0,2398,cerebral cortex - glial cells_10k
-12.424064,-90.12574,cerebral cortex - glial cells,0,5906,cerebral cortex - glial cells_10k
-8.48335,-70.08873,cerebral cortex - glial cells,0,2343,cerebral cortex - glial cells_10k
-3.075874,-96.04467,cerebral cortex - glial cells,0,8225,cerebral cortex - glial cells_10k
-15.183433,-89.07158,cerebral cortex - glial cells,0,5506,cerebral cortex - glial cells_10k
-9.91121,-92.10536,cerebral cortex - glial cells,0,6451,cerebral cortex - glial cells_10k
-9.692355,-70.939804,cerebral cortex - glial cells,0,2670,cerebral cortex - glial cells_10k
-17.00837,-80.3029,cerebral cortex - glial cells,0,3497,cerebral cortex - glial cells_10k
-5.4746604,-72.8167,cerebral cortex - glial cells,0,1087,cerebral cortex - glial cells_10k
-9.475897,-72.37316,cerebral cortex - glial cells,0,1819,cerebral cortex - glial cells_10k
-8.684409,-70.23558,cerebral cortex - glial cells,0,2308,cerebral cortex - glial cells_10k
-11.052027,-91.17577,cerebral cortex - glial cells,0,6084,cerebral cortex - glial cells_10k
-17.923227,-79.93854,cerebral cortex - glial cells,0,3724,cerebral cortex - glial cells_10k
-11.1851845,-71.80388,cerebral cortex - glial cells,0,3184,cerebral cortex - glial cells_10k
-9.982593,-92.06123,cerebral cortex - glial cells,0,6387,cerebral cortex - glial cells_10k
-17.922688,-79.87797,cerebral cortex - glial cells,0,3728,cerebral cortex - glial cells_10k
-9.747292,-71.00642,cerebral cortex - glial cells,0,2702,cerebral cortex - glial cells_10k
-4.5929894,-95.25265,cerebral cortex - glial cells,0,7883,cerebral cortex - glial cells_10k
-10.656266,-71.584694,cerebral cortex - glial cells,0,2930,cerebral cortex - glial cells_10k
-11.420273,-90.88336,cerebral cortex - glial cells,0,5988,cerebral cortex - glial cells_10k
-15.203295,-86.87969,cerebral cortex - glial cells,0,4890,cerebral cortex - glial cells_10k
-9.297188,-92.70528,cerebral cortex - glial cells,0,6718,cerebral cortex - glial cells_10k
-15.101177,-88.66437,cerebral cortex - glial cells,0,5423,cerebral cortex - glial cells_10k
-11.180365,-71.79311,cerebral cortex - glial cells,0,3213,cerebral cortex - glial cells_10k
-10.937602,-71.571335,cerebral cortex - glial cells,0,3017,cerebral cortex - glial cells_10k
-4.1903434,-75.87042,cerebral cortex - glial cells,0,382,cerebral cortex - glial cells_10k
-17.452051,-81.32917,cerebral cortex - glial cells,0,4237,cerebral cortex - glial cells_10k
-15.929476,-85.034195,cerebral cortex - glial cells,0,4721,cerebral cortex - glial cells_10k
1.3377686,-98.17,cerebral cortex - glial cells,0,9547,cerebral cortex - glial cells_10k
1.4396214,-98.18917,cerebral cortex - glial cells,0,9477,cerebral cortex - glial cells_10k
-15.757819,-85.52714,cerebral cortex - glial cells,0,4795,cerebral cortex - glial cells_10k
-15.741545,-85.53134,cerebral cortex - glial cells,0,4747,cerebral cortex - glial cells_10k
1.2763788,-98.262344,cerebral cortex - glial cells,0,9366,cerebral cortex - glial cells_10k
-15.268345,-88.55503,cerebral cortex - glial cells,0,5334,cerebral cortex - glial cells_10k
-9.477415,-92.50056,cerebral cortex - glial cells,0,6652,cerebral cortex - glial cells_10k
0.017730862,-97.66523,cerebral cortex - glial cells,0,9032,cerebral cortex - glial cells_10k
-4.0740967,-75.51609,cerebral cortex - glial cells,0,580,cerebral cortex - glial cells_10k
