tsne0,tsne1,label,file_n,sample_n,file_name
60.153847,12.012592,cerebral cortex - glial cells,0,9394,cerebral cortex - glial cells_10k
52.506752,2.5559192,cerebral cortex - glial cells,0,898,cerebral cortex - glial cells_10k
50.383118,-3.4144695,cerebral cortex - glial cells,0,2398,cerebral cortex - glial cells_10k
67.72446,-1.9215512,cerebral cortex - glial cells,0,5906,cerebral cortex - glial cells_10k
50.30457,-3.2367468,cerebral cortex - glial cells,0,2343,cerebral cortex - glial cells_10k
64.27209,8.571934,cerebral cortex - glial cells,0,8225,cerebral cortex - glial cells_10k
66.96499,-4.877626,cerebral cortex - glial cells,0,5506,cerebral cortex - glial cells_10k
67.926956,1.0771874,cerebral cortex - glial cells,0,6451,cerebral cortex - glial cells_10k
51.650497,-4.3729467,cerebral cortex - glial cells,0,2670,cerebral cortex - glial cells_10k
56.15634,-7.423212,cerebral cortex - glial cells,0,3497,cerebral cortex - glial cells_10k
51.5689,2.1173139,cerebral cortex - glial cells,0,1087,cerebral cortex - glial cells_10k
50.158566,-0.748953,cerebral cortex - glial cells,0,1819,cerebral cortex - glial cells_10k
50.38573,-2.9213092,cerebral cortex - glial cells,0,2308,cerebral cortex - glial cells_10k
67.785385,-0.41052538,cerebral cortex - glial cells,0,6084,cerebral cortex - glial cells_10k
57.13294,-7.747691,cerebral cortex - glial cells,0,3724,cerebral cortex - glial cells_10k
52.975502,-5.477122,cerebral cortex - glial cells,0,3184,cerebral cortex - glial cells_10k
67.890335,1.0175172,cerebral cortex - glial cells,0,6387,cerebral cortex - glial cells_10k
57.12264,-7.700166,cerebral cortex - glial cells,0,3728,cerebral cortex - glial cells_10k
51.693424,-4.4168124,cerebral cortex - glial cells,0,2702,cerebral cortex - glial cells_10k
65.77016,7.2676573,cerebral cortex - glial cells,0,7883,cerebral cortex - glial cells_10k
52.340084,-5.1592865,cerebral cortex - glial cells,0,2930,cerebral cortex - glial cells_10k
67.77387,-0.79428035,cerebral cortex - glial cells,0,5988,cerebral cortex - glial cells_10k
64.48986,-6.191989,cerebral cortex - glial cells,0,4890,cerebral cortex - glial cells_10k
67.90568,2.189176,cerebral cortex - glial cells,0,6718,cerebral cortex - glial cells_10k
66.62438,-5.101308,cerebral cortex - glial cells,0,5423,cerebral cortex - glial cells_10k
53.020462,-5.5194163,cerebral cortex - glial cells,0,3213,cerebral cortex - glial cells_10k
52.54389,-5.370292,cerebral cortex - glial cells,0,3017,cerebral cortex - glial cells_10k
55.14129,4.0749135,cerebral cortex - glial cells,0,382,cerebral cortex - glial cells_10k
58.86117,-7.7657747,cerebral cortex - glial cells,0,4237,cerebral cortex - glial cells_10k
63.05699,-6.8359375,cerebral cortex - glial cells,0,4721,cerebral cortex - glial cells_10k
60.174946,12.199672,cerebral cortex - glial cells,0,9547,cerebral cortex - glial cells_10k
60.061886,12.148804,cerebral cortex - glial cells,0,9477,cerebral cortex - glial cells_10k
63.573578,-6.543219,cerebral cortex - glial cells,0,4795,cerebral cortex - glial cells_10k
63.347343,-6.6523585,cerebral cortex - glial cells,0,4747,cerebral cortex - glial cells_10k
60.15917,11.951669,cerebral cortex - glial cells,0,9366,cerebral cortex - glial cells_10k
66.38695,-5.28741,cerebral cortex - glial cells,0,5334,cerebral cortex - glial cells_10k
67.90073,1.9901857,cerebral cortex - glial cells,0,6652,cerebral cortex - glial cells_10k
61.080296,10.697663,cerebral cortex - glial cells,0,9032,cerebral cortex - glial cells_10k
54.455494,3.9019423,cerebral cortex - glial cells,0,580,cerebral cortex - glial cells_10k
60.009785,12.0462885,cerebral cortex - glial cells,0,9491,cerebral cortex - glial cells_10k
67.98312,1.3239193,cerebral cortex - glial cells,0,6526,cerebral cortex - glial cells_10k
59.781,-7.629819,cerebral cortex - glial cells,0,4346,cerebral cortex - glial cells_10k
64.8535,-6.0336013,cerebral cortex - glial cells,0,4974,cerebral cortex - glial cells_10k
65.74247,7.2960463,cerebral cortex - glial cells,0,7913,cerebral cortex - glial cells_10k
67.18987,-4.0948305,cerebral cortex - glial cells,0,5611,cerebral cortex - glial cells_10k
63.080128,9.609547,cerebral cortex - glial cells,0,8480,cerebral cortex - glial cells_10k
67.92469,1.8964576,cerebral cortex - glial cells,0,6625,cerebral cortex - glial cells_10k
67.19902,-4.058022,cerebral cortex - glial cells,0,5615,cerebral cortex - glial cells_10k
67.20462,-4.052552,cerebral cortex - glial cells,0,5602,cerebral cortex - glial cells_10k
64.334526,-6.2551994,cerebral cortex - glial cells,0,4857,cerebral cortex - glial cells_10k
67.86356,2.1203856,cerebral cortex - glial cells,0,6734,cerebral cortex - glial cells_10k
63.085293,9.606999,cerebral cortex - glial cells,0,8451,cerebral cortex - glial cells_10k
67.86108,0.81320983,cerebral cortex - glial cells,0,6332,cerebral cortex - glial cells_10k
68.0075,2.584262,cerebral cortex - glial cells,0,6798,cerebral cortex - glial cells_10k
66.35509,-5.286527,cerebral cortex - glial cells,0,5313,cerebral cortex - glial cells_10k
51.984226,-4.7663913,cerebral cortex - glial cells,0,2821,cerebral cortex - glial cells_10k
60.239834,11.507808,cerebral cortex - glial cells,0,9300,cerebral cortex - glial cells_10k
50.294952,-3.32177,cerebral cortex - glial cells,0,2375,cerebral cortex - glial cells_10k
50.71921,0.57171685,cerebral cortex - glial cells,0,1478,cerebral cortex - glial cells_10k
65.46169,-5.734436,cerebral cortex - glial cells,0,5013,cerebral cortex - glial cells_10k
50.60246,0.2538774,cerebral cortex - glial cells,0,1559,cerebral cortex - glial cells_10k
61.798103,10.77454,cerebral cortex - glial cells,0,8885,cerebral cortex - glial cells_10k
57.967484,-8.570577,cerebral cortex - glial cells,0,3986,cerebral cortex - glial cells_10k
60.470467,-7.4247923,cerebral cortex - glial cells,0,4429,cerebral cortex - glial cells_10k
57.72655,-8.545914,cerebral cortex - glial cells,0,3951,cerebral cortex - glial cells_10k
52.344078,-5.1622725,cerebral cortex - glial cells,0,2932,cerebral cortex - glial cells_10k
67.92698,1.1034989,cerebral cortex - glial cells,0,6419,cerebral cortex - glial cells_10k
52.65373,2.71797,cerebral cortex - glial cells,0,713,cerebral cortex - glial cells_10k
64.89023,7.94083,cerebral cortex - glial cells,0,8089,cerebral cortex - glial cells_10k
67.778015,-0.43603817,cerebral cortex - glial cells,0,6058,cerebral cortex - glial cells_10k
62.27361,10.242428,cerebral cortex - glial cells,0,8711,cerebral cortex - glial cells_10k
58.906303,-8.07821,cerebral cortex - glial cells,0,4185,cerebral cortex - glial cells_10k
59.949398,-7.582023,cerebral cortex - glial cells,0,4379,cerebral cortex - glial cells_10k
65.81339,7.199934,cerebral cortex - glial cells,0,7813,cerebral cortex - glial cells_10k
52.52081,2.5396512,cerebral cortex - glial cells,0,843,cerebral cortex - glial cells_10k
53.86312,3.519857,cerebral cortex - glial cells,0,655,cerebral cortex - glial cells_10k
67.9003,4.707541,cerebral cortex - glial cells,0,7219,cerebral cortex - glial cells_10k
52.195812,2.504552,cerebral cortex - glial cells,0,982,cerebral cortex - glial cells_10k
67.43362,5.722812,cerebral cortex - glial cells,0,7439,cerebral cortex - glial cells_10k
61.75037,10.733352,cerebral cortex - glial cells,0,8894,cerebral cortex - glial cells_10k
54.386806,3.8683748,cerebral cortex - glial cells,0,598,cerebral cortex - glial cells_10k
66.30456,-5.346356,cerebral cortex - glial cells,0,5350,cerebral cortex - glial cells_10k
58.839397,-7.8282323,cerebral cortex - glial cells,0,4221,cerebral cortex - glial cells_10k
50.7973,0.78374094,cerebral cortex - glial cells,0,1422,cerebral cortex - glial cells_10k
56.72266,-7.6903157,cerebral cortex - glial cells,0,3646,cerebral cortex - glial cells_10k
60.120674,-7.5328374,cerebral cortex - glial cells,0,4387,cerebral cortex - glial cells_10k
51.417126,-3.7339456,cerebral cortex - glial cells,0,2606,cerebral cortex - glial cells_10k
58.822247,-7.788678,cerebral cortex - glial cells,0,4228,cerebral cortex - glial cells_10k
51.526714,2.1201987,cerebral cortex - glial cells,0,1096,cerebral cortex - glial cells_10k
