tsne0,tsne1,label,file_n,sample_n,file_name
70.30641,9.097009,cerebral cortex - glial cells,0,9394,cerebral cortex - glial cells_10k
51.26139,-0.55002666,cerebral cortex - glial cells,0,898,cerebral cortex - glial cells_10k
49.511707,-6.5157986,cerebral cortex - glial cells,0,2398,cerebral cortex - glial cells_10k
64.13148,-2.2302058,cerebral cortex - glial cells,0,5906,cerebral cortex - glial cells_10k
49.413895,-6.3471184,cerebral cortex - glial cells,0,2343,cerebral cortex - glial cells_10k
65.26736,7.747476,cerebral cortex - glial cells,0,8225,cerebral cortex - glial cells_10k
64.938324,-5.173442,cerebral cortex - glial cells,0,5506,cerebral cortex - glial cells_10k
63.095005,0.56291574,cerebral cortex - glial cells,0,6451,cerebral cortex - glial cells_10k
50.84708,-7.3675427,cerebral cortex - glial cells,0,2670,cerebral cortex - glial cells_10k
55.662846,-10.197735,cerebral cortex - glial cells,0,3497,cerebral cortex - glial cells_10k
50.31249,-0.9777044,cerebral cortex - glial cells,0,1087,cerebral cortex - glial cells_10k
49.00495,-3.8740995,cerebral cortex - glial cells,0,1819,cerebral cortex - glial cells_10k
49.458282,-6.025902,cerebral cortex - glial cells,0,2308,cerebral cortex - glial cells_10k
63.52058,-0.86658955,cerebral cortex - glial cells,0,6084,cerebral cortex - glial cells_10k
56.626064,-10.529794,cerebral cortex - glial cells,0,3724,cerebral cortex - glial cells_10k
52.236702,-8.386715,cerebral cortex - glial cells,0,3184,cerebral cortex - glial cells_10k
63.157467,0.50665146,cerebral cortex - glial cells,0,6387,cerebral cortex - glial cells_10k
56.614975,-10.489969,cerebral cortex - glial cells,0,3728,cerebral cortex - glial cells_10k
50.89045,-7.4102755,cerebral cortex - glial cells,0,2702,cerebral cortex - glial cells_10k
63.54944,6.880007,cerebral cortex - glial cells,0,7883,cerebral cortex - glial cells_10k
51.573933,-8.11032,cerebral cortex - glial cells,0,2930,cerebral cortex - glial cells_10k
63.663734,-1.2232796,cerebral cortex - glial cells,0,5988,cerebral cortex - glial cells_10k
63.18923,-7.366805,cerebral cortex - glial cells,0,4890,cerebral cortex - glial cells_10k
62.979107,1.6744995,cerebral cortex - glial cells,0,6718,cerebral cortex - glial cells_10k
64.73588,-5.529472,cerebral cortex - glial cells,0,5423,cerebral cortex - glial cells_10k
52.28618,-8.422535,cerebral cortex - glial cells,0,3213,cerebral cortex - glial cells_10k
51.799,-8.309875,cerebral cortex - glial cells,0,3017,cerebral cortex - glial cells_10k
53.910236,0.8878823,cerebral cortex - glial cells,0,382,cerebral cortex - glial cells_10k
58.306152,-10.289985,cerebral cortex - glial cells,0,4237,cerebral cortex - glial cells_10k
62.09497,-8.476972,cerebral cortex - glial cells,0,4721,cerebral cortex - glial cells_10k
70.43014,8.951255,cerebral cortex - glial cells,0,9547,cerebral cortex - glial cells_10k
70.4629,9.0738945,cerebral cortex - glial cells,0,9477,cerebral cortex - glial cells_10k
62.456924,-7.9944563,cerebral cortex - glial cells,0,4795,cerebral cortex - glial cells_10k
62.28947,-8.180674,cerebral cortex - glial cells,0,4747,cerebral cortex - glial cells_10k
70.26522,9.148649,cerebral cortex - glial cells,0,9366,cerebral cortex - glial cells_10k
64.60688,-5.8050733,cerebral cortex - glial cells,0,5334,cerebral cortex - glial cells_10k
63.049248,1.4809269,cerebral cortex - glial cells,0,6652,cerebral cortex - glial cells_10k
68.698685,9.357075,cerebral cortex - glial cells,0,9032,cerebral cortex - glial cells_10k
53.213245,0.84837335,cerebral cortex - glial cells,0,580,cerebral cortex - glial cells_10k
70.422295,9.18431,cerebral cortex - glial cells,0,9491,cerebral cortex - glial cells_10k
62.977844,0.79181224,cerebral cortex - glial cells,0,6526,cerebral cortex - glial cells_10k
59.156765,-9.939667,cerebral cortex - glial cells,0,4346,cerebral cortex - glial cells_10k
63.455467,-7.0867405,cerebral cortex - glial cells,0,4974,cerebral cortex - glial cells_10k
63.57629,6.915108,cerebral cortex - glial cells,0,7913,cerebral cortex - glial cells_10k
64.70783,-4.36646,cerebral cortex - glial cells,0,5611,cerebral cortex - glial cells_10k
66.63621,8.276734,cerebral cortex - glial cells,0,8480,cerebral cortex - glial cells_10k
63.047844,1.3807843,cerebral cortex - glial cells,0,6625,cerebral cortex - glial cells_10k
64.69866,-4.3289404,cerebral cortex - glial cells,0,5615,cerebral cortex - glial cells_10k
64.69625,-4.319553,cerebral cortex - glial cells,0,5602,cerebral cortex - glial cells_10k
63.06744,-7.476569,cerebral cortex - glial cells,0,4857,cerebral cortex - glial cells_10k
63.06021,1.6268902,cerebral cortex - glial cells,0,6734,cerebral cortex - glial cells_10k
66.63103,8.276093,cerebral cortex - glial cells,0,8451,cerebral cortex - glial cells_10k
63.23259,0.3208072,cerebral cortex - glial cells,0,6332,cerebral cortex - glial cells_10k
62.71334,1.9983252,cerebral cortex - glial cells,0,6798,cerebral cortex - glial cells_10k
64.57362,-5.8145213,cerebral cortex - glial cells,0,5313,cerebral cortex - glial cells_10k
51.20454,-7.731485,cerebral cortex - glial cells,0,2821,cerebral cortex - glial cells_10k
69.881966,9.401917,cerebral cortex - glial cells,0,9300,cerebral cortex - glial cells_10k
49.412487,-6.4328914,cerebral cortex - glial cells,0,2375,cerebral cortex - glial cells_10k
49.479588,-2.5148718,cerebral cortex - glial cells,0,1478,cerebral cortex - glial cells_10k
63.912193,-6.5690937,cerebral cortex - glial cells,0,5013,cerebral cortex - glial cells_10k
49.398544,-2.8492372,cerebral cortex - glial cells,0,1559,cerebral cortex - glial cells_10k
68.32071,8.7226515,cerebral cortex - glial cells,0,8885,cerebral cortex - glial cells_10k
57.57111,-11.245143,cerebral cortex - glial cells,0,3986,cerebral cortex - glial cells_10k
59.777878,-9.573373,cerebral cortex - glial cells,0,4429,cerebral cortex - glial cells_10k
57.326324,-11.24313,cerebral cortex - glial cells,0,3951,cerebral cortex - glial cells_10k
51.57826,-8.112896,cerebral cortex - glial cells,0,2932,cerebral cortex - glial cells_10k
63.118126,0.59354967,cerebral cortex - glial cells,0,6419,cerebral cortex - glial cells_10k
51.382904,-0.37725636,cerebral cortex - glial cells,0,713,cerebral cortex - glial cells_10k
64.555725,7.291378,cerebral cortex - glial cells,0,8089,cerebral cortex - glial cells_10k
63.515327,-0.89701694,cerebral cortex - glial cells,0,6058,cerebral cortex - glial cells_10k
67.60799,8.623066,cerebral cortex - glial cells,0,8711,cerebral cortex - glial cells_10k
58.42641,-10.615641,cerebral cortex - glial cells,0,4185,cerebral cortex - glial cells_10k
59.308865,-9.856631,cerebral cortex - glial cells,0,4379,cerebral cortex - glial cells_10k
63.4764,6.8445597,cerebral cortex - glial cells,0,7813,cerebral cortex - glial cells_10k
51.275158,-0.56597805,cerebral cortex - glial cells,0,843,cerebral cortex - glial cells_10k
52.619827,0.43081537,cerebral cortex - glial cells,0,655,cerebral cortex - glial cells_10k
62.04864,3.9817452,cerebral cortex - glial cells,0,7219,cerebral cortex - glial cells_10k
50.947166,-0.59501404,cerebral cortex - glial cells,0,982,cerebral cortex - glial cells_10k
62.19758,5.1006618,cerebral cortex - glial cells,0,7439,cerebral cortex - glial cells_10k
68.32175,8.778212,cerebral cortex - glial cells,0,8894,cerebral cortex - glial cells_10k
53.14318,0.8216625,cerebral cortex - glial cells,0,598,cerebral cortex - glial cells_10k
64.55819,-5.891122,cerebral cortex - glial cells,0,5350,cerebral cortex - glial cells_10k
58.2954,-10.3608,cerebral cortex - glial cells,0,4221,cerebral cortex - glial cells_10k
49.529922,-2.292328,cerebral cortex - glial cells,0,1422,cerebral cortex - glial cells_10k
56.22887,-10.454799,cerebral cortex - glial cells,0,3646,cerebral cortex - glial cells_10k
59.45793,-9.766686,cerebral cortex - glial cells,0,4387,cerebral cortex - glial cells_10k
50.56527,-6.7410536,cerebral cortex - glial cells,0,2606,cerebral cortex - glial cells_10k
58.27353,-10.328356,cerebral cortex - glial cells,0,4228,cerebral cortex - glial cells_10k
50.274323,-0.97613925,cerebral cortex - glial cells,0,1096,cerebral cortex - glial cells_10k
68.32896,8.818241,cerebral cortex - glial cells,0,8940,cerebral cortex - glial cells_10k
64.32734,-2.7314515,cerebral cortex - glial cells,0,5814,cerebral cortex - glial cells_10k
56.57074,-10.517578,cerebral cortex - glial cells,0,3706,cerebral cortex - glial cells_10k
51.24495,-7.7539907,cerebral cortex - glial cells,0,2846,cerebral cortex - glial cells_10k
53.393055,0.9037535,cerebral cortex - glial cells,0,467,cerebral cortex - glial cells_10k
65.66783,7.883243,cerebral cortex - glial cells,0,8314,cerebral cortex - glial cells_10k
61.582714,-8.506232,cerebral cortex - glial cells,0,4595,cerebral cortex - glial cells_10k
56.612774,-10.505141,cerebral cortex - glial cells,0,3725,cerebral cortex - glial cells_10k
63.091106,0.5700485,cerebral cortex - glial cells,0,6450,cerebral cortex - glial cells_10k
62.573093,2.0627737,cerebral cortex - glial cells,0,6846,cerebral cortex - glial cells_10k
57.049046,-11.067098,cerebral cortex - glial cells,0,3891,cerebral cortex - glial cells_10k
62.16893,5.004117,cerebral cortex - glial cells,0,7407,cerebral cortex - glial cells_10k
64.14357,-2.276694,cerebral cortex - glial cells,0,5892,cerebral cortex - glial cells_10k
64.54018,-5.849269,cerebral cortex - glial cells,0,5301,cerebral cortex - glial cells_10k
62.417126,-8.000383,cerebral cortex - glial cells,0,4808,cerebral cortex - glial cells_10k
64.51024,7.583444,cerebral cortex - glial cells,0,8148,cerebral cortex - glial cells_10k
57.37743,-11.256457,cerebral cortex - glial cells,0,3931,cerebral cortex - glial cells_10k
70.57083,8.600778,cerebral cortex - glial cells,0,9672,cerebral cortex - glial cells_10k
49.73487,-1.7313,cerebral cortex - glial cells,0,1312,cerebral cortex - glial cells_10k
49.444542,-4.457729,cerebral cortex - glial cells,0,1942,cerebral cortex - glial cells_10k
51.276337,-0.5772593,cerebral cortex - glial cells,0,841,cerebral cortex - glial cells_10k
64.35644,-2.8012419,cerebral cortex - glial cells,0,5792,cerebral cortex - glial cells_10k
56.38147,-10.446547,cerebral cortex - glial cells,0,3683,cerebral cortex - glial cells_10k
68.33185,8.759993,cerebral cortex - glial cells,0,8876,cerebral cortex - glial cells_10k
64.65678,-4.1282587,cerebral cortex - glial cells,0,5660,cerebral cortex - glial cells_10k
60.031113,-9.432662,cerebral cortex - glial cells,0,4447,cerebral cortex - glial cells_10k
52.00204,-8.314867,cerebral cortex - glial cells,0,3066,cerebral cortex - glial cells_10k
64.47943,7.5607467,cerebral cortex - glial cells,0,8135,cerebral cortex - glial cells_10k
63.790077,-1.4900761,cerebral cortex - glial cells,0,5957,cerebral cortex - glial cells_10k
62.058926,-8.450985,cerebral cortex - glial cells,0,4678,cerebral cortex - glial cells_10k
51.32868,-7.8357077,cerebral cortex - glial cells,0,2869,cerebral cortex - glial cells_10k
50.14459,-6.721791,cerebral cortex - glial cells,0,2535,cerebral cortex - glial cells_10k
64.92436,-5.261555,cerebral cortex - glial cells,0,5482,cerebral cortex - glial cells_10k
58.85706,-10.09784,cerebral cortex - glial cells,0,4302,cerebral cortex - glial cells_10k
64.71657,-4.3845444,cerebral cortex - glial cells,0,5608,cerebral cortex - glial cells_10k
62.27372,5.17969,cerebral cortex - glial cells,0,7527,cerebral cortex - glial cells_10k
49.400803,-2.7656229,cerebral cortex - glial cells,0,1534,cerebral cortex - glial cells_10k
64.53688,7.3979597,cerebral cortex - glial cells,0,8110,cerebral cortex - glial cells_10k
63.11171,1.6568586,cerebral cortex - glial cells,0,6699,cerebral cortex - glial cells_10k
62.063698,-8.505988,cerebral cortex - glial cells,0,4696,cerebral cortex - glial cells_10k
50.44761,-6.644275,cerebral cortex - glial cells,0,2580,cerebral cortex - glial cells_10k
61.971485,3.7450457,cerebral cortex - glial cells,0,7178,cerebral cortex - glial cells_10k
61.908463,-8.401602,cerebral cortex - glial cells,0,4644,cerebral cortex - glial cells_10k
63.06591,-7.475191,cerebral cortex - glial cells,0,4858,cerebral cortex - glial cells_10k
