tsne0,tsne1,label,file_n,sample_n,file_name
-41.92082,13.746813,cerebral cortex - glial cells,0,9394,cerebral cortex - glial cells_10k
-12.255065,4.6103334,cerebral cortex - glial cells,0,898,cerebral cortex - glial cells_10k
-9.4602785,-11.977113,cerebral cortex - glial cells,0,2398,cerebral cortex - glial cells_10k
4.794597,22.35093,cerebral cortex - glial cells,0,5906,cerebral cortex - glial cells_10k
-12.091394,-10.7046385,cerebral cortex - glial cells,0,2343,cerebral cortex - glial cells_10k
-43.58394,-19.10832,cerebral cortex - glial cells,0,8225,cerebral cortex - glial cells_10k
43.34261,-11.643848,cerebral cortex - glial cells,0,5506,cerebral cortex - glial cells_10k
-26.992243,13.009431,cerebral cortex - glial cells,0,6451,cerebral cortex - glial cells_10k
3.7149003,-33.527668,cerebral cortex - glial cells,0,2670,cerebral cortex - glial cells_10k
55.466732,-27.242094,cerebral cortex - glial cells,0,3497,cerebral cortex - glial cells_10k
3.85373,21.111937,cerebral cortex - glial cells,0,1087,cerebral cortex - glial cells_10k
22.841646,-52.78487,cerebral cortex - glial cells,0,1819,cerebral cortex - glial cells_10k
5.1013737,-34.295788,cerebral cortex - glial cells,0,2308,cerebral cortex - glial cells_10k
-1.8107845,46.064148,cerebral cortex - glial cells,0,6084,cerebral cortex - glial cells_10k
49.869473,-17.672552,cerebral cortex - glial cells,0,3724,cerebral cortex - glial cells_10k
22.29964,-52.314762,cerebral cortex - glial cells,0,3184,cerebral cortex - glial cells_10k
-27.541428,12.996587,cerebral cortex - glial cells,0,6387,cerebral cortex - glial cells_10k
49.83402,-17.522272,cerebral cortex - glial cells,0,3728,cerebral cortex - glial cells_10k
4.8035088,-34.113106,cerebral cortex - glial cells,0,2702,cerebral cortex - glial cells_10k
-42.677956,5.530033,cerebral cortex - glial cells,0,7883,cerebral cortex - glial cells_10k
13.802852,-46.13767,cerebral cortex - glial cells,0,2930,cerebral cortex - glial cells_10k
-3.9148178,48.67032,cerebral cortex - glial cells,0,5988,cerebral cortex - glial cells_10k
-25.226498,73.69522,cerebral cortex - glial cells,0,4890,cerebral cortex - glial cells_10k
-45.19525,-16.674057,cerebral cortex - glial cells,0,6718,cerebral cortex - glial cells_10k
44.980152,-6.012211,cerebral cortex - glial cells,0,5423,cerebral cortex - glial cells_10k
29.119802,-56.703655,cerebral cortex - glial cells,0,3213,cerebral cortex - glial cells_10k
13.329416,-46.693493,cerebral cortex - glial cells,0,3017,cerebral cortex - glial cells_10k
-9.589565,-11.993337,cerebral cortex - glial cells,0,382,cerebral cortex - glial cells_10k
49.651077,-16.766207,cerebral cortex - glial cells,0,4237,cerebral cortex - glial cells_10k
-2.1104934,47.58389,cerebral cortex - glial cells,0,4721,cerebral cortex - glial cells_10k
-38.49893,2.7811356,cerebral cortex - glial cells,0,9547,cerebral cortex - glial cells_10k
-42.20499,14.080849,cerebral cortex - glial cells,0,9477,cerebral cortex - glial cells_10k
-2.293915,48.504726,cerebral cortex - glial cells,0,4795,cerebral cortex - glial cells_10k
-1.9609286,48.133003,cerebral cortex - glial cells,0,4747,cerebral cortex - glial cells_10k
-46.959267,19.485752,cerebral cortex - glial cells,0,9366,cerebral cortex - glial cells_10k
44.64321,-6.165763,cerebral cortex - glial cells,0,5334,cerebral cortex - glial cells_10k
-27.712486,12.583645,cerebral cortex - glial cells,0,6652,cerebral cortex - glial cells_10k
-27.51096,-3.6817405,cerebral cortex - glial cells,0,9032,cerebral cortex - glial cells_10k
-23.822874,19.810562,cerebral cortex - glial cells,0,580,cerebral cortex - glial cells_10k
-42.27238,14.202255,cerebral cortex - glial cells,0,9491,cerebral cortex - glial cells_10k
-27.63326,13.1257,cerebral cortex - glial cells,0,6526,cerebral cortex - glial cells_10k
44.795288,-11.828784,cerebral cortex - glial cells,0,4346,cerebral cortex - glial cells_10k
-25.292887,73.76836,cerebral cortex - glial cells,0,4974,cerebral cortex - glial cells_10k
