tsne0,tsne1,label,file_n,sample_n,file_name
-28.546616,46.73992,cerebral cortex - glial cells,0,9394,cerebral cortex - glial cells_10k
-27.015371,34.88721,cerebral cortex - glial cells,0,898,cerebral cortex - glial cells_10k
-27.552032,31.337383,cerebral cortex - glial cells,0,2398,cerebral cortex - glial cells_10k
-41.48087,39.34923,cerebral cortex - glial cells,0,5906,cerebral cortex - glial cells_10k
-27.461346,31.517456,cerebral cortex - glial cells,0,2343,cerebral cortex - glial cells_10k
-32.869728,45.707428,cerebral cortex - glial cells,0,8225,cerebral cortex - glial cells_10k
-44.001076,37.050056,cerebral cortex - glial cells,0,5506,cerebral cortex - glial cells_10k
-39.638493,41.842922,cerebral cortex - glial cells,0,6451,cerebral cortex - glial cells_10k
-29.15127,30.420311,cerebral cortex - glial cells,0,2670,cerebral cortex - glial cells_10k
-38.92501,29.024818,cerebral cortex - glial cells,0,3497,cerebral cortex - glial cells_10k
-27.054646,34.322964,cerebral cortex - glial cells,0,1087,cerebral cortex - glial cells_10k
-28.838526,29.384789,cerebral cortex - glial cells,0,1819,cerebral cortex - glial cells_10k
-27.718576,31.53782,cerebral cortex - glial cells,0,2308,cerebral cortex - glial cells_10k
-40.471203,40.78786,cerebral cortex - glial cells,0,6084,cerebral cortex - glial cells_10k
-40.41348,29.247932,cerebral cortex - glial cells,0,3724,cerebral cortex - glial cells_10k
-30.25635,29.428493,cerebral cortex - glial cells,0,3184,cerebral cortex - glial cells_10k
-39.66515,41.821167,cerebral cortex - glial cells,0,6387,cerebral cortex - glial cells_10k
-40.495644,29.27288,cerebral cortex - glial cells,0,3728,cerebral cortex - glial cells_10k
-29.150885,30.308397,cerebral cortex - glial cells,0,2702,cerebral cortex - glial cells_10k
-34.883823,45.1436,cerebral cortex - glial cells,0,7883,cerebral cortex - glial cells_10k
-29.651648,29.66566,cerebral cortex - glial cells,0,2930,cerebral cortex - glial cells_10k
-40.62988,40.55506,cerebral cortex - glial cells,0,5988,cerebral cortex - glial cells_10k
-43.839222,35.272877,cerebral cortex - glial cells,0,4890,cerebral cortex - glial cells_10k
-39.06686,42.576485,cerebral cortex - glial cells,0,6718,cerebral cortex - glial cells_10k
-44.007607,36.469337,cerebral cortex - glial cells,0,5423,cerebral cortex - glial cells_10k
-30.281548,29.342823,cerebral cortex - glial cells,0,3213,cerebral cortex - glial cells_10k
-30.019629,29.278027,cerebral cortex - glial cells,0,3017,cerebral cortex - glial cells_10k
-27.102333,37.914886,cerebral cortex - glial cells,0,382,cerebral cortex - glial cells_10k
-39.926132,30.1276,cerebral cortex - glial cells,0,4237,cerebral cortex - glial cells_10k
-42.663204,34.0655,cerebral cortex - glial cells,0,4721,cerebral cortex - glial cells_10k
-28.533224,46.80719,cerebral cortex - glial cells,0,9547,cerebral cortex - glial cells_10k
-28.494978,46.801693,cerebral cortex - glial cells,0,9477,cerebral cortex - glial cells_10k
-42.78981,34.61836,cerebral cortex - glial cells,0,4795,cerebral cortex - glial cells_10k
-42.761166,34.584778,cerebral cortex - glial cells,0,4747,cerebral cortex - glial cells_10k
-28.54418,46.87519,cerebral cortex - glial cells,0,9366,cerebral cortex - glial cells_10k
-44.158264,36.340004,cerebral cortex - glial cells,0,5334,cerebral cortex - glial cells_10k
-39.223083,42.359383,cerebral cortex - glial cells,0,6652,cerebral cortex - glial cells_10k
-30.088072,46.521294,cerebral cortex - glial cells,0,9032,cerebral cortex - glial cells_10k
-27.536407,37.670074,cerebral cortex - glial cells,0,580,cerebral cortex - glial cells_10k
-28.414257,46.920265,cerebral cortex - glial cells,0,9491,cerebral cortex - glial cells_10k
-39.82176,41.632187,cerebral cortex - glial cells,0,6526,cerebral cortex - glial cells_10k
-40.210903,30.468607,cerebral cortex - glial cells,0,4346,cerebral cortex - glial cells_10k
-44.11382,35.37425,cerebral cortex - glial cells,0,4974,cerebral cortex - glial cells_10k
-34.996162,45.105404,cerebral cortex - glial cells,0,7913,cerebral cortex - glial cells_10k
-43.27752,36.93961,cerebral cortex - glial cells,0,5611,cerebral cortex - glial cells_10k
-31.754293,46.01198,cerebral cortex - glial cells,0,8480,cerebral cortex - glial cells_10k
-39.31148,42.25618,cerebral cortex - glial cells,0,6625,cerebral cortex - glial cells_10k
-43.333164,36.896168,cerebral cortex - glial cells,0,5615,cerebral cortex - glial cells_10k
-43.15739,37.004375,cerebral cortex - glial cells,0,5602,cerebral cortex - glial cells_10k
-43.652927,35.23457,cerebral cortex - glial cells,0,4857,cerebral cortex - glial cells_10k
-39.14643,42.463894,cerebral cortex - glial cells,0,6734,cerebral cortex - glial cells_10k
-31.763615,46.007423,cerebral cortex - glial cells,0,8451,cerebral cortex - glial cells_10k
-39.93342,41.457222,cerebral cortex - glial cells,0,6332,cerebral cortex - glial cells_10k
-38.72422,42.99086,cerebral cortex - glial cells,0,6798,cerebral cortex - glial cells_10k
-44.077805,36.40269,cerebral cortex - glial cells,0,5313,cerebral cortex - glial cells_10k
-29.290674,29.655624,cerebral cortex - glial cells,0,2821,cerebral cortex - glial cells_10k
-28.764175,46.93029,cerebral cortex - glial cells,0,9300,cerebral cortex - glial cells_10k
-27.586061,31.493496,cerebral cortex - glial cells,0,2375,cerebral cortex - glial cells_10k
-26.853867,33.383533,cerebral cortex - glial cells,0,1478,cerebral cortex - glial cells_10k
-43.92795,35.88618,cerebral cortex - glial cells,0,5013,cerebral cortex - glial cells_10k
-27.276669,33.024574,cerebral cortex - glial cells,0,1559,cerebral cortex - glial cells_10k
-30.732012,46.23958,cerebral cortex - glial cells,0,8885,cerebral cortex - glial cells_10k
-39.414318,29.536585,cerebral cortex - glial cells,0,3986,cerebral cortex - glial cells_10k
-40.60587,30.792624,cerebral cortex - glial cells,0,4429,cerebral cortex - glial cells_10k
-39.810627,29.548906,cerebral cortex - glial cells,0,3951,cerebral cortex - glial cells_10k
-29.716055,29.56808,cerebral cortex - glial cells,0,2932,cerebral cortex - glial cells_10k
-39.544807,41.961685,cerebral cortex - glial cells,0,6419,cerebral cortex - glial cells_10k
-26.977777,34.905495,cerebral cortex - glial cells,0,713,cerebral cortex - glial cells_10k
-34.121605,45.301228,cerebral cortex - glial cells,0,8089,cerebral cortex - glial cells_10k
-40.536594,40.708694,cerebral cortex - glial cells,0,6058,cerebral cortex - glial cells_10k
-31.165836,46.152035,cerebral cortex - glial cells,0,8711,cerebral cortex - glial cells_10k
-39.092987,30.161688,cerebral cortex - glial cells,0,4185,cerebral cortex - glial cells_10k
-40.407295,30.733633,cerebral cortex - glial cells,0,4379,cerebral cortex - glial cells_10k
-34.737514,45.043514,cerebral cortex - glial cells,0,7813,cerebral cortex - glial cells_10k
-26.979973,34.91103,cerebral cortex - glial cells,0,843,cerebral cortex - glial cells_10k
-27.432241,36.938858,cerebral cortex - glial cells,0,655,cerebral cortex - glial cells_10k
-37.845192,44.54282,cerebral cortex - glial cells,0,7219,cerebral cortex - glial cells_10k
-27.227865,34.850792,cerebral cortex - glial cells,0,982,cerebral cortex - glial cells_10k
-37.42714,44.376537,cerebral cortex - glial cells,0,7439,cerebral cortex - glial cells_10k
-30.701233,46.258587,cerebral cortex - glial cells,0,8894,cerebral cortex - glial cells_10k
-27.578377,37.586933,cerebral cortex - glial cells,0,598,cerebral cortex - glial cells_10k
-44.247196,36.08819,cerebral cortex - glial cells,0,5350,cerebral cortex - glial cells_10k
-39.561844,30.039148,cerebral cortex - glial cells,0,4221,cerebral cortex - glial cells_10k
-26.617645,33.802765,cerebral cortex - glial cells,0,1422,cerebral cortex - glial cells_10k
-39.949924,29.038826,cerebral cortex - glial cells,0,3646,cerebral cortex - glial cells_10k
-40.605965,30.821018,cerebral cortex - glial cells,0,4387,cerebral cortex - glial cells_10k
-29.321196,31.003355,cerebral cortex - glial cells,0,2606,cerebral cortex - glial cells_10k
-39.457115,30.008198,cerebral cortex - glial cells,0,4228,cerebral cortex - glial cells_10k
-27.633116,33.704582,cerebral cortex - glial cells,0,1096,cerebral cortex - glial cells_10k
-30.780054,46.247643,cerebral cortex - glial cells,0,8940,cerebral cortex - glial cells_10k
-41.735245,38.993397,cerebral cortex - glial cells,0,5814,cerebral cortex - glial cells_10k
-40.352596,29.318174,cerebral cortex - glial cells,0,3706,cerebral cortex - glial cells_10k
-29.259718,30.217657,cerebral cortex - glial cells,0,2846,cerebral cortex - glial cells_10k
-27.52332,37.601093,cerebral cortex - glial cells,0,467,cerebral cortex - glial cells_10k
-32.425446,45.825115,cerebral cortex - glial cells,0,8314,cerebral cortex - glial cells_10k
-42.304905,33.98043,cerebral cortex - glial cells,0,4595,cerebral cortex - glial cells_10k
-40.469063,29.226145,cerebral cortex - glial cells,0,3725,cerebral cortex - glial cells_10k
-39.603832,41.881466,cerebral cortex - glial cells,0,6450,cerebral cortex - glial cells_10k
-38.748165,43.068787,cerebral cortex - glial cells,0,6846,cerebral cortex - glial cells_10k
-39.781307,29.355623,cerebral cortex - glial cells,0,3891,cerebral cortex - glial cells_10k
-37.530376,44.394722,cerebral cortex - glial cells,0,7407,cerebral cortex - glial cells_10k
-41.52925,39.282814,cerebral cortex - glial cells,0,5892,cerebral cortex - glial cells_10k
-44.090767,36.25298,cerebral cortex - glial cells,0,5301,cerebral cortex - glial cells_10k
-42.683617,34.70669,cerebral cortex - glial cells,0,4808,cerebral cortex - glial cells_10k
-33.952015,45.47068,cerebral cortex - glial cells,0,8148,cerebral cortex - glial cells_10k
-39.69376,29.646307,cerebral cortex - glial cells,0,3931,cerebral cortex - glial cells_10k
-28.694208,46.626423,cerebral cortex - glial cells,0,9672,cerebral cortex - glial cells_10k
-26.225578,33.9316,cerebral cortex - glial cells,0,1312,cerebral cortex - glial cells_10k
-28.349033,31.912043,cerebral cortex - glial cells,0,1942,cerebral cortex - glial cells_10k
-26.924046,34.774086,cerebral cortex - glial cells,0,841,cerebral cortex - glial cells_10k
-41.806854,38.88739,cerebral cortex - glial cells,0,5792,cerebral cortex - glial cells_10k
-40.134167,28.954216,cerebral cortex - glial cells,0,3683,cerebral cortex - glial cells_10k
-30.698212,46.254135,cerebral cortex - glial cells,0,8876,cerebral cortex - glial cells_10k
-43.051086,36.6846,cerebral cortex - glial cells,0,5660,cerebral cortex - glial cells_10k
-41.402092,32.155228,cerebral cortex - glial cells,0,4447,cerebral cortex - glial cells_10k
-30.254873,29.353685,cerebral cortex - glial cells,0,3066,cerebral cortex - glial cells_10k
-33.9608,45.50295,cerebral cortex - glial cells,0,8135,cerebral cortex - glial cells_10k
-40.818607,40.290833,cerebral cortex - glial cells,0,5957,cerebral cortex - glial cells_10k
