pre,k
3647.039855499975,1
3514.8024309302077,2
3421.0656590602644,3
3310.1477603738613,4
3288.6622494138787,5
3269.6357267243,6
3215.0610889191353,7
3200.1203698918466,8
3128.2847920559034,9
3132.3904482811063,10
3115.531613595643,11
3082.058144845284,12
3070.2349169212557,13
3120.5175928115013,14
3043.203306312599,15
3044.2503861091336,16
3067.2123371919547,17
3034.154202985456,18
3038.0551402325495,19
3013.6232121229614,20
3003.294827068114,21
2979.077309555052,22
2976.7344933619893,23
2985.5232519260217,24
2969.9860898226375,25
2980.5915394434724,26
2939.716152660418,27
2953.9500691963835,28
2943.375533035619,29
2917.1821371805427,30
2958.0861406824147,31
2930.3785623051926,32
