pre,pre_std,k
33240331.125800896,2.9451005721170265e-09,1
29421742.766943403,398929.03076462867,2
26785085.460172504,389856.335979822,3
24744659.6103777,620483.0361661643,4
23075957.33808948,618439.8988800436,5
21674977.055784024,579415.5927192664,6
20908783.753358297,217580.81828936306,7
20113099.172211483,126039.82246903457,8
19665303.647208862,259498.71655619037,9
18953910.827206347,112582.73185229719,10
18676713.823645722,280949.9985896336,11
18139680.54500874,255111.7130165298,12
17639369.8643036,243643.84036414578,13
17326068.69204358,280492.2140287702,14
17094229.992262647,175289.5410743166,15
16876747.956546143,246883.0570541658,16
16310096.840499852,199803.19582233744,17
16039694.87454281,308081.6605066678,18
15812412.355359804,228811.20558571172,19
15505050.151251717,178681.28112391388,20
15394850.723883761,270431.9578042987,21
15068661.140155766,80586.25083226804,22
14836080.98700156,171200.15659908496,23
14765293.600657849,231741.6723140799,24
14545569.66846541,252792.72394087835,25
14330756.391468393,123928.28447494248,26
14092972.241530178,139838.67049100867,27
14020653.541892052,131838.8687651629,28
13917053.113492098,132778.91929849386,29
13790694.892799202,231958.66828759725,30
13424134.770339636,148206.332285839,31
13396541.37091855,112420.25421673413,32
