pre,pre_std,k
170346239.99999994,1.8250120749944284e-08,1
154862343.3620941,6089252.265268782,2
137458976.90973175,2618154.5554868584,3
125445428.7725606,854860.1315846647,4
118408329.49673425,3034064.978570354,5
113812002.0880649,2965436.2299828664,6
106986776.88992846,1646556.697230576,7
103617828.01755047,1237764.3866645922,8
100931993.08548808,1702422.8968407628,9
98717953.66794193,2094041.6076843867,10
95137631.87183556,603804.4221279509,11
93401331.93354464,560327.7628794302,12
91557937.78104198,1021426.8424969796,13
89729760.67186424,1700738.6111433394,14
88368469.78072298,1486415.965769935,15
86514558.70279199,1043261.2280087505,16
83806042.98408045,1374650.2247753923,17
83136153.94585937,843673.0587134709,18
82740731.18778117,1703093.7296846705,19
80157229.55183639,1222396.3478374642,20
78190980.09451106,648082.5101219586,21
77207125.639096,930271.0295349885,22
76120070.5406622,1268234.4846109173,23
74788693.02980885,1114670.5775268183,24
74168461.40571134,374317.5753009035,25
73325958.84583879,1441668.2638514515,26
72314913.90220344,1131165.4397856551,27
71043397.49562243,798510.0175004093,28
70360038.72753644,1042236.2439684275,29
69770995.6558617,1156784.267778448,30
69469654.95862883,855106.7663305537,31
68211839.80257122,857060.824013562,32
