tsne0,tsne1,label
-53.268036,-25.466396,cerebral cortex - glial cells
-1.3867439,-32.302113,cerebral cortex - glial cells
0.82645327,-31.321175,cerebral cortex - glial cells
-11.789636,-31.99592,cerebral cortex - glial cells
-56.377018,-23.172472,cerebral cortex - glial cells
-2.21378,-39.562767,cerebral cortex - glial cells
0.26299614,-31.432196,cerebral cortex - glial cells
-8.934191,-36.979248,cerebral cortex - glial cells
-4.7759914,-35.622288,cerebral cortex - glial cells
-7.938245,-35.43867,cerebral cortex - glial cells
-56.43885,-22.665794,cerebral cortex - glial cells
-3.1061413,-35.175087,cerebral cortex - glial cells
-55.995743,-21.719994,cerebral cortex - glial cells
-54.11625,-25.527546,cerebral cortex - glial cells
-56.36886,-21.462072,cerebral cortex - glial cells
0.60294306,-31.255598,cerebral cortex - glial cells
2.0758004,-37.77975,cerebral cortex - glial cells
-58.72241,-24.06617,cerebral cortex - glial cells
-56.068928,-21.769274,cerebral cortex - glial cells
-1.5010487,-35.042805,cerebral cortex - glial cells
-11.53546,-34.523056,cerebral cortex - glial cells
1.9457057,-37.864246,cerebral cortex - glial cells
-6.2397857,-35.149242,cerebral cortex - glial cells
-56.017105,-21.596123,cerebral cortex - glial cells
-8.640123,-33.210785,cerebral cortex - glial cells
-8.726032,-36.26393,cerebral cortex - glial cells
-54.74145,-26.799513,cerebral cortex - glial cells
-60.332474,-21.85364,cerebral cortex - glial cells
-8.683181,-37.522686,cerebral cortex - glial cells
-11.570847,-34.722927,cerebral cortex - glial cells
-53.88075,-25.769926,cerebral cortex - glial cells
-2.2572742,-34.712345,cerebral cortex - glial cells
-53.879253,-25.520876,cerebral cortex - glial cells
-9.881044,-34.60276,cerebral cortex - glial cells
-4.591026,-35.662693,cerebral cortex - glial cells
-11.454992,-37.725544,cerebral cortex - glial cells
-0.2030697,-40.095898,cerebral cortex - glial cells
-4.1900935,-34.785355,cerebral cortex - glial cells
-2.1629572,-32.54557,cerebral cortex - glial cells
-11.761863,-37.51344,cerebral cortex - glial cells
0.55760926,-31.274706,cerebral cortex - glial cells
-6.1999626,-34.575127,cerebral cortex - glial cells
-2.1563373,-33.74794,cerebral cortex - glial cells
-11.264055,-33.809196,cerebral cortex - glial cells
-11.014412,-37.811375,cerebral cortex - glial cells
-11.543769,-34.683525,cerebral cortex - glial cells
-57.05567,-22.104372,cerebral cortex - glial cells
-2.8304503,-38.63676,cerebral cortex - glial cells
-2.3329773,-34.857224,cerebral cortex - glial cells
-49.40427,-26.018414,cerebral cortex - glial cells
-3.2383413,-32.77311,cerebral cortex - glial cells
-53.947098,-25.870682,cerebral cortex - glial cells
-56.45454,-26.571905,cerebral cortex - glial cells
-2.6859846,-38.647938,cerebral cortex - glial cells
-11.43568,-34.662148,cerebral cortex - glial cells
-60.146626,-21.696531,cerebral cortex - glial cells
-7.599502,-35.36343,cerebral cortex - glial cells
-56.40199,-23.24445,cerebral cortex - glial cells
-8.683797,-38.82467,cerebral cortex - glial cells
-59.0017,-23.499065,cerebral cortex - glial cells
-8.900818,-31.994293,cerebral cortex - glial cells
-5.2516603,-35.602165,cerebral cortex - glial cells
-5.9044795,-35.151024,cerebral cortex - glial cells
-8.990482,-36.590183,cerebral cortex - glial cells
-60.157722,-21.58201,cerebral cortex - glial cells
-0.37098584,-31.726837,cerebral cortex - glial cells
-7.5094547,-35.827633,cerebral cortex - glial cells
1.7483802,-37.201164,cerebral cortex - glial cells
-51.491272,-25.09057,cerebral cortex - glial cells
-11.837173,-37.839497,cerebral cortex - glial cells
-4.378266,-35.482487,cerebral cortex - glial cells
-1.1071407,-40.630096,cerebral cortex - glial cells
-60.194927,-20.52427,cerebral cortex - glial cells
-2.0383298,-39.467796,cerebral cortex - glial cells
-11.799821,-37.997345,cerebral cortex - glial cells
-50.17953,-25.488628,cerebral cortex - glial cells
-6.4545035,-35.2128,cerebral cortex - glial cells
-0.7703177,-41.272568,cerebral cortex - glial cells
-0.73408496,-40.79079,cerebral cortex - glial cells
-8.100845,-35.367447,cerebral cortex - glial cells
-8.660149,-38.72126,cerebral cortex - glial cells
-17.570559,-34.97698,cerebral cortex - glial cells
-1.4362704,-34.999264,cerebral cortex - glial cells
-12.002524,-38.09069,cerebral cortex - glial cells
-60.152596,-21.612497,cerebral cortex - glial cells
-58.481697,-19.122963,cerebral cortex - glial cells
2.169715,-33.133625,cerebral cortex - glial cells
-3.6673465,-30.963387,cerebral cortex - glial cells
-14.64154,-25.660273,cerebral cortex - glial cells
1.1923376,-31.721418,cerebral cortex - glial cells
-8.549096,-33.965862,cerebral cortex - glial cells
-56.526127,-25.445307,cerebral cortex - glial cells
-2.5367374,-34.18148,cerebral cortex - glial cells
0.8691285,-31.385584,cerebral cortex - glial cells
-58.351555,-24.245558,cerebral cortex - glial cells
-50.575153,-25.324085,cerebral cortex - glial cells
-55.66599,-24.452827,cerebral cortex - glial cells
0.98126036,-31.48265,cerebral cortex - glial cells
-2.8196135,-38.602,cerebral cortex - glial cells
-58.995968,-23.943565,cerebral cortex - glial cells
1.3781432,-38.4579,cerebral cortex - glial cells
-4.428608,-35.592087,cerebral cortex - glial cells
-8.708803,-36.465538,cerebral cortex - glial cells
-11.749007,-32.129986,cerebral cortex - glial cells
0.78211623,-31.305626,cerebral cortex - glial cells
-58.1347,-18.873554,cerebral cortex - glial cells
