label,kmeans_cluster
cerebral cortex - glial cells,21
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,16
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,21
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,27
cerebral cortex - glial cells,21
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,21
cerebral cortex - glial cells,16
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,21
cerebral cortex - glial cells,22
cerebral cortex - glial cells,21
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,21
cerebral cortex - glial cells,21
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,16
cerebral cortex - glial cells,22
cerebral cortex - glial cells,16
cerebral cortex - glial cells,22
cerebral cortex - glial cells,21
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,16
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,16
cerebral cortex - glial cells,22
cerebral cortex - glial cells,22
cerebral cortex - glial cells,27
