gallbladder - glandular cells,colon - endothelial cells,breast - myoepithelial cells,breast - glandular cells,esophagus - squamous epithelial cells,hippocampus - neuronal cells,bronchus - respiratory epithelial cells,skeletal_muscle_myocytes,cerebral cortex - endothelial cells,fallopian tube - glandular cells,liver_hepatocytes,cerebral cortex - glial cells,appendix - glandular cells,cerebral cortex - neuropil,kidney - cells in tubules,heart muscle - myocytes,cerebellum - cells in molecular layer,"cervix, uterine - squamous epithelial cells",bone marrow - hematopoietic cells,lung_macrophages,epididymis - glandular cells,appendix - lymphoid tissue,breast - adipocytes,hippocampus - glial cells,kidney - cells in glomeruli,cerebellum - cells in granular layer,"cervix, uterine - glandular cells",cerebral cortex - neuronal cells,adrenal gland - glandular cells,colon - glandular cells,cerebellum - Purkinje cells,lateral ventricle - glial cells,test_label
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gallbladder - glandular cells
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,colon - endothelial cells
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,breast - myoepithelial cells
0.0,0.0,0.0,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,breast - glandular cells
0.0,0.0,0.0,0.0,0.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,esophagus - squamous epithelial cells
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hippocampus - neuronal cells
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bronchus - respiratory epithelial cells
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,skeletal_muscle_myocytes
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cerebral cortex - endothelial cells
0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fallopian tube - glandular cells
