tsne0,tsne1,label
39.90643,1.1978211,cerebral cortex - glial cells
48.342224,-2.9490924,cerebral cortex - glial cells
47.93604,-1.6994914,cerebral cortex - glial cells
41.131836,-6.027459,cerebral cortex - glial cells
37.82603,-2.316266,cerebral cortex - glial cells
47.135086,1.0640424,cerebral cortex - glial cells
48.129116,-2.2509966,cerebral cortex - glial cells
49.76301,-9.564213,cerebral cortex - glial cells
48.941628,-6.3573766,cerebral cortex - glial cells
50.414444,-8.726196,cerebral cortex - glial cells
37.932384,-2.5184982,cerebral cortex - glial cells
49.637142,-5.631934,cerebral cortex - glial cells
38.03286,-2.7033541,cerebral cortex - glial cells
39.74842,1.0483396,cerebral cortex - glial cells
38.46098,-3.146607,cerebral cortex - glial cells
47.994164,-1.8532312,cerebral cortex - glial cells
43.458324,1.9886478,cerebral cortex - glial cells
37.813923,-4.4805484,cerebral cortex - glial cells
38.260902,-2.8419976,cerebral cortex - glial cells
50.275425,-4.6283636,cerebral cortex - glial cells
42.97763,-5.8913975,cerebral cortex - glial cells
43.432697,2.0008624,cerebral cortex - glial cells
49.315636,-7.865255,cerebral cortex - glial cells
38.447357,-2.97784,cerebral cortex - glial cells
43.424217,-4.1087165,cerebral cortex - glial cells
50.079178,-9.190679,cerebral cortex - glial cells
38.95731,-0.16207013,cerebral cortex - glial cells
38.754726,-5.441053,cerebral cortex - glial cells
49.910336,-9.951627,cerebral cortex - glial cells
42.971893,-5.9043493,cerebral cortex - glial cells
39.90144,1.1860377,cerebral cortex - glial cells
50.2639,-5.3517523,cerebral cortex - glial cells
39.787384,1.1240461,cerebral cortex - glial cells
42.943478,-5.614214,cerebral cortex - glial cells
48.82626,-6.7364407,cerebral cortex - glial cells
52.059853,-10.4836855,cerebral cortex - glial cells
45.691025,2.2654698,cerebral cortex - glial cells
49.3214,-5.99753,cerebral cortex - glial cells
48.579067,-2.9075572,cerebral cortex - glial cells
51.626278,-11.118497,cerebral cortex - glial cells
48.068516,-2.0669963,cerebral cortex - glial cells
48.958828,-7.6348376,cerebral cortex - glial cells
48.69561,-3.8039002,cerebral cortex - glial cells
42.5527,-5.9237676,cerebral cortex - glial cells
51.984524,-10.315733,cerebral cortex - glial cells
42.87396,-5.9002047,cerebral cortex - glial cells
38.734707,-3.4245605,cerebral cortex - glial cells
47.28685,0.21834928,cerebral cortex - glial cells
50.206223,-5.3540387,cerebral cortex - glial cells
41.876717,1.7774606,cerebral cortex - glial cells
49.35618,-3.693597,cerebral cortex - glial cells
39.969128,1.1916496,cerebral cortex - glial cells
38.258224,-0.33482775,cerebral cortex - glial cells
47.27613,0.148173,cerebral cortex - glial cells
43.00641,-5.8972287,cerebral cortex - glial cells
38.87475,-5.455386,cerebral cortex - glial cells
50.44385,-8.58862,cerebral cortex - glial cells
37.762283,-2.3926353,cerebral cortex - glial cells
50.230038,-10.515494,cerebral cortex - glial cells
37.762074,-4.5806875,cerebral cortex - glial cells
43.645264,-4.0218263,cerebral cortex - glial cells
48.8073,-7.065834,cerebral cortex - glial cells
49.16292,-7.462166,cerebral cortex - glial cells
49.967705,-9.519274,cerebral cortex - glial cells
39.004147,-5.501737,cerebral cortex - glial cells
48.24215,-2.6685581,cerebral cortex - glial cells
50.135376,-8.455701,cerebral cortex - glial cells
43.925022,1.9771061,cerebral cortex - glial cells
40.57353,1.5477617,cerebral cortex - glial cells
51.83892,-10.967577,cerebral cortex - glial cells
48.864407,-6.4665914,cerebral cortex - glial cells
46.864002,1.9761335,cerebral cortex - glial cells
39.679214,-5.850585,cerebral cortex - glial cells
47.20683,0.84660816,cerebral cortex - glial cells
51.908234,-10.88789,cerebral cortex - glial cells
41.129345,1.7539003,cerebral cortex - glial cells
49.10605,-7.398134,cerebral cortex - glial cells
46.458607,1.7861843,cerebral cortex - glial cells
46.535202,1.8888522,cerebral cortex - glial cells
50.324802,-8.887268,cerebral cortex - glial cells
50.132977,-10.443985,cerebral cortex - glial cells
42.17446,-2.8244119,cerebral cortex - glial cells
50.23891,-4.443715,cerebral cortex - glial cells
51.863255,-11.083699,cerebral cortex - glial cells
39.005917,-5.4913216,cerebral cortex - glial cells
40.06042,-5.1519885,cerebral cortex - glial cells
47.573505,-0.5522984,cerebral cortex - glial cells
40.232952,-3.7333138,cerebral cortex - glial cells
36.122807,-2.7892904,cerebral cortex - glial cells
47.80765,-1.3305612,cerebral cortex - glial cells
41.996212,-3.3225176,cerebral cortex - glial cells
38.366787,-0.97717255,cerebral cortex - glial cells
50.006413,-4.4033284,cerebral cortex - glial cells
47.933598,-1.7028263,cerebral cortex - glial cells
38.27533,-3.8801765,cerebral cortex - glial cells
41.20605,1.7325346,cerebral cortex - glial cells
38.363216,-1.1756827,cerebral cortex - glial cells
47.922413,-1.6590401,cerebral cortex - glial cells
