tsne0,tsne1,label
-33.80007,-10.126098,cerebral cortex - glial cells
-33.80016,-10.263211,cerebral cortex - glial cells
-33.533405,-9.697846,cerebral cortex - glial cells
-33.555645,-9.734326,cerebral cortex - glial cells
-33.510593,-9.780076,cerebral cortex - glial cells
-33.391785,-9.929953,cerebral cortex - glial cells
-33.366352,-10.058401,cerebral cortex - glial cells
-33.247925,-10.183473,cerebral cortex - glial cells
-33.237095,-10.110631,cerebral cortex - glial cells
-33.24663,-10.022109,cerebral cortex - glial cells
-33.292812,-10.0815935,cerebral cortex - glial cells
-33.2345,-9.940623,cerebral cortex - glial cells
-33.251,-10.049604,cerebral cortex - glial cells
-33.225353,-9.8021345,cerebral cortex - glial cells
-33.15135,-9.738365,cerebral cortex - glial cells
-33.176132,-10.312511,cerebral cortex - glial cells
-33.186474,-10.30304,cerebral cortex - glial cells
-33.183533,-10.374203,cerebral cortex - glial cells
-33.18461,-10.51667,cerebral cortex - glial cells
-33.12943,-10.59517,cerebral cortex - glial cells
-33.23195,-10.557382,cerebral cortex - glial cells
-33.297363,-10.750726,cerebral cortex - glial cells
-33.213024,-10.603324,cerebral cortex - glial cells
-33.143154,-10.397077,cerebral cortex - glial cells
-33.209908,-10.567831,cerebral cortex - glial cells
-33.174465,-10.476902,cerebral cortex - glial cells
-33.101326,-10.473758,cerebral cortex - glial cells
-33.111717,-10.59268,cerebral cortex - glial cells
-33.066154,-10.755424,cerebral cortex - glial cells
-32.96096,-10.8876095,cerebral cortex - glial cells
-0.8488413,1.8264736,cerebral cortex - glial cells
-4.6779895,-12.79845,cerebral cortex - glial cells
-4.3447695,-12.564318,cerebral cortex - glial cells
-4.979727,5.6678214,cerebral cortex - glial cells
-4.0004287,-11.629009,cerebral cortex - glial cells
-5.722393,-11.940935,cerebral cortex - glial cells
-5.8313947,-11.764712,cerebral cortex - glial cells
-5.8766694,-11.815143,cerebral cortex - glial cells
-6.462911,-13.12889,cerebral cortex - glial cells
-6.1016173,-12.058876,cerebral cortex - glial cells
-6.0305185,-12.054066,cerebral cortex - glial cells
-6.1156173,-12.102803,cerebral cortex - glial cells
-5.394775,-12.665542,cerebral cortex - glial cells
-5.061444,-12.695853,cerebral cortex - glial cells
-5.0788417,-13.003062,cerebral cortex - glial cells
-5.996273,-13.270682,cerebral cortex - glial cells
-6.1961384,-13.597666,cerebral cortex - glial cells
-6.2806473,-13.799923,cerebral cortex - glial cells
-6.192559,-13.528475,cerebral cortex - glial cells
-6.4328775,-13.585029,cerebral cortex - glial cells
-6.51967,-13.479367,cerebral cortex - glial cells
-6.533904,-13.529671,cerebral cortex - glial cells
-6.639824,-13.892918,cerebral cortex - glial cells
-6.745691,-14.224891,cerebral cortex - glial cells
-6.4322805,-13.724244,cerebral cortex - glial cells
-6.5330396,-14.073176,cerebral cortex - glial cells
-6.505946,-14.8235855,cerebral cortex - glial cells
-6.689508,-15.04857,cerebral cortex - glial cells
-6.6545544,-14.916165,cerebral cortex - glial cells
-6.523388,-14.226667,cerebral cortex - glial cells
-6.4820004,-14.640095,cerebral cortex - glial cells
-6.653323,-14.930044,cerebral cortex - glial cells
-6.6506352,-14.868146,cerebral cortex - glial cells
-6.344857,-14.693408,cerebral cortex - glial cells
-5.734894,-14.423213,cerebral cortex - glial cells
-5.8169026,-14.542817,cerebral cortex - glial cells
6.300925,-30.057272,cerebral cortex - glial cells
6.211201,-30.253147,cerebral cortex - glial cells
6.168372,-30.234869,cerebral cortex - glial cells
5.726496,-30.579702,cerebral cortex - glial cells
5.737838,-30.618456,cerebral cortex - glial cells
5.369351,-30.81101,cerebral cortex - glial cells
5.4230328,-30.798973,cerebral cortex - glial cells
5.5666018,-30.748194,cerebral cortex - glial cells
5.160416,-31.439762,cerebral cortex - glial cells
5.0885205,-31.941757,cerebral cortex - glial cells
5.1359363,-31.614004,cerebral cortex - glial cells
5.1360497,-31.879337,cerebral cortex - glial cells
5.0924253,-31.940592,cerebral cortex - glial cells
5.070889,-31.934925,cerebral cortex - glial cells
5.05406,-31.721407,cerebral cortex - glial cells
5.0064,-31.996012,cerebral cortex - glial cells
4.924811,-31.84265,cerebral cortex - glial cells
4.8960695,-31.571331,cerebral cortex - glial cells
4.844692,-31.2396,cerebral cortex - glial cells
4.558153,-30.546547,cerebral cortex - glial cells
3.9406059,-30.002396,cerebral cortex - glial cells
3.9808407,-30.136726,cerebral cortex - glial cells
4.5212197,-30.601627,cerebral cortex - glial cells
3.9771764,-30.003588,cerebral cortex - glial cells
3.685551,-29.994656,cerebral cortex - glial cells
3.246709,-29.647076,cerebral cortex - glial cells
2.8813968,-29.426893,cerebral cortex - glial cells
3.1491454,-29.6025,cerebral cortex - glial cells
2.889758,-29.424623,cerebral cortex - glial cells
2.2527664,-29.010134,cerebral cortex - glial cells
2.618393,-29.2304,cerebral cortex - glial cells
2.7059078,-29.293776,cerebral cortex - glial cells
2.6475205,-29.272224,cerebral cortex - glial cells
2.6704068,-29.308115,cerebral cortex - glial cells
2.790254,-29.367044,cerebral cortex - glial cells
2.914583,-29.443014,cerebral cortex - glial cells
2.980002,-29.47939,cerebral cortex - glial cells
1.8306178,-28.796127,cerebral cortex - glial cells
0.98479044,-28.232971,cerebral cortex - glial cells
0.7768083,-28.066067,cerebral cortex - glial cells
0.37290233,-27.859888,cerebral cortex - glial cells
-0.1289816,-27.814732,cerebral cortex - glial cells
-0.15365608,-27.758015,cerebral cortex - glial cells
-0.23624781,-28.111692,cerebral cortex - glial cells
-0.6088712,-28.016853,cerebral cortex - glial cells
-1.1117018,-28.116596,cerebral cortex - glial cells
-1.1948646,-28.114727,cerebral cortex - glial cells
-1.2160224,-27.49809,cerebral cortex - glial cells
-1.0399141,-27.56309,cerebral cortex - glial cells
-0.596546,-27.749733,cerebral cortex - glial cells
-0.6882871,-27.795578,cerebral cortex - glial cells
-0.6186179,-27.617617,cerebral cortex - glial cells
-0.82785064,-27.213232,cerebral cortex - glial cells
-0.71596664,-27.551886,cerebral cortex - glial cells
-1.8412321,-26.950588,cerebral cortex - glial cells
-2.1115663,-27.000792,cerebral cortex - glial cells
-1.6290932,-27.079536,cerebral cortex - glial cells
-2.8566082,-27.307297,cerebral cortex - glial cells
-3.3741617,-27.547056,cerebral cortex - glial cells
-4.0945663,-27.962349,cerebral cortex - glial cells
-3.983175,-27.946447,cerebral cortex - glial cells
-4.120122,-27.806667,cerebral cortex - glial cells
-4.0773134,-27.696894,cerebral cortex - glial cells
-2.8876438,-27.661385,cerebral cortex - glial cells
-3.7271123,-28.029524,cerebral cortex - glial cells
-3.6721976,-27.990538,cerebral cortex - glial cells
-3.3809407,-28.082445,cerebral cortex - glial cells
-3.6211615,-27.973768,cerebral cortex - glial cells
-3.3830338,-27.651115,cerebral cortex - glial cells
-3.375304,-27.808636,cerebral cortex - glial cells
-3.1056895,-27.379347,cerebral cortex - glial cells
-3.3288906,-27.735851,cerebral cortex - glial cells
-3.4515522,-27.275307,cerebral cortex - glial cells
-3.0408108,-26.743536,cerebral cortex - glial cells
-3.0201218,-26.768732,cerebral cortex - glial cells
-2.7636971,-26.445704,cerebral cortex - glial cells
-2.657084,-27.535982,cerebral cortex - glial cells
-2.6070368,-27.716454,cerebral cortex - glial cells
-3.20103,-28.155518,cerebral cortex - glial cells
-4.3827395,-28.144924,cerebral cortex - glial cells
-4.1820903,-28.045687,cerebral cortex - glial cells
-2.69213,-27.024862,cerebral cortex - glial cells
-2.6729934,-27.140291,cerebral cortex - glial cells
-2.6892796,-27.498653,cerebral cortex - glial cells
-2.2466938,-26.86634,cerebral cortex - glial cells
-1.9805236,-26.557426,cerebral cortex - glial cells
-1.7878625,-25.699488,cerebral cortex - glial cells
-1.7669932,-25.558506,cerebral cortex - glial cells
-1.7539579,-25.623123,cerebral cortex - glial cells
-1.5625327,-26.21804,cerebral cortex - glial cells
-1.4877647,-26.47402,cerebral cortex - glial cells
-1.4730028,-26.392633,cerebral cortex - glial cells
-1.3653475,-26.463175,cerebral cortex - glial cells
-1.2448696,-26.429111,cerebral cortex - glial cells
-1.2394015,-26.534527,cerebral cortex - glial cells
-1.2234675,-26.3015,cerebral cortex - glial cells
-1.2713699,-26.523506,cerebral cortex - glial cells
-1.174269,-26.426437,cerebral cortex - glial cells
-1.1632509,-26.240519,cerebral cortex - glial cells
-1.159942,-26.103441,cerebral cortex - glial cells
-1.1744643,-26.477724,cerebral cortex - glial cells
-1.3687272,-25.947268,cerebral cortex - glial cells
-2.4640198,-28.431704,cerebral cortex - glial cells
-2.4235802,-28.583624,cerebral cortex - glial cells
-2.585866,-28.688532,cerebral cortex - glial cells
-2.6142137,-28.77197,cerebral cortex - glial cells
-2.8885353,-29.421223,cerebral cortex - glial cells
-2.5174873,-28.989847,cerebral cortex - glial cells
-2.602791,-28.882408,cerebral cortex - glial cells
-2.6393502,-29.185396,cerebral cortex - glial cells
-2.4797132,-29.031279,cerebral cortex - glial cells
-2.852352,-29.655499,cerebral cortex - glial cells
-3.1680098,-30.167315,cerebral cortex - glial cells
-3.1042051,-30.107613,cerebral cortex - glial cells
-2.7339451,-29.644102,cerebral cortex - glial cells
-2.782857,-29.46191,cerebral cortex - glial cells
-3.0663958,-29.80949,cerebral cortex - glial cells
-3.1860194,-29.692842,cerebral cortex - glial cells
-3.128102,-29.781385,cerebral cortex - glial cells
-2.990681,-29.583717,cerebral cortex - glial cells
-2.723701,-29.339619,cerebral cortex - glial cells
-2.7047975,-29.321817,cerebral cortex - glial cells
-2.2121296,-28.675495,cerebral cortex - glial cells
-2.3967555,-28.933378,cerebral cortex - glial cells
-1.6121004,-27.710493,cerebral cortex - glial cells
-1.5568362,-27.85241,cerebral cortex - glial cells
-1.2990317,-28.334986,cerebral cortex - glial cells
-1.6342503,-28.471535,cerebral cortex - glial cells
-1.6728745,-28.382507,cerebral cortex - glial cells
-1.7450343,-28.692835,cerebral cortex - glial cells
-2.262079,-29.163923,cerebral cortex - glial cells
-2.7708502,-29.777563,cerebral cortex - glial cells
-3.0030801,-30.459558,cerebral cortex - glial cells
-3.1065536,-30.75613,cerebral cortex - glial cells
-2.99743,-30.490541,cerebral cortex - glial cells
-2.8745086,-30.803638,cerebral cortex - glial cells
-2.7330163,-31.013527,cerebral cortex - glial cells
-2.138576,-30.846151,cerebral cortex - glial cells
-2.3675785,-29.787035,cerebral cortex - glial cells
-1.9587014,-30.033638,cerebral cortex - glial cells
-1.5385493,-29.718164,cerebral cortex - glial cells
-1.8673925,-30.795849,cerebral cortex - glial cells
-1.6147668,-31.325645,cerebral cortex - glial cells
-1.5958968,-31.743395,cerebral cortex - glial cells
-1.7220572,-31.837946,cerebral cortex - glial cells
-1.6082325,-31.77851,cerebral cortex - glial cells
-1.5386375,-31.790388,cerebral cortex - glial cells
-1.4150494,-31.763382,cerebral cortex - glial cells
-1.1058902,-31.893116,cerebral cortex - glial cells
-1.0891639,-32.07607,cerebral cortex - glial cells
-1.0686527,-32.239258,cerebral cortex - glial cells
-1.0225145,-32.37646,cerebral cortex - glial cells
-1.0212406,-31.71069,cerebral cortex - glial cells
-1.0731151,-31.799715,cerebral cortex - glial cells
-1.0651222,-31.309679,cerebral cortex - glial cells
-0.98486376,-31.534838,cerebral cortex - glial cells
-0.8859912,-31.214705,cerebral cortex - glial cells
-0.829602,-31.48438,cerebral cortex - glial cells
-0.7120042,-30.87428,cerebral cortex - glial cells
0.10334233,-30.444395,cerebral cortex - glial cells
-0.2991726,-30.654316,cerebral cortex - glial cells
