tsne0,tsne1,label
16.823057,36.945747,cerebral cortex - glial cells
18.126253,14.996583,cerebral cortex - glial cells
6.5754156,31.563349,cerebral cortex - glial cells
-57.046555,-46.60039,cerebral cortex - glial cells
12.55052,33.854015,cerebral cortex - glial cells
22.581194,48.193188,cerebral cortex - glial cells
17.564749,14.2643,cerebral cortex - glial cells
17.97442,53.792995,cerebral cortex - glial cells
17.098028,26.319752,cerebral cortex - glial cells
19.286495,52.786526,cerebral cortex - glial cells
12.300523,34.18231,cerebral cortex - glial cells
16.722462,26.257105,cerebral cortex - glial cells
13.588411,33.856174,cerebral cortex - glial cells
16.486189,36.81574,cerebral cortex - glial cells
20.986975,33.511158,cerebral cortex - glial cells
5.8890696,31.403107,cerebral cortex - glial cells
21.554691,49.557774,cerebral cortex - glial cells
21.673788,30.126211,cerebral cortex - glial cells
14.11809,33.751747,cerebral cortex - glial cells
20.608492,27.232342,cerebral cortex - glial cells
7.617797,59.524395,cerebral cortex - glial cells
22.003239,49.18751,cerebral cortex - glial cells
15.659175,24.494564,cerebral cortex - glial cells
14.168706,33.27215,cerebral cortex - glial cells
28.363276,9.511913,cerebral cortex - glial cells
19.924383,53.263443,cerebral cortex - glial cells
21.457668,34.75685,cerebral cortex - glial cells
-38.45251,-39.165363,cerebral cortex - glial cells
18.209646,53.86934,cerebral cortex - glial cells
7.3854113,59.43759,cerebral cortex - glial cells
16.891117,36.011326,cerebral cortex - glial cells
18.553404,26.014414,cerebral cortex - glial cells
16.28319,37.084206,cerebral cortex - glial cells
1.0884889,55.233517,cerebral cortex - glial cells
16.477251,27.065079,cerebral cortex - glial cells
20.368217,56.21034,cerebral cortex - glial cells
23.072767,47.68814,cerebral cortex - glial cells
18.202751,28.701544,cerebral cortex - glial cells
18.90844,15.851449,cerebral cortex - glial cells
17.915192,56.948013,cerebral cortex - glial cells
6.3569713,31.420664,cerebral cortex - glial cells
16.535578,24.879221,cerebral cortex - glial cells
20.897736,24.084118,cerebral cortex - glial cells
7.026597,59.710083,cerebral cortex - glial cells
19.261671,55.992607,cerebral cortex - glial cells
8.246144,59.542427,cerebral cortex - glial cells
10.082576,33.63022,cerebral cortex - glial cells
12.305397,18.723917,cerebral cortex - glial cells
18.493801,26.037092,cerebral cortex - glial cells
22.1218,40.662327,cerebral cortex - glial cells
