tsne0,tsne1,label
-27.790867,-40.337006,cerebral cortex - glial cells
-19.76756,-36.566086,cerebral cortex - glial cells
-40.137177,-39.505928,cerebral cortex - glial cells
-27.458172,-39.8446,cerebral cortex - glial cells
-20.9765,-29.80486,cerebral cortex - glial cells
-29.503994,-30.678238,cerebral cortex - glial cells
-18.729334,-36.598713,cerebral cortex - glial cells
-21.05393,-30.118734,cerebral cortex - glial cells
-38.031948,-36.738255,cerebral cortex - glial cells
-35.41956,-38.370777,cerebral cortex - glial cells
-29.088293,-44.063103,cerebral cortex - glial cells
-27.113457,-40.516167,cerebral cortex - glial cells
-23.717855,-38.398834,cerebral cortex - glial cells
-18.56391,-36.37978,cerebral cortex - glial cells
-39.67463,-40.91126,cerebral cortex - glial cells
-37.803402,-35.221348,cerebral cortex - glial cells
-39.27881,-41.291775,cerebral cortex - glial cells
-26.320816,-29.714039,cerebral cortex - glial cells
-24.286247,-37.56949,cerebral cortex - glial cells
-24.668848,-36.489746,cerebral cortex - glial cells
-25.706232,-40.645763,cerebral cortex - glial cells
-25.83708,-40.582565,cerebral cortex - glial cells
-37.63037,-37.011074,cerebral cortex - glial cells
-25.041748,-31.687792,cerebral cortex - glial cells
-28.900934,-44.122925,cerebral cortex - glial cells
-38.4238,-36.148243,cerebral cortex - glial cells
-27.498035,-43.581627,cerebral cortex - glial cells
-20.900166,-31.863243,cerebral cortex - glial cells
-24.083332,-37.735104,cerebral cortex - glial cells
-31.67698,-37.312916,cerebral cortex - glial cells
-37.600487,-35.08472,cerebral cortex - glial cells
-29.09058,-30.095266,cerebral cortex - glial cells
-25.846487,-42.954575,cerebral cortex - glial cells
-24.430193,-37.276108,cerebral cortex - glial cells
-40.252674,-38.791653,cerebral cortex - glial cells
-27.59853,-43.58231,cerebral cortex - glial cells
-25.066008,-31.674501,cerebral cortex - glial cells
-27.109554,-40.366764,cerebral cortex - glial cells
-30.284899,-40.396408,cerebral cortex - glial cells
-21.994547,-36.821465,cerebral cortex - glial cells
-31.41874,-37.540108,cerebral cortex - glial cells
-18.674599,-36.582153,cerebral cortex - glial cells
-28.227251,-43.549107,cerebral cortex - glial cells
-19.667412,-36.615864,cerebral cortex - glial cells
-29.035063,-44.13417,cerebral cortex - glial cells
-37.88922,-35.32159,cerebral cortex - glial cells
-35.855003,-37.444347,cerebral cortex - glial cells
-39.942886,-39.845207,cerebral cortex - glial cells
