skeletal_muscle_myocytes,lung_macrophages,cerebral cortex - neuropil,gallbladder - glandular cells,esophagus - squamous epithelial cells,colon - endothelial cells,cerebral cortex - endothelial cells,"cervix, uterine - glandular cells",colon - glandular cells,breast - myoepithelial cells,cerebral cortex - neuronal cells,appendix - lymphoid tissue,breast - adipocytes,heart muscle - myocytes,kidney - cells in glomeruli,bone marrow - hematopoietic cells,adrenal gland - glandular cells,appendix - glandular cells,fallopian tube - glandular cells,hippocampus - neuronal cells,"cervix, uterine - squamous epithelial cells",breast - glandular cells,cerebellum - cells in molecular layer,lateral ventricle - glial cells,hippocampus - glial cells,cerebellum - cells in granular layer,cerebral cortex - glial cells,epididymis - glandular cells,cerebellum - Purkinje cells,bronchus - respiratory epithelial cells,kidney - cells in tubules,liver_hepatocytes,test_label
0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.236,0.0,0.0,0.0,0.036,0.25,0.0,0.06,0.052,0.0,0.0,0.0,0.0,0.04,0.0,0.016,0.066,0.158,0.0,0.034,0.0,0.046,0.0,0.0,0.0,skeletal_muscle_myocytes
0.002,0.186,0.0,0.0,0.024,0.004,0.03,0.0,0.0,0.0,0.094,0.0,0.134,0.0,0.004,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.002,0.056,0.032,0.0,0.03,0.028,0.334,0.03,0.0,0.0,lung_macrophages
0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.112,0.016,0.168,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.0,0.478,0.0,0.024,0.0,0.03,0.0,0.0,0.0,cerebral cortex - neuropil
0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.172,0.0,0.04,0.0,0.0,0.0,0.0,0.048,0.052,0.0,0.122,0.042,0.134,0.0,0.162,0.08,0.004,0.0,0.0,0.0,gallbladder - glandular cells
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.518,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.098,0.0,0.0,0.004,0.004,0.0,0.054,0.0,0.24,0.016,0.0,0.0,esophagus - squamous epithelial cells
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.314,0.0,0.0,0.108,0.0,0.0,0.148,0.0,0.0,0.002,0.0,0.0,0.232,0.008,0.058,0.05,0.08,0.0,0.0,0.0,colon - endothelial cells
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082,0.0,0.0,0.0,0.008,0.042,0.0,0.12,0.2,0.0,0.0,0.0,0.0,0.018,0.0,0.01,0.018,0.19,0.0,0.02,0.0,0.292,0.0,0.0,0.0,cerebral cortex - endothelial cells
0.014,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.418,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.07,0.0,0.01,0.386,0.03,0.026,0.0,0.0,"cervix, uterine - glandular cells"
0.018,0.0,0.0,0.004,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262,0.0,0.128,0.0,0.152,0.0,0.156,0.028,0.0,0.0,0.0,0.0,colon - glandular cells
0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.004,0.266,0.042,0.062,0.002,0.0,0.0,0.0,0.0,0.116,0.0,0.154,0.036,0.042,0.0,0.232,0.0,0.034,0.0,0.0,0.0,breast - myoepithelial cells
0.0,0.072,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.204,0.0,0.0,0.0,0.0,0.112,0.0,0.0,0.0,0.114,0.0,0.422,0.0,0.042,0.0,0.0,0.0,cerebral cortex - neuronal cells
0.01,0.0,0.002,0.0,0.0,0.016,0.006,0.0,0.008,0.0,0.004,0.014,0.38,0.012,0.012,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.108,0.0,0.0,0.0,0.104,0.01,0.178,0.0,0.0,0.0,appendix - lymphoid tissue
0.0,0.12,0.002,0.0,0.0,0.002,0.0,0.062,0.0,0.0,0.002,0.0,0.476,0.012,0.0,0.176,0.0,0.0,0.01,0.012,0.012,0.0,0.002,0.004,0.0,0.0,0.03,0.006,0.07,0.0,0.0,0.002,breast - adipocytes
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.114,0.008,0.11,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.01,0.26,0.012,0.0,0.0,0.242,0.004,0.0,0.0,heart muscle - myocytes
0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.628,0.0,0.0,0.19,0.0,0.0,0.0,0.086,0.026,0.0,0.0,0.01,0.006,0.0,0.022,0.0,0.016,0.0,0.0,0.0,kidney - cells in glomeruli
0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.16,0.0,0.038,0.132,0.114,0.0,0.0,0.0,0.0,0.0,0.106,0.0,0.116,0.0,0.092,0.028,0.144,0.056,0.0,0.0,bone marrow - hematopoietic cells
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.02,0.0,0.036,0.18,0.126,0.008,0.0,0.0,0.0,0.064,0.004,0.0,0.0,0.258,0.236,0.052,0.0,0.0,0.0,0.0,0.0,0.0,adrenal gland - glandular cells
0.0,0.114,0.0,0.0,0.0,0.01,0.0,0.002,0.0,0.0,0.014,0.0,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.002,0.084,0.338,0.026,0.138,0.016,0.026,0.0,0.05,0.0,0.0,0.0,appendix - glandular cells
0.0,0.026,0.018,0.0,0.0,0.0,0.0,0.016,0.0,0.036,0.12,0.0,0.092,0.026,0.288,0.042,0.0,0.0,0.0,0.008,0.012,0.0,0.016,0.042,0.048,0.014,0.196,0.0,0.0,0.0,0.0,0.0,fallopian tube - glandular cells
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.006,0.004,0.384,0.32,0.0,0.01,0.09,0.0,0.0,0.0,0.002,0.012,0.0,0.056,0.002,0.0,0.0,0.052,0.0,0.028,0.03,0.0,0.0,hippocampus - neuronal cells
0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.316,0.038,0.0,0.028,0.0,0.0,0.0,0.002,0.06,0.0,0.02,0.008,0.192,0.0,0.0,0.0,0.004,0.0,0.04,0.0,"cervix, uterine - squamous epithelial cells"
0.0,0.05,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.144,0.194,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,breast - glandular cells
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.37,0.0,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.01,0.002,0.48,0.002,0.0,0.0,cerebellum - cells in molecular layer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.004,0.032,0.088,0.008,0.0,0.0,0.0,0.038,0.0,0.016,0.016,0.062,0.0,0.01,0.002,0.228,0.096,0.0,0.0,lateral ventricle - glial cells
0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.008,0.0,0.018,0.0,0.0,0.05,0.0,0.03,0.004,0.0,0.0,0.024,0.0,0.012,0.0,0.248,0.0,0.46,0.0,0.024,0.0,0.098,0.002,0.0,0.0,hippocampus - glial cells
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.174,0.0,0.008,0.046,0.0,0.0,0.0,0.0,0.054,0.0,0.03,0.006,0.306,0.0,0.086,0.0,0.242,0.046,0.0,0.0,cerebellum - cells in granular layer
0.0,0.06,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.016,0.002,0.002,0.526,0.0,0.0,0.054,0.0,0.0,0.0,0.002,0.068,0.0,0.024,0.006,0.134,0.0,0.074,0.016,0.0,0.0,0.0,0.0,cerebral cortex - glial cells
0.02,0.032,0.0,0.0,0.0,0.082,0.0,0.006,0.0,0.004,0.014,0.0,0.12,0.004,0.0,0.276,0.0,0.0,0.0,0.0,0.014,0.058,0.06,0.004,0.098,0.072,0.042,0.0,0.09,0.004,0.0,0.0,epididymis - glandular cells
0.0,0.012,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.002,0.0,0.0,0.34,0.0,0.174,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.068,0.0,0.004,0.0,0.086,0.046,0.0,0.0,cerebellum - Purkinje cells
0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.362,0.0,0.0,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.088,0.0,0.0,0.0,bronchus - respiratory epithelial cells
