heart muscle - myocytes,colon - glandular cells,appendix - lymphoid tissue,hippocampus - neuronal cells,"cervix, uterine - squamous epithelial cells","cervix, uterine - glandular cells",cerebellum - Purkinje cells,hippocampus - glial cells,esophagus - squamous epithelial cells,skeletal_muscle_myocytes,kidney - cells in tubules,bone marrow - hematopoietic cells,bronchus - respiratory epithelial cells,adrenal gland - glandular cells,fallopian tube - glandular cells,lung_macrophages,colon - endothelial cells,cerebral cortex - neuropil,cerebral cortex - glial cells,breast - myoepithelial cells,breast - glandular cells,breast - adipocytes,cerebellum - cells in molecular layer,cerebellum - cells in granular layer,cerebral cortex - endothelial cells,cerebral cortex - neuronal cells,kidney - cells in glomeruli,gallbladder - glandular cells,liver_hepatocytes,epididymis - glandular cells,appendix - glandular cells,lateral ventricle - glial cells,test_label
0.977,0.0,0.009,0.0,0.0005,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.0,heart muscle - myocytes
0.0,0.41,0.032,0.0,0.0,0.138,0.0,0.0675,0.0,0.043,0.003,0.0,0.0,0.0,0.017,0.0035,0.0,0.0,0.149,0.0325,0.0,0.0,0.0,0.0,0.0005,0.0,0.004,0.0,0.0,0.0,0.0,0.1,colon - glandular cells
0.0,0.0,0.368,0.0,0.0,0.0,0.0,0.5225,0.0,0.0,0.0,0.01,0.0,0.0,0.056,0.0265,0.0,0.0,0.0,0.0,0.0,0.002,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145,appendix - lymphoid tissue
0.0,0.0,0.0,0.9995,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hippocampus - neuronal cells
0.0,0.0,0.0,0.0,0.7875,0.0,0.0,0.0005,0.0,0.015,0.0,0.0165,0.0,0.0,0.0165,0.0,0.0,0.0,0.032,0.0,0.0,0.0345,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097,"cervix, uterine - squamous epithelial cells"
0.006,0.0,0.0,0.0005,0.0,0.6525,0.0,0.1655,0.0035,0.031,0.0,0.018,0.0,0.0,0.0,0.0275,0.003,0.0,0.0035,0.026,0.0,0.0275,0.012,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.023,"cervix, uterine - glandular cells"
0.0,0.0,0.0025,0.0,0.008,0.0,0.732,0.0635,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.012,0.0,0.0,0.033,0.0,0.0,0.0,0.139,0.002,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.002,cerebellum - Purkinje cells
0.0,0.0,0.0,0.01,0.0035,0.0,0.0,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.011,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hippocampus - glial cells
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5105,0.3935,0.0,0.0,0.0,0.0465,0.0,0.0005,0.0015,0.001,0.0,0.0005,0.0115,0.0,0.0,0.0005,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0325,esophagus - squamous epithelial cells
0.0,0.0,0.0,0.0015,0.0365,0.0,0.0,0.155,0.0,0.398,0.0,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0175,0.0,0.0,0.002,0.303,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,skeletal_muscle_myocytes
