appendix - glandular cells,cerebellum - cells in molecular layer,colon - endothelial cells,appendix - lymphoid tissue,cerebral cortex - neuropil,skeletal_muscle_myocytes,breast - glandular cells,liver_hepatocytes,fallopian tube - glandular cells,kidney - cells in glomeruli,cerebellum - Purkinje cells,gallbladder - glandular cells,epididymis - glandular cells,lateral ventricle - glial cells,colon - glandular cells,adrenal gland - glandular cells,breast - adipocytes,lung_macrophages,cerebral cortex - endothelial cells,heart muscle - myocytes,bone marrow - hematopoietic cells,cerebral cortex - neuronal cells,hippocampus - glial cells,kidney - cells in tubules,esophagus - squamous epithelial cells,"cervix, uterine - glandular cells",cerebellum - cells in granular layer,breast - myoepithelial cells,cerebral cortex - glial cells,"cervix, uterine - squamous epithelial cells",bronchus - respiratory epithelial cells,hippocampus - neuronal cells,test_label
0.0,0.214,0.0,0.006,0.192,0.0,0.174,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.032,0.0,0.0,0.008,0.004,0.0,0.0,0.152,0.062,0.0,0.14,0.0,0.0,0.0,0.002,appendix - glandular cells
0.0,0.028,0.0,0.062,0.014,0.0,0.0,0.0,0.214,0.0,0.186,0.0,0.0,0.004,0.0,0.0,0.358,0.004,0.028,0.0,0.012,0.0,0.036,0.04,0.0,0.004,0.01,0.0,0.0,0.0,0.0,0.0,cerebellum - cells in molecular layer
0.0,0.0,0.014,0.056,0.0,0.0,0.044,0.012,0.45,0.0,0.02,0.0,0.04,0.018,0.006,0.0,0.01,0.0,0.038,0.0,0.2,0.002,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,colon - endothelial cells
0.0,0.158,0.0,0.0,0.106,0.01,0.022,0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.306,0.0,0.054,0.0,0.264,0.0,0.026,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,appendix - lymphoid tissue
0.0,0.0,0.0,0.174,0.058,0.0,0.008,0.0,0.21,0.0,0.0,0.028,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.184,0.022,0.0,0.274,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,cerebral cortex - neuropil
0.002,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.158,0.0,0.0,0.0,0.064,0.266,0.0,0.092,0.0,0.014,0.0,0.0,0.0,0.252,0.0,0.0,0.122,0.0,0.0,0.016,0.0,0.0,0.0,skeletal_muscle_myocytes
0.0,0.198,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.268,0.192,0.026,0.056,0.038,0.014,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.0,0.082,0.0,breast - glandular cells
0.0,0.0,0.004,0.058,0.0,0.0,0.0,0.0,0.0,0.158,0.0,0.0,0.0,0.0,0.0,0.114,0.0,0.01,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.206,0.0,0.0,liver_hepatocytes
0.0,0.0,0.0,0.158,0.282,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.098,0.006,0.0,0.0,0.0,0.268,0.006,0.008,0.0,0.0,0.0,0.006,0.02,0.138,0.0,0.008,0.0,0.0,0.0,fallopian tube - glandular cells
0.0,0.0,0.002,0.052,0.0,0.0,0.0,0.0,0.004,0.004,0.0,0.01,0.0,0.0,0.0,0.0,0.656,0.016,0.0,0.0,0.054,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.144,0.0,0.052,kidney - cells in glomeruli
