tsne0,tsne1,label
37.821377,5.2379274,cerebral cortex - glial cells
38.793636,-3.481731,cerebral cortex - glial cells
34.430614,3.2448306,cerebral cortex - glial cells
36.047745,4.4095592,cerebral cortex - glial cells
41.50516,5.668094,cerebral cortex - glial cells
34.46991,-0.14484908,cerebral cortex - glial cells
36.29108,-1.9819769,cerebral cortex - glial cells
41.162586,-0.6834804,cerebral cortex - glial cells
36.958973,5.215601,cerebral cortex - glial cells
40.420307,1.471318,cerebral cortex - glial cells
52.269337,3.6141188,cerebral cortex - glial cells
36.042492,4.3947177,cerebral cortex - glial cells
38.420074,-3.4885054,cerebral cortex - glial cells
49.399437,2.989554,cerebral cortex - glial cells
36.494488,-1.9224305,cerebral cortex - glial cells
34.5798,-0.2446172,cerebral cortex - glial cells
36.46413,-1.8757629,cerebral cortex - glial cells
39.045982,-3.4946494,cerebral cortex - glial cells
42.84474,4.8109436,cerebral cortex - glial cells
34.41307,2.2311935,cerebral cortex - glial cells
50.532093,2.0799131,cerebral cortex - glial cells
47.31292,3.5271235,cerebral cortex - glial cells
38.433666,6.070845,cerebral cortex - glial cells
34.7459,3.3581886,cerebral cortex - glial cells
35.675423,4.1426873,cerebral cortex - glial cells
40.084995,-2.4113548,cerebral cortex - glial cells
34.40629,3.2531939,cerebral cortex - glial cells
43.865303,4.600229,cerebral cortex - glial cells
52.420387,3.593731,cerebral cortex - glial cells
41.14546,-1.5317765,cerebral cortex - glial cells
37.791157,5.194397,cerebral cortex - glial cells
34.941856,-0.7664477,cerebral cortex - glial cells
34.373215,3.0175798,cerebral cortex - glial cells
40.997444,5.765408,cerebral cortex - glial cells
50.053753,2.2154744,cerebral cortex - glial cells
43.62613,4.183334,cerebral cortex - glial cells
46.759243,3.466293,cerebral cortex - glial cells
35.20253,-1.8724331,cerebral cortex - glial cells
43.758442,4.139125,cerebral cortex - glial cells
39.616302,6.3584895,cerebral cortex - glial cells
34.518757,3.1929758,cerebral cortex - glial cells
43.961334,4.7052984,cerebral cortex - glial cells
39.660275,0.46587002,cerebral cortex - glial cells
36.931744,-3.5349097,cerebral cortex - glial cells
34.74907,3.3679316,cerebral cortex - glial cells
39.581753,6.321552,cerebral cortex - glial cells
35.42657,-1.9832788,cerebral cortex - glial cells
39.379974,-2.3363745,cerebral cortex - glial cells
40.436176,0.3053677,cerebral cortex - glial cells
52.03415,3.747038,cerebral cortex - glial cells
51.71348,4.000989,cerebral cortex - glial cells
34.439434,1.8945735,cerebral cortex - glial cells
40.078945,6.0738997,cerebral cortex - glial cells
47.303936,3.6641753,cerebral cortex - glial cells
43.86125,4.044346,cerebral cortex - glial cells
35.2286,-1.8738445,cerebral cortex - glial cells
36.716427,-2.7262342,cerebral cortex - glial cells
34.468933,3.2861423,cerebral cortex - glial cells
34.07531,1.9184033,cerebral cortex - glial cells
40.503628,0.9562714,cerebral cortex - glial cells
35.382744,-1.6449935,cerebral cortex - glial cells
52.21487,3.6144304,cerebral cortex - glial cells
47.04994,3.5706682,cerebral cortex - glial cells
34.896866,-0.5315847,cerebral cortex - glial cells
47.06728,3.5465899,cerebral cortex - glial cells
36.84742,-2.038151,cerebral cortex - glial cells
40.975094,5.8048935,cerebral cortex - glial cells
46.34213,2.4651427,cerebral cortex - glial cells
51.76724,3.9934769,cerebral cortex - glial cells
39.018467,-3.413048,cerebral cortex - glial cells
41.16809,5.8389177,cerebral cortex - glial cells
41.31398,-0.73043734,cerebral cortex - glial cells
39.055435,-3.4208224,cerebral cortex - glial cells
50.510303,2.1416667,cerebral cortex - glial cells
34.448925,0.42670184,cerebral cortex - glial cells
45.946873,2.768354,cerebral cortex - glial cells
41.14802,5.8703556,cerebral cortex - glial cells
52.197826,3.1791918,cerebral cortex - glial cells
50.487606,2.323529,cerebral cortex - glial cells
45.249542,3.253734,cerebral cortex - glial cells
43.49907,4.1892457,cerebral cortex - glial cells
36.121315,-1.9137671,cerebral cortex - glial cells
46.35638,2.5641296,cerebral cortex - glial cells
52.067142,3.5640683,cerebral cortex - glial cells
39.15427,6.208786,cerebral cortex - glial cells
44.736298,3.524404,cerebral cortex - glial cells
49.662872,2.835891,cerebral cortex - glial cells
50.49512,2.1797855,cerebral cortex - glial cells
44.86561,3.4019594,cerebral cortex - glial cells
44.87019,3.6184356,cerebral cortex - glial cells
35.632492,4.109259,cerebral cortex - glial cells
45.171425,3.2325218,cerebral cortex - glial cells
34.91338,-0.5981785,cerebral cortex - glial cells
52.330708,3.3374066,cerebral cortex - glial cells
34.328743,2.6240525,cerebral cortex - glial cells
48.324604,3.5347059,cerebral cortex - glial cells
48.7217,3.3934035,cerebral cortex - glial cells
44.69229,4.3420763,cerebral cortex - glial cells
34.94896,3.472047,cerebral cortex - glial cells
44.47573,4.2757187,cerebral cortex - glial cells
43.6224,4.1623473,cerebral cortex - glial cells
51.775444,4.0026736,cerebral cortex - glial cells
39.39107,-3.035522,cerebral cortex - glial cells
40.8214,5.683181,cerebral cortex - glial cells
39.13956,6.111931,cerebral cortex - glial cells
42.66109,4.9019203,cerebral cortex - glial cells
40.206593,-2.4282188,cerebral cortex - glial cells
39.387665,6.237398,cerebral cortex - glial cells
48.217327,3.5946105,cerebral cortex - glial cells
43.102184,4.911076,cerebral cortex - glial cells
52.45408,3.6229203,cerebral cortex - glial cells
44.856075,3.8993416,cerebral cortex - glial cells
46.59059,3.2191129,cerebral cortex - glial cells
34.188663,2.1115603,cerebral cortex - glial cells
49.576153,2.836446,cerebral cortex - glial cells
39.21462,-2.3758826,cerebral cortex - glial cells
34.496788,1.5249273,cerebral cortex - glial cells
36.301655,-1.9854085,cerebral cortex - glial cells
48.644207,3.5836663,cerebral cortex - glial cells
43.88369,4.0526934,cerebral cortex - glial cells
34.326797,3.014997,cerebral cortex - glial cells
35.0449,-0.86395806,cerebral cortex - glial cells
36.842525,5.039933,cerebral cortex - glial cells
40.789295,-0.11112524,cerebral cortex - glial cells
37.83985,-3.504104,cerebral cortex - glial cells
44.366142,4.2515583,cerebral cortex - glial cells
46.679787,3.3509245,cerebral cortex - glial cells
41.378292,-0.8216525,cerebral cortex - glial cells
42.532368,4.9572453,cerebral cortex - glial cells
36.16327,4.500219,cerebral cortex - glial cells
38.89,6.0440745,cerebral cortex - glial cells
43.958073,4.7381716,cerebral cortex - glial cells
38.275105,-3.4415832,cerebral cortex - glial cells
49.625885,2.7118492,cerebral cortex - glial cells
39.08002,6.11338,cerebral cortex - glial cells
36.774254,-2.3789997,cerebral cortex - glial cells
48.749863,3.331258,cerebral cortex - glial cells
36.79755,-3.3540473,cerebral cortex - glial cells
39.533916,6.264477,cerebral cortex - glial cells
34.326874,2.5291996,cerebral cortex - glial cells
49.777863,2.4075747,cerebral cortex - glial cells
40.65304,-2.1786287,cerebral cortex - glial cells
42.579994,5.0034833,cerebral cortex - glial cells
34.166634,2.0644922,cerebral cortex - glial cells
45.94157,2.578337,cerebral cortex - glial cells
52.216873,3.219487,cerebral cortex - glial cells
35.04947,3.6079338,cerebral cortex - glial cells
37.77606,5.181377,cerebral cortex - glial cells
41.24653,-1.2471669,cerebral cortex - glial cells
34.417248,3.2496128,cerebral cortex - glial cells
40.441196,1.557444,cerebral cortex - glial cells
49.904503,2.2966757,cerebral cortex - glial cells
39.448772,6.267316,cerebral cortex - glial cells
37.138687,-3.5066588,cerebral cortex - glial cells
46.461113,3.0138454,cerebral cortex - glial cells
42.449253,5.0673094,cerebral cortex - glial cells
36.948128,5.2018905,cerebral cortex - glial cells
52.200794,3.1428409,cerebral cortex - glial cells
43.581593,4.201151,cerebral cortex - glial cells
37.82107,5.194784,cerebral cortex - glial cells
48.2769,3.5809026,cerebral cortex - glial cells
36.767315,-2.9459448,cerebral cortex - glial cells
36.795456,-3.2878716,cerebral cortex - glial cells
40.809254,5.719614,cerebral cortex - glial cells
32.527397,-2.8560574,cerebral cortex - glial cells
43.93172,4.6783886,cerebral cortex - glial cells
38.241734,-3.5935724,cerebral cortex - glial cells
41.654457,5.6269116,cerebral cortex - glial cells
48.930782,3.2531729,cerebral cortex - glial cells
44.824383,3.5624464,cerebral cortex - glial cells
39.33355,-3.3925405,cerebral cortex - glial cells
43.419228,4.8359575,cerebral cortex - glial cells
40.03641,-2.3858082,cerebral cortex - glial cells
43.77254,4.270008,cerebral cortex - glial cells
43.971375,4.6945167,cerebral cortex - glial cells
44.746887,4.2711797,cerebral cortex - glial cells
52.270866,3.319339,cerebral cortex - glial cells
50.381298,2.3003688,cerebral cortex - glial cells
35.743267,4.23922,cerebral cortex - glial cells
40.381382,1.1531903,cerebral cortex - glial cells
52.266747,3.5832598,cerebral cortex - glial cells
35.42516,3.846294,cerebral cortex - glial cells
46.25613,2.4551706,cerebral cortex - glial cells
39.364433,0.019175464,cerebral cortex - glial cells
41.15159,-1.39615,cerebral cortex - glial cells
41.70108,5.6096435,cerebral cortex - glial cells
45.454876,2.931355,cerebral cortex - glial cells
38.299995,-3.5773335,cerebral cortex - glial cells
37.835724,-3.5217502,cerebral cortex - glial cells
42.81045,4.8257947,cerebral cortex - glial cells
38.007576,5.48763,cerebral cortex - glial cells
36.994816,5.195375,cerebral cortex - glial cells
51.500095,2.8112583,cerebral cortex - glial cells
47.448162,3.847226,cerebral cortex - glial cells
38.206154,5.878358,cerebral cortex - glial cells
48.95131,3.2619474,cerebral cortex - glial cells
40.409332,1.5891197,cerebral cortex - glial cells
35.364452,-1.9149227,cerebral cortex - glial cells
51.256737,4.1975613,cerebral cortex - glial cells
39.073517,-3.4485424,cerebral cortex - glial cells
46.35256,2.4137561,cerebral cortex - glial cells
51.98731,3.9700007,cerebral cortex - glial cells
38.010212,5.479395,cerebral cortex - glial cells
39.204563,-2.328359,cerebral cortex - glial cells
40.474846,1.0896522,cerebral cortex - glial cells
50.496544,2.0458245,cerebral cortex - glial cells
34.49754,3.2346244,cerebral cortex - glial cells
51.36881,2.7301824,cerebral cortex - glial cells
46.328247,2.4988835,cerebral cortex - glial cells
44.767067,3.362899,cerebral cortex - glial cells
35.445515,-1.8793652,cerebral cortex - glial cells
34.11676,1.8572516,cerebral cortex - glial cells
45.449654,2.9453397,cerebral cortex - glial cells
35.332108,-1.6335969,cerebral cortex - glial cells
52.284203,3.351911,cerebral cortex - glial cells
46.832016,3.6014924,cerebral cortex - glial cells
45.447712,2.907753,cerebral cortex - glial cells
35.248566,-1.8417075,cerebral cortex - glial cells
42.249813,5.211154,cerebral cortex - glial cells
40.766514,5.767293,cerebral cortex - glial cells
34.54032,0.42466366,cerebral cortex - glial cells
51.401676,4.0353327,cerebral cortex - glial cells
46.98469,3.6214657,cerebral cortex - glial cells
35.481308,3.8801372,cerebral cortex - glial cells
48.75256,3.4369917,cerebral cortex - glial cells
40.62754,0.104161985,cerebral cortex - glial cells
34.88956,-0.61991394,cerebral cortex - glial cells
34.813995,-0.30350855,cerebral cortex - glial cells
34.688755,-0.2757654,cerebral cortex - glial cells
51.740086,4.006405,cerebral cortex - glial cells
37.17964,5.1220093,cerebral cortex - glial cells
49.50455,2.857146,cerebral cortex - glial cells
34.500694,1.704501,cerebral cortex - glial cells
40.65459,-2.333151,cerebral cortex - glial cells
44.904453,3.3242362,cerebral cortex - glial cells
35.348755,-1.6802486,cerebral cortex - glial cells
44.73633,4.2272563,cerebral cortex - glial cells
38.649788,6.07389,cerebral cortex - glial cells
34.96803,-0.8186652,cerebral cortex - glial cells
52.063133,3.7656727,cerebral cortex - glial cells
49.58093,2.8418877,cerebral cortex - glial cells
51.986805,3.9536138,cerebral cortex - glial cells
37.130554,-3.6031556,cerebral cortex - glial cells
52.443966,3.6246932,cerebral cortex - glial cells
52.193188,3.1904852,cerebral cortex - glial cells
52.390186,3.6015377,cerebral cortex - glial cells
47.455452,3.8635478,cerebral cortex - glial cells
39.9826,6.099458,cerebral cortex - glial cells
50.537388,2.1504755,cerebral cortex - glial cells
34.36548,2.4779484,cerebral cortex - glial cells
37.21487,-3.522876,cerebral cortex - glial cells
37.783127,5.182098,cerebral cortex - glial cells
51.301785,4.0730453,cerebral cortex - glial cells
36.58496,-2.0433419,cerebral cortex - glial cells
38.309376,-3.6141024,cerebral cortex - glial cells
35.09138,3.645976,cerebral cortex - glial cells
47.409046,3.7290502,cerebral cortex - glial cells
49.922466,2.3518574,cerebral cortex - glial cells
52.333305,3.467013,cerebral cortex - glial cells
38.665104,6.1659417,cerebral cortex - glial cells
39.639168,6.274851,cerebral cortex - glial cells
38.266567,5.8664985,cerebral cortex - glial cells
34.6149,-0.24980721,cerebral cortex - glial cells
35.558754,-1.9708405,cerebral cortex - glial cells
43.837414,4.4228597,cerebral cortex - glial cells
38.11908,5.641119,cerebral cortex - glial cells
41.540295,5.6533093,cerebral cortex - glial cells
34.32062,2.5766404,cerebral cortex - glial cells
48.202293,3.6129582,cerebral cortex - glial cells
43.100613,4.97572,cerebral cortex - glial cells
39.258842,-3.2647364,cerebral cortex - glial cells
45.210625,3.1922941,cerebral cortex - glial cells
45.451244,3.1053421,cerebral cortex - glial cells
34.854122,-0.4334348,cerebral cortex - glial cells
45.44809,2.9885738,cerebral cortex - glial cells
42.63638,4.9070797,cerebral cortex - glial cells
39.09147,-3.4574993,cerebral cortex - glial cells
52.47,3.6053858,cerebral cortex - glial cells
40.206367,-2.4103732,cerebral cortex - glial cells
44.32145,4.2401347,cerebral cortex - glial cells
47.413918,3.9162927,cerebral cortex - glial cells
39.188663,6.1272697,cerebral cortex - glial cells
50.494656,2.1719825,cerebral cortex - glial cells
34.107998,1.848648,cerebral cortex - glial cells
43.852505,4.0762177,cerebral cortex - glial cells
52.33056,3.595509,cerebral cortex - glial cells
51.74532,4.0088234,cerebral cortex - glial cells
36.874405,-3.450567,cerebral cortex - glial cells
42.51779,4.9580226,cerebral cortex - glial cells
40.359406,1.4359844,cerebral cortex - glial cells
51.286358,2.6439664,cerebral cortex - glial cells
41.112743,5.884023,cerebral cortex - glial cells
44.829163,4.190289,cerebral cortex - glial cells
49.741535,2.4373665,cerebral cortex - glial cells
34.80035,-0.37570605,cerebral cortex - glial cells
34.48913,-0.18557782,cerebral cortex - glial cells
