tsne0,tsne1,label
-22.941519,-23.250122,cerebral cortex - glial cells
-22.947771,-23.142027,cerebral cortex - glial cells
-23.16156,-23.584278,cerebral cortex - glial cells
-23.137968,-23.566992,cerebral cortex - glial cells
-23.14286,-23.53851,cerebral cortex - glial cells
-23.183437,-23.533697,cerebral cortex - glial cells
-23.200846,-23.497381,cerebral cortex - glial cells
-23.343225,-23.311264,cerebral cortex - glial cells
-23.3246,-23.401365,cerebral cortex - glial cells
-23.318068,-23.461357,cerebral cortex - glial cells
-23.286339,-23.42903,cerebral cortex - glial cells
-23.351778,-23.498947,cerebral cortex - glial cells
-23.307604,-23.460812,cerebral cortex - glial cells
-23.341301,-23.586576,cerebral cortex - glial cells
-23.448982,-23.613213,cerebral cortex - glial cells
-23.432695,-23.182377,cerebral cortex - glial cells
-23.4294,-23.199005,cerebral cortex - glial cells
-23.443373,-23.118855,cerebral cortex - glial cells
-23.454168,-23.017845,cerebral cortex - glial cells
-23.485188,-22.98964,cerebral cortex - glial cells
-23.413586,-22.994215,cerebral cortex - glial cells
-23.383955,-22.762808,cerebral cortex - glial cells
-23.455097,-22.91272,cerebral cortex - glial cells
-23.47173,-23.111313,cerebral cortex - glial cells
-23.413742,-23.007141,cerebral cortex - glial cells
-23.446596,-23.056463,cerebral cortex - glial cells
-23.515333,-23.070202,cerebral cortex - glial cells
-23.519999,-22.981356,cerebral cortex - glial cells
-23.562672,-22.8748,cerebral cortex - glial cells
-23.64629,-22.782276,cerebral cortex - glial cells
5.218056,-5.921941,cerebral cortex - glial cells
-22.049837,1.0032587,cerebral cortex - glial cells
-21.999825,0.97986203,cerebral cortex - glial cells
-22.116108,-0.34946418,cerebral cortex - glial cells
-22.174774,-0.011243263,cerebral cortex - glial cells
-46.847733,-13.031605,cerebral cortex - glial cells
-46.839382,-13.133283,cerebral cortex - glial cells
-46.79417,-13.097353,cerebral cortex - glial cells
-46.236702,-12.437823,cerebral cortex - glial cells
-46.551018,-12.709199,cerebral cortex - glial cells
-46.650337,-12.806862,cerebral cortex - glial cells
-46.713726,-12.821993,cerebral cortex - glial cells
-46.688614,-12.823195,cerebral cortex - glial cells
-26.592041,-1.7731054,cerebral cortex - glial cells
-26.889765,-1.6388378,cerebral cortex - glial cells
-46.295956,-12.549025,cerebral cortex - glial cells
-46.117027,-12.428117,cerebral cortex - glial cells
-45.561314,-11.910521,cerebral cortex - glial cells
-45.435833,-11.246505,cerebral cortex - glial cells
-45.359875,-11.178106,cerebral cortex - glial cells
-45.45345,-11.099913,cerebral cortex - glial cells
-45.374344,-11.180396,cerebral cortex - glial cells
-45.13305,-11.347482,cerebral cortex - glial cells
-44.914543,-11.289442,cerebral cortex - glial cells
-45.658047,-11.759279,cerebral cortex - glial cells
-45.093903,-11.523633,cerebral cortex - glial cells
-44.36245,-11.626872,cerebral cortex - glial cells
-44.359985,-11.4941225,cerebral cortex - glial cells
-44.504967,-11.345719,cerebral cortex - glial cells
-44.923786,-11.421734,cerebral cortex - glial cells
-44.742023,-11.688099,cerebral cortex - glial cells
-44.427544,-12.19126,cerebral cortex - glial cells
-44.363388,-12.23563,cerebral cortex - glial cells
-44.450615,-12.07968,cerebral cortex - glial cells
-44.721447,-12.530459,cerebral cortex - glial cells
-44.263794,-12.568779,cerebral cortex - glial cells
-44.034416,-12.352656,cerebral cortex - glial cells
-29.80612,7.494594,cerebral cortex - glial cells
-29.785292,7.48813,cerebral cortex - glial cells
-29.034973,7.921989,cerebral cortex - glial cells
-28.631544,7.968478,cerebral cortex - glial cells
-28.682674,8.23677,cerebral cortex - glial cells
-28.499926,8.055126,cerebral cortex - glial cells
-28.511724,8.037116,cerebral cortex - glial cells
-29.019924,8.8542385,cerebral cortex - glial cells
-29.136425,9.044874,cerebral cortex - glial cells
-29.033493,8.917269,cerebral cortex - glial cells
-29.129139,9.10921,cerebral cortex - glial cells
-29.118357,9.071056,cerebral cortex - glial cells
-29.117035,9.048382,cerebral cortex - glial cells
-29.03353,8.919212,cerebral cortex - glial cells
-29.152983,9.122217,cerebral cortex - glial cells
-29.079472,8.984831,cerebral cortex - glial cells
-28.909544,8.713181,cerebral cortex - glial cells
-28.7352,8.3767185,cerebral cortex - glial cells
-28.411053,7.8400636,cerebral cortex - glial cells
-27.029997,6.4126883,cerebral cortex - glial cells
-28.201931,7.5191517,cerebral cortex - glial cells
-28.334078,7.796499,cerebral cortex - glial cells
-26.149883,5.8362427,cerebral cortex - glial cells
-27.955593,6.8773656,cerebral cortex - glial cells
-27.797499,6.592661,cerebral cortex - glial cells
-27.825148,6.4156985,cerebral cortex - glial cells
-27.968714,6.661698,cerebral cortex - glial cells
-27.808693,6.1906323,cerebral cortex - glial cells
-27.456064,5.6490765,cerebral cortex - glial cells
-27.814404,5.805178,cerebral cortex - glial cells
-28.069721,5.5290337,cerebral cortex - glial cells
-28.045183,5.552167,cerebral cortex - glial cells
-28.045214,5.623546,cerebral cortex - glial cells
-27.818602,6.156345,cerebral cortex - glial cells
-27.87202,6.205707,cerebral cortex - glial cells
-27.91199,6.2803416,cerebral cortex - glial cells
-18.725357,-5.906888,cerebral cortex - glial cells
-18.729496,-5.898501,cerebral cortex - glial cells
-18.758488,-5.94456,cerebral cortex - glial cells
-18.986753,-6.2546906,cerebral cortex - glial cells
-19.162367,-6.9478173,cerebral cortex - glial cells
-19.097431,-7.018439,cerebral cortex - glial cells
-18.918034,-6.7447543,cerebral cortex - glial cells
-19.149343,-7.1628127,cerebral cortex - glial cells
-19.72325,-8.312324,cerebral cortex - glial cells
-19.870947,-8.454572,cerebral cortex - glial cells
-19.666489,-8.053405,cerebral cortex - glial cells
-19.320448,-8.069762,cerebral cortex - glial cells
-19.254156,-7.722083,cerebral cortex - glial cells
-18.980974,-7.830816,cerebral cortex - glial cells
-19.025335,-7.5539966,cerebral cortex - glial cells
-19.497562,-7.1657276,cerebral cortex - glial cells
-18.87699,-7.751091,cerebral cortex - glial cells
-18.939856,-8.417763,cerebral cortex - glial cells
-19.064613,-8.527567,cerebral cortex - glial cells
-19.544111,-8.009464,cerebral cortex - glial cells
-19.072855,-9.499162,cerebral cortex - glial cells
-18.85571,-9.642175,cerebral cortex - glial cells
-18.43663,-10.0370865,cerebral cortex - glial cells
-18.458057,-10.050364,cerebral cortex - glial cells
-18.416607,-10.009346,cerebral cortex - glial cells
-18.5012,-10.01779,cerebral cortex - glial cells
-18.646147,-9.467771,cerebral cortex - glial cells
-18.708902,-10.034709,cerebral cortex - glial cells
-18.874344,-9.984583,cerebral cortex - glial cells
-18.437586,-9.544703,cerebral cortex - glial cells
-18.782497,-9.987071,cerebral cortex - glial cells
-18.852543,-9.873794,cerebral cortex - glial cells
-19.089674,-9.896773,cerebral cortex - glial cells
-18.980186,-9.4980545,cerebral cortex - glial cells
-19.071814,-9.753833,cerebral cortex - glial cells
-19.00128,-9.49017,cerebral cortex - glial cells
-19.206507,-8.89976,cerebral cortex - glial cells
-19.108915,-9.119884,cerebral cortex - glial cells
-19.178415,-8.732337,cerebral cortex - glial cells
-19.787788,-8.860775,cerebral cortex - glial cells
-19.824108,-9.056164,cerebral cortex - glial cells
-19.093697,-9.720891,cerebral cortex - glial cells
-18.025358,-10.023654,cerebral cortex - glial cells
-18.452356,-10.237975,cerebral cortex - glial cells
-18.387999,-9.155183,cerebral cortex - glial cells
-18.478312,-8.941803,cerebral cortex - glial cells
-18.751904,-9.115767,cerebral cortex - glial cells
-18.382143,-8.669576,cerebral cortex - glial cells
-19.774572,-7.763014,cerebral cortex - glial cells
-20.257595,-7.296213,cerebral cortex - glial cells
-20.352365,-7.324274,cerebral cortex - glial cells
-20.356264,-7.220425,cerebral cortex - glial cells
-20.374567,-7.5508947,cerebral cortex - glial cells
-20.500565,-7.6350293,cerebral cortex - glial cells
-20.361961,-7.583895,cerebral cortex - glial cells
-20.269869,-7.568191,cerebral cortex - glial cells
-20.44431,-7.0241203,cerebral cortex - glial cells
-20.443493,-7.236131,cerebral cortex - glial cells
-20.558817,-6.6546054,cerebral cortex - glial cells
-20.51762,-6.8891387,cerebral cortex - glial cells
-20.467035,-7.0906816,cerebral cortex - glial cells
-20.558983,-6.5687947,cerebral cortex - glial cells
-20.583076,-6.5273414,cerebral cortex - glial cells
-20.610653,-6.706127,cerebral cortex - glial cells
-20.482777,-6.9756613,cerebral cortex - glial cells
-20.231386,-8.982394,cerebral cortex - glial cells
-20.377235,-9.232066,cerebral cortex - glial cells
-20.246964,-9.4868,cerebral cortex - glial cells
-20.408516,-9.33579,cerebral cortex - glial cells
-20.690351,-9.942606,cerebral cortex - glial cells
-20.607101,-9.04192,cerebral cortex - glial cells
-20.560408,-9.319954,cerebral cortex - glial cells
