epoch,loss,reconstruction_loss,divergence_loss,test_loss,test_rec,test_div,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,main_folder,losses_file,run
0,4523.693185,4274.82694,248.86627749999997,3980.356305,3938.4038549999996,41.952421900000004,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
1,3470.85458,3442.807295,28.047268550000002,3499.9263650000003,3471.9321649999997,27.9942142,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
2,3262.908245,3234.926535,27.981732899999997,3343.068625,3315.4462700000004,27.62238845,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
3,3063.422865,3036.64294,26.7799461,3166.227325,3139.34009,26.88725465,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
4,2797.7603200000003,2768.042695,29.7176376,3000.4813050000002,2973.383445,27.0978392,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
5,2611.359945,2581.16194,30.198004700000002,2933.1273850000002,2906.263035,26.864349249999997,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
6,2457.199175,2427.24607,29.953125999999997,2875.594145,2848.60421,26.9899561,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
7,2287.34297,2255.989145,31.35381075,2833.502085,2806.685935,26.8161658,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
8,2143.17976,2110.397935,32.781822,2799.20727,2772.37521,26.832064250000002,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
9,1970.2561699999999,1935.1412,35.11497005,2752.363275,2725.11175,27.251514550000003,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
