epoch,loss,reconstruction_loss,divergence_loss,stoicheometry_loss,test_loss,test_reconstruction_loss,test_divergence_loss,test_stoicheometry_loss,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,save_test_min,weight_decay,beta_S,main_folder,losses_file,run
0,3449.8246449999997,3416.11445,33.7101544,0.0,3504.2267549999997,3473.5225100000002,30.704237749999997,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/1000/0,./data/samples/single_cells/agren_liver_hepatocytes/1000/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/1000//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_1000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_1000/runs/0/losses.csv,0
1,3145.35444,3120.201785,25.152645749999998,0.0,3291.07877,3268.39067,22.68809975,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/1000/0,./data/samples/single_cells/agren_liver_hepatocytes/1000/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/1000//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_1000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_1000/runs/0/losses.csv,0
2,2912.9144349999997,2884.14194,28.772511650000002,0.0,3218.68328,3196.3072349999998,22.37604225,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/1000/0,./data/samples/single_cells/agren_liver_hepatocytes/1000/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/1000//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_1000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_1000/runs/0/losses.csv,0
3,2682.205235,2650.46659,31.738673950000003,0.0,3142.15809,3118.437095,23.72099315,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/1000/0,./data/samples/single_cells/agren_liver_hepatocytes/1000/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/1000//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_1000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_1000/runs/0/losses.csv,0
4,2394.2817750000004,2355.71803,38.56378535,0.0,3059.682205,3033.37435,26.307878999999996,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/1000/0,./data/samples/single_cells/agren_liver_hepatocytes/1000/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/1000//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_1000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_1000/runs/0/losses.csv,0
5,2096.569945,2049.54046,47.0294868,0.0,3002.553435,2973.57679,28.976658049999998,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/1000/0,./data/samples/single_cells/agren_liver_hepatocytes/1000/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/1000//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_1000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_1000/runs/0/losses.csv,0
6,1825.121255,1772.598,52.523264700000006,0.0,2958.600585,2927.92038,30.6802285,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/1000/0,./data/samples/single_cells/agren_liver_hepatocytes/1000/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/1000//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_1000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_1000/runs/0/losses.csv,0
7,1613.8044249999998,1557.6408900000001,56.16350885000001,0.0,2924.24294,2892.41672,31.826237149999997,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/1000/0,./data/samples/single_cells/agren_liver_hepatocytes/1000/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/1000//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_1000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_1000/runs/0/losses.csv,0
8,1458.650095,1401.00444,57.64565075,0.0,2898.596675,2866.099795,32.49688135,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/1000/0,./data/samples/single_cells/agren_liver_hepatocytes/1000/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/1000//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_1000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_1000/runs/0/losses.csv,0
9,1325.362815,1266.099225,59.26358904999999,0.0,2872.0180250000003,2838.00918,34.00883525,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/1000/0,./data/samples/single_cells/agren_liver_hepatocytes/1000/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/1000//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_1000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_1000/runs/0/losses.csv,0
