epoch,loss,reconstruction_loss,divergence_loss,test_loss,test_rec,test_div,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,main_folder,losses_file,run
0,4219.94232,4190.5924749999995,29.349957949999997,4328.84807,4247.742605,81.10537670000001,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
1,3952.9572,3926.67146,26.2857409,4086.15155,4064.6611299999995,21.49047265,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
2,3673.413995,3640.0193050000003,33.394658500000006,4012.659685,3988.74587,23.913806400000002,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
3,3390.38104,3350.61791,39.763149549999994,3959.4336300000004,3933.513145,25.920467000000002,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
4,3085.893145,3040.15333,45.739790049999996,3937.0663699999996,3908.667185,28.399192749999997,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
5,2772.112295,2716.0269550000003,56.08533665,3928.711875,3898.044485,30.6673774,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
6,2474.58095,2414.005435,60.57551745000001,3924.98923,3893.694045,31.2951801,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
7,2239.36774,2176.931795,62.43595285,3910.920955,3880.064795,30.856124349999998,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
8,2047.429365,1984.21218,63.217183399999996,3901.2836799999995,3870.735445,30.548265449999995,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
9,1886.7306250000001,1823.088165,63.64244475,3891.501115,3861.3244,30.1766774,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
