tsne0,tsne1,label,file_n,sample_n,file_name
41.63096,64.57646,liver_hepatocytes_10000,0,320,liver_hepatocytes_10000_5000(2)
5.695774,36.61189,liver_hepatocytes_10000,0,2099,liver_hepatocytes_10000_5000(2)
-7.9530497,31.799702,liver_hepatocytes_10000,0,2279,liver_hepatocytes_10000_5000(2)
21.9513,15.350893,liver_hepatocytes_10000,0,4410,liver_hepatocytes_10000_5000(2)
-12.427884,64.368126,liver_hepatocytes_10000,0,1714,liver_hepatocytes_10000_5000(2)
36.47103,-34.271393,liver_hepatocytes_10000,0,517,liver_hepatocytes_10000_5000(2)
-43.751556,70.69364,liver_hepatocytes_10000,0,3238,liver_hepatocytes_10000_5000(2)
-36.140747,-23.647306,liver_hepatocytes_10000,0,4222,liver_hepatocytes_10000_5000(2)
6.845736,-16.21519,liver_hepatocytes_10000,0,1642,liver_hepatocytes_10000_5000(2)
63.152637,41.820713,liver_hepatocytes_10000,0,760,liver_hepatocytes_10000_5000(2)
-18.598875,52.798775,liver_hepatocytes_10000,0,3380,liver_hepatocytes_10000_5000(2)
15.106091,72.677,liver_hepatocytes_10000,0,2673,liver_hepatocytes_10000_5000(2)
-5.367193,91.12522,liver_hepatocytes_10000,0,3797,liver_hepatocytes_10000_5000(2)
65.40774,-72.02884,liver_hepatocytes_10000,0,2415,liver_hepatocytes_10000_5000(2)
74.17037,-66.89611,liver_hepatocytes_10000,0,2869,liver_hepatocytes_10000_5000(2)
11.917164,65.06808,liver_hepatocytes_10000,0,998,liver_hepatocytes_10000_5000(2)
5.7347603,-15.593097,liver_hepatocytes_10000,0,1632,liver_hepatocytes_10000_5000(2)
31.791525,21.261751,liver_hepatocytes_10000,0,4985,liver_hepatocytes_10000_5000(2)
6.971979,38.342438,liver_hepatocytes_10000,0,2043,liver_hepatocytes_10000_5000(2)
15.405895,73.43029,liver_hepatocytes_10000,0,2665,liver_hepatocytes_10000_5000(2)
-33.257996,82.5983,liver_hepatocytes_10000,0,1533,liver_hepatocytes_10000_5000(2)
6.955592,38.32318,liver_hepatocytes_10000,0,2047,liver_hepatocytes_10000_5000(2)
36.290062,22.893696,liver_hepatocytes_10000,0,2971,liver_hepatocytes_10000_5000(2)
5.709301,36.647778,liver_hepatocytes_10000,0,2089,liver_hepatocytes_10000_5000(2)
36.26324,22.879848,liver_hepatocytes_10000,0,2974,liver_hepatocytes_10000_5000(2)
-0.30270293,17.547487,liver_hepatocytes_10000,0,33,liver_hepatocytes_10000_5000(2)
-20.31868,-85.92647,liver_hepatocytes_10000,0,1124,liver_hepatocytes_10000_5000(2)
-71.71276,-69.368515,liver_hepatocytes_10000,0,1070,liver_hepatocytes_10000_5000(2)
63.94251,-69.454895,liver_hepatocytes_10000,0,2372,liver_hepatocytes_10000_5000(2)
-32.586437,82.9252,liver_hepatocytes_10000,0,1539,liver_hepatocytes_10000_5000(2)
13.15852,5.813124,liver_hepatocytes_10000,0,1829,liver_hepatocytes_10000_5000(2)
30.477144,17.725582,liver_hepatocytes_10000,0,2620,liver_hepatocytes_10000_5000(2)
-8.092165,-45.760525,liver_hepatocytes_10000,0,3625,liver_hepatocytes_10000_5000(2)
13.620636,61.427452,liver_hepatocytes_10000,0,383,liver_hepatocytes_10000_5000(2)
6.787817,-16.1858,liver_hepatocytes_10000,0,1639,liver_hepatocytes_10000_5000(2)
-1.620535,66.157135,liver_hepatocytes_10000,0,1192,liver_hepatocytes_10000_5000(2)
1.8605917,-8.425237,liver_hepatocytes_10000,0,2597,liver_hepatocytes_10000_5000(2)
31.099169,79.72234,liver_hepatocytes_10000,0,609,liver_hepatocytes_10000_5000(2)
10.30307,-2.0765252,liver_hepatocytes_10000,0,0,liver_hepatocytes_10000_5000(2)
62.81387,19.278889,liver_hepatocytes_10000,0,3032,liver_hepatocytes_10000_5000(2)
41.84401,63.956093,liver_hepatocytes_10000,0,305,liver_hepatocytes_10000_5000(2)
-21.72861,-73.68163,liver_hepatocytes_10000,0,3909,liver_hepatocytes_10000_5000(2)
-19.976864,48.18757,liver_hepatocytes_10000,0,4204,liver_hepatocytes_10000_5000(2)
32.450287,-78.97886,liver_hepatocytes_10000,0,152,liver_hepatocytes_10000_5000(2)
21.933891,15.376045,liver_hepatocytes_10000,0,4424,liver_hepatocytes_10000_5000(2)
-14.504386,7.392813,liver_hepatocytes_10000,0,4781,liver_hepatocytes_10000_5000(2)
0.4200755,21.864283,liver_hepatocytes_10000,0,4886,liver_hepatocytes_10000_5000(2)
40.39174,2.781692,liver_hepatocytes_10000,0,1887,liver_hepatocytes_10000_5000(2)
-23.865822,21.115034,liver_hepatocytes_10000,0,332,liver_hepatocytes_10000_5000(2)
-14.592513,-14.824304,liver_hepatocytes_10000,0,2931,liver_hepatocytes_10000_5000(2)
-1.7618096,21.057936,liver_hepatocytes_10000,0,2730,liver_hepatocytes_10000_5000(2)
-12.415846,64.56448,liver_hepatocytes_10000,0,1724,liver_hepatocytes_10000_5000(2)
38.178665,-39.30272,liver_hepatocytes_10000,0,2570,liver_hepatocytes_10000_5000(2)
32.450756,-78.980225,liver_hepatocytes_10000,0,160,liver_hepatocytes_10000_5000(2)
16.419498,-7.505003,liver_hepatocytes_10000,0,1607,liver_hepatocytes_10000_5000(2)
62.81648,19.27732,liver_hepatocytes_10000,0,3031,liver_hepatocytes_10000_5000(2)
65.36327,-71.93814,liver_hepatocytes_10000,0,2408,liver_hepatocytes_10000_5000(2)
30.188112,8.131799,liver_hepatocytes_10000,0,4283,liver_hepatocytes_10000_5000(2)
5.663157,-36.98945,liver_hepatocytes_10000,0,4545,liver_hepatocytes_10000_5000(2)
5.8681083,-34.158195,liver_hepatocytes_10000,0,4063,liver_hepatocytes_10000_5000(2)
-36.315468,80.955086,liver_hepatocytes_10000,0,1508,liver_hepatocytes_10000_5000(2)
8.432181,-36.55166,liver_hepatocytes_10000,0,4241,liver_hepatocytes_10000_5000(2)
-4.4129972,90.52305,liver_hepatocytes_10000,0,3814,liver_hepatocytes_10000_5000(2)
-23.878138,21.112967,liver_hepatocytes_10000,0,330,liver_hepatocytes_10000_5000(2)
-13.153975,57.88216,liver_hepatocytes_10000,0,101,liver_hepatocytes_10000_5000(2)
-2.405325,65.831795,liver_hepatocytes_10000,0,1174,liver_hepatocytes_10000_5000(2)
-12.459036,66.81436,liver_hepatocytes_10000,0,1745,liver_hepatocytes_10000_5000(2)
-9.088683,-47.581017,liver_hepatocytes_10000,0,3650,liver_hepatocytes_10000_5000(2)
-71.7428,-69.389084,liver_hepatocytes_10000,0,1051,liver_hepatocytes_10000_5000(2)
63.355663,41.393635,liver_hepatocytes_10000,0,752,liver_hepatocytes_10000_5000(2)
-4.855287,90.79889,liver_hepatocytes_10000,0,3801,liver_hepatocytes_10000_5000(2)
-24.897709,40.278576,liver_hepatocytes_10000,0,3501,liver_hepatocytes_10000_5000(2)
-16.049889,19.718882,liver_hepatocytes_10000,0,2825,liver_hepatocytes_10000_5000(2)
0.044860955,3.5569685,liver_hepatocytes_10000,0,357,liver_hepatocytes_10000_5000(2)
32.468307,-44.417072,liver_hepatocytes_10000,0,541,liver_hepatocytes_10000_5000(2)
70.09706,-23.50122,liver_hepatocytes_10000,0,1274,liver_hepatocytes_10000_5000(2)
16.052128,4.3877473,liver_hepatocytes_10000,0,3598,liver_hepatocytes_10000_5000(2)
17.737734,46.051147,liver_hepatocytes_10000,0,1995,liver_hepatocytes_10000_5000(2)
70.506325,-24.20409,liver_hepatocytes_10000,0,1291,liver_hepatocytes_10000_5000(2)
-9.973729,3.4949007,liver_hepatocytes_10000,0,3727,liver_hepatocytes_10000_5000(2)
-18.153551,85.03066,liver_hepatocytes_10000,0,2174,liver_hepatocytes_10000_5000(2)
41.64021,-62.91716,liver_hepatocytes_10000,0,4711,liver_hepatocytes_10000_5000(2)
-5.366509,91.1258,liver_hepatocytes_10000,0,3795,liver_hepatocytes_10000_5000(2)
-12.491753,63.59707,liver_hepatocytes_10000,0,1703,liver_hepatocytes_10000_5000(2)
69.21797,-21.919813,liver_hepatocytes_10000,0,1249,liver_hepatocytes_10000_5000(2)
-18.574688,52.76803,liver_hepatocytes_10000,0,3375,liver_hepatocytes_10000_5000(2)
74.305954,-69.024414,liver_hepatocytes_10000,0,2906,liver_hepatocytes_10000_5000(2)
30.19143,8.13342,liver_hepatocytes_10000,0,4290,liver_hepatocytes_10000_5000(2)
70.253746,-23.765862,liver_hepatocytes_10000,0,1282,liver_hepatocytes_10000_5000(2)
-45.493282,12.114422,liver_hepatocytes_10000,0,4666,liver_hepatocytes_10000_5000(2)
53.688946,74.26481,liver_hepatocytes_10000,0,4824,liver_hepatocytes_10000_5000(2)
11.096507,65.27328,liver_hepatocytes_10000,0,1003,liver_hepatocytes_10000_5000(2)
3.7156832,12.756502,liver_hepatocytes_10000,0,4321,liver_hepatocytes_10000_5000(2)
