tsne0,tsne1,label
6.790986,-71.17484,cerebral cortex - glial cells
6.752455,-71.242065,cerebral cortex - glial cells
6.7507124,-71.25037,cerebral cortex - glial cells
6.7274427,-71.24724,cerebral cortex - glial cells
6.7461395,-71.23324,cerebral cortex - glial cells
6.7128277,-71.30093,cerebral cortex - glial cells
6.657641,-71.43262,cerebral cortex - glial cells
6.60408,-71.48483,cerebral cortex - glial cells
6.633116,-71.48159,cerebral cortex - glial cells
6.6736975,-71.410126,cerebral cortex - glial cells
6.6669683,-71.41594,cerebral cortex - glial cells
6.75178,-71.333115,cerebral cortex - glial cells
6.6991825,-71.43199,cerebral cortex - glial cells
6.61009,-71.52683,cerebral cortex - glial cells
6.5670266,-71.62654,cerebral cortex - glial cells
6.4815574,-71.78498,cerebral cortex - glial cells
6.4564633,-71.78681,cerebral cortex - glial cells
6.40424,-71.84142,cerebral cortex - glial cells
6.4059906,-71.834015,cerebral cortex - glial cells
6.3298693,-71.96236,cerebral cortex - glial cells
6.3918886,-71.87244,cerebral cortex - glial cells
6.4138575,-71.80567,cerebral cortex - glial cells
6.400149,-71.86983,cerebral cortex - glial cells
6.39156,-71.84932,cerebral cortex - glial cells
6.370794,-71.85743,cerebral cortex - glial cells
6.3641963,-71.848946,cerebral cortex - glial cells
6.3416114,-71.90349,cerebral cortex - glial cells
6.2915015,-71.97509,cerebral cortex - glial cells
6.237625,-72.063705,cerebral cortex - glial cells
6.168324,-72.15614,cerebral cortex - glial cells
10.869143,38.538586,cerebral cortex - glial cells
10.849316,38.549786,cerebral cortex - glial cells
10.860843,38.534412,cerebral cortex - glial cells
-4.1258197,29.888819,cerebral cortex - glial cells
-4.128971,29.89541,cerebral cortex - glial cells
-4.090938,29.910557,cerebral cortex - glial cells
-4.104203,29.906357,cerebral cortex - glial cells
-4.0764165,29.911999,cerebral cortex - glial cells
9.795725,39.487453,cerebral cortex - glial cells
9.870714,39.501335,cerebral cortex - glial cells
9.821719,39.483593,cerebral cortex - glial cells
9.625294,39.446636,cerebral cortex - glial cells
9.602217,39.412617,cerebral cortex - glial cells
-4.073728,29.943983,cerebral cortex - glial cells
9.260241,39.572845,cerebral cortex - glial cells
9.231732,39.4405,cerebral cortex - glial cells
9.11917,39.442387,cerebral cortex - glial cells
9.39293,39.40262,cerebral cortex - glial cells
9.300206,39.611713,cerebral cortex - glial cells
10.622971,42.774197,cerebral cortex - glial cells
10.33249,42.41124,cerebral cortex - glial cells
9.182071,39.08546,cerebral cortex - glial cells
8.979607,38.730095,cerebral cortex - glial cells
3.7684937,11.953229,cerebral cortex - glial cells
5.279013,12.219446,cerebral cortex - glial cells
-18.816824,19.037203,cerebral cortex - glial cells
3.3145013,13.036296,cerebral cortex - glial cells
12.372914,53.791054,cerebral cortex - glial cells
6.874523,54.046078,cerebral cortex - glial cells
6.671392,54.019093,cerebral cortex - glial cells
4.882012,12.742192,cerebral cortex - glial cells
5.4478836,53.872932,cerebral cortex - glial cells
5.509745,53.874886,cerebral cortex - glial cells
5.388894,53.898518,cerebral cortex - glial cells
6.116161,59.379036,cerebral cortex - glial cells
6.15968,57.426983,cerebral cortex - glial cells
6.1595454,58.78258,cerebral cortex - glial cells
6.4729576,55.69505,cerebral cortex - glial cells
6.3334646,55.566887,cerebral cortex - glial cells
6.6758523,55.410267,cerebral cortex - glial cells
6.498164,55.43775,cerebral cortex - glial cells
6.282333,55.293526,cerebral cortex - glial cells
6.4301744,55.436283,cerebral cortex - glial cells
6.404649,55.464165,cerebral cortex - glial cells
10.693732,52.37087,cerebral cortex - glial cells
10.900798,52.433575,cerebral cortex - glial cells
10.741415,52.514336,cerebral cortex - glial cells
10.941891,52.271965,cerebral cortex - glial cells
10.927135,52.30228,cerebral cortex - glial cells
10.884855,52.396797,cerebral cortex - glial cells
10.801463,52.4576,cerebral cortex - glial cells
10.819196,52.32326,cerebral cortex - glial cells
10.495165,53.61353,cerebral cortex - glial cells
10.801623,53.2344,cerebral cortex - glial cells
10.578706,53.784554,cerebral cortex - glial cells
6.955648,55.262302,cerebral cortex - glial cells
6.397008,55.45882,cerebral cortex - glial cells
6.7684407,55.56573,cerebral cortex - glial cells
6.68673,55.160145,cerebral cortex - glial cells
6.6165957,55.258503,cerebral cortex - glial cells
6.1190543,59.3216,cerebral cortex - glial cells
6.17755,58.494762,cerebral cortex - glial cells
6.2521944,59.193405,cerebral cortex - glial cells
6.056923,58.10199,cerebral cortex - glial cells
6.023018,58.20621,cerebral cortex - glial cells
5.9853883,58.242878,cerebral cortex - glial cells
6.1086164,57.480442,cerebral cortex - glial cells
6.05624,57.519108,cerebral cortex - glial cells
5.935915,58.21966,cerebral cortex - glial cells
5.9156885,58.722466,cerebral cortex - glial cells
5.78195,59.186737,cerebral cortex - glial cells
5.8719487,58.579327,cerebral cortex - glial cells
5.903457,58.437557,cerebral cortex - glial cells
5.856535,58.892387,cerebral cortex - glial cells
5.879078,59.11987,cerebral cortex - glial cells
5.677034,59.96646,cerebral cortex - glial cells
5.7234445,59.407494,cerebral cortex - glial cells
5.8915896,58.59812,cerebral cortex - glial cells
5.816042,59.71379,cerebral cortex - glial cells
5.987984,58.88219,cerebral cortex - glial cells
5.9309115,59.40337,cerebral cortex - glial cells
5.8767605,60.22165,cerebral cortex - glial cells
5.8665643,60.08241,cerebral cortex - glial cells
5.9136643,60.571194,cerebral cortex - glial cells
5.8189087,61.229187,cerebral cortex - glial cells
5.8724766,60.35825,cerebral cortex - glial cells
5.7534757,60.99569,cerebral cortex - glial cells
5.7684784,61.05728,cerebral cortex - glial cells
5.935684,60.743443,cerebral cortex - glial cells
5.8660736,60.7261,cerebral cortex - glial cells
5.74464,62.116364,cerebral cortex - glial cells
5.839305,61.822193,cerebral cortex - glial cells
5.8306723,61.740273,cerebral cortex - glial cells
5.859646,62.457085,cerebral cortex - glial cells
5.838779,62.641045,cerebral cortex - glial cells
5.6651893,62.649445,cerebral cortex - glial cells
5.6460457,62.821426,cerebral cortex - glial cells
5.506141,62.636127,cerebral cortex - glial cells
5.661514,62.573997,cerebral cortex - glial cells
5.89614,62.43863,cerebral cortex - glial cells
5.939634,62.34704,cerebral cortex - glial cells
5.8384933,62.37564,cerebral cortex - glial cells
6.1756253,62.1352,cerebral cortex - glial cells
6.3669686,62.233734,cerebral cortex - glial cells
6.016976,62.199074,cerebral cortex - glial cells
6.9416537,61.765697,cerebral cortex - glial cells
7.0774226,61.80342,cerebral cortex - glial cells
7.259081,63.197166,cerebral cortex - glial cells
7.604002,63.33523,cerebral cortex - glial cells
7.4893885,64.0444,cerebral cortex - glial cells
6.8614364,64.15385,cerebral cortex - glial cells
7.335407,64.330574,cerebral cortex - glial cells
7.47612,64.415474,cerebral cortex - glial cells
7.018582,64.16232,cerebral cortex - glial cells
5.733877,63.611576,cerebral cortex - glial cells
5.037418,63.5541,cerebral cortex - glial cells
5.007471,63.47258,cerebral cortex - glial cells
5.489795,63.307335,cerebral cortex - glial cells
4.258432,64.37387,cerebral cortex - glial cells
4.9827313,63.73271,cerebral cortex - glial cells
3.1240673,67.10672,cerebral cortex - glial cells
3.5192575,67.145004,cerebral cortex - glial cells
3.7794776,66.85028,cerebral cortex - glial cells
4.538259,66.610756,cerebral cortex - glial cells
4.2516522,66.56681,cerebral cortex - glial cells
3.9456732,66.622185,cerebral cortex - glial cells
3.946128,66.42322,cerebral cortex - glial cells
4.085134,66.41073,cerebral cortex - glial cells
3.565535,66.84,cerebral cortex - glial cells
3.8999324,66.64559,cerebral cortex - glial cells
4.1544247,66.43728,cerebral cortex - glial cells
4.3030066,66.229645,cerebral cortex - glial cells
4.115022,65.767654,cerebral cortex - glial cells
4.0107903,66.47392,cerebral cortex - glial cells
4.49867,66.45007,cerebral cortex - glial cells
4.724683,66.13608,cerebral cortex - glial cells
4.4294133,66.34216,cerebral cortex - glial cells
5.198265,66.81169,cerebral cortex - glial cells
5.0619397,65.94865,cerebral cortex - glial cells
5.007799,66.17628,cerebral cortex - glial cells
4.011543,65.674416,cerebral cortex - glial cells
3.8839042,65.47138,cerebral cortex - glial cells
3.8166082,65.99164,cerebral cortex - glial cells
3.7072375,65.18754,cerebral cortex - glial cells
3.465541,65.95042,cerebral cortex - glial cells
3.4059386,65.88133,cerebral cortex - glial cells
3.3127863,65.88935,cerebral cortex - glial cells
3.0605593,65.36955,cerebral cortex - glial cells
2.927806,65.463394,cerebral cortex - glial cells
2.8814175,65.617874,cerebral cortex - glial cells
3.054108,65.46164,cerebral cortex - glial cells
2.9353576,66.18694,cerebral cortex - glial cells
2.7007036,66.28701,cerebral cortex - glial cells
2.7275767,66.364525,cerebral cortex - glial cells
2.7002242,66.7839,cerebral cortex - glial cells
2.72688,66.81282,cerebral cortex - glial cells
2.8479197,66.91059,cerebral cortex - glial cells
2.7467082,67.010025,cerebral cortex - glial cells
3.0100417,66.75602,cerebral cortex - glial cells
3.1424294,66.686516,cerebral cortex - glial cells
3.1595674,66.718895,cerebral cortex - glial cells
3.0045764,66.87743,cerebral cortex - glial cells
2.857384,67.12351,cerebral cortex - glial cells
2.8672705,67.17403,cerebral cortex - glial cells
2.9842048,66.99217,cerebral cortex - glial cells
3.0145628,67.273476,cerebral cortex - glial cells
3.5756514,66.04949,cerebral cortex - glial cells
3.3535905,65.926926,cerebral cortex - glial cells
2.8958783,66.15527,cerebral cortex - glial cells
3.0793035,65.87608,cerebral cortex - glial cells
3.4077156,66.18455,cerebral cortex - glial cells
3.9042647,66.53346,cerebral cortex - glial cells
4.4521756,68.27067,cerebral cortex - glial cells
4.079459,68.49888,cerebral cortex - glial cells
3.990582,68.09463,cerebral cortex - glial cells
4.9452767,69.32741,cerebral cortex - glial cells
4.9261513,69.3341,cerebral cortex - glial cells
4.7833543,69.85159,cerebral cortex - glial cells
4.3739433,71.34284,cerebral cortex - glial cells
4.3176208,71.60567,cerebral cortex - glial cells
4.326912,71.61019,cerebral cortex - glial cells
4.352938,71.57901,cerebral cortex - glial cells
4.313053,71.65292,cerebral cortex - glial cells
4.3550577,71.60062,cerebral cortex - glial cells
4.3764067,71.58838,cerebral cortex - glial cells
4.4104786,71.58381,cerebral cortex - glial cells
4.463359,71.52252,cerebral cortex - glial cells
4.4267545,71.56681,cerebral cortex - glial cells
4.496458,71.43957,cerebral cortex - glial cells
4.5978403,71.33345,cerebral cortex - glial cells
5.578173,70.177216,cerebral cortex - glial cells
6.2323775,69.98518,cerebral cortex - glial cells
6.4138455,69.58699,cerebral cortex - glial cells
6.6004653,69.54697,cerebral cortex - glial cells
6.255428,69.378586,cerebral cortex - glial cells
8.124173,68.270424,cerebral cortex - glial cells
6.1468134,69.22784,cerebral cortex - glial cells
5.835858,69.23231,cerebral cortex - glial cells
6.2623105,69.25206,cerebral cortex - glial cells
6.1937056,69.616486,cerebral cortex - glial cells
6.101159,69.88879,cerebral cortex - glial cells
6.568343,69.4102,cerebral cortex - glial cells
6.6736984,69.41404,cerebral cortex - glial cells
6.8787727,69.254074,cerebral cortex - glial cells
6.9449368,69.26781,cerebral cortex - glial cells
6.8021374,69.13911,cerebral cortex - glial cells
7.4448104,68.78092,cerebral cortex - glial cells
7.3734202,69.039696,cerebral cortex - glial cells
8.087503,68.78566,cerebral cortex - glial cells
7.365312,68.01178,cerebral cortex - glial cells
7.556736,67.570435,cerebral cortex - glial cells
6.9785156,68.21251,cerebral cortex - glial cells
7.096528,67.93929,cerebral cortex - glial cells
6.90007,68.19351,cerebral cortex - glial cells
7.18112,67.896126,cerebral cortex - glial cells
