emb0,emb1,emb2,emb3,emb4,emb5,emb6,emb7,emb8,emb9,emb10,emb11,emb12,emb13,emb14,emb15,emb16,emb17,emb18,emb19,emb20,emb21,emb22,emb23,emb24,emb25,emb26,emb27,emb28,emb29,emb30,emb31,label,file_n,sample_n,file_name
0.13868648,3.0698073,1.5421584,1.2950735,0.9070181,1.3246237,0.632286,1.4507017,0.9577229,2.5495758,0.63804233,0.3626361,0.61540747,0.9201273,0.036224484,0.578843,1.3134253,0.7123601,0.42423046,-0.48527366,2.4324012,1.2841492,0.7779998,1.2639729,2.1880682,-0.614449,0.15742326,1.4239028,1.3254204,1.4075209,0.51014215,1.120317,"uterus,_post-menopause_-_glandular_cells_2",0,2244,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
1.0706753,3.5903544,2.2847567,2.5832791,0.9506018,0.7947197,1.3245238,1.5636417,1.0019068,2.213795,0.6464527,0.62253267,0.83348167,1.2959799,0.6633412,0.33267993,1.309201,2.025922,-0.5178247,-1.8016665,1.4226245,0.83576965,1.4344664,2.420052,1.8312988,-0.07651323,-0.61803406,-0.16382515,0.5676595,0.83413243,1.0044931,0.22744691,"uterus,_post-menopause_-_glandular_cells_2",0,2882,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
0.28345427,2.525149,1.2479489,1.3911984,0.4622702,0.6065251,0.46938926,1.2655771,1.6709025,2.0058453,0.5526883,1.0099146,0.8767628,1.225624,0.36696687,0.45179468,0.71731895,1.74743,-0.6910392,-0.658379,2.2510405,1.1327635,1.2090503,1.1599374,2.3062692,0.26783258,-0.0041790605,1.1692771,0.7546776,0.33455652,0.100732386,1.3235044,"uterus,_post-menopause_-_glandular_cells_2",0,3235,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
0.719327,3.1791701,1.2811388,1.5232953,-0.7351414,0.7930605,0.9268547,1.7450583,0.9190428,0.87947553,-0.34894037,1.0788031,1.1632882,0.36211663,0.89974844,0.03792429,1.3282752,1.4761883,-0.2688287,-1.5158379,1.9163823,1.036574,0.9932271,2.411434,2.3582714,0.33891428,-0.65465665,0.35560337,1.3179096,0.629239,1.107466,0.809533,"uterus,_post-menopause_-_glandular_cells_2",0,302,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
0.88807636,2.1274452,0.98962533,1.8014098,0.34788424,1.3457284,0.65929323,1.4947578,0.624848,1.2296462,-0.70432377,1.1042597,0.67730683,0.80957115,1.0916755,0.55277777,0.7774144,0.9339247,-0.3330782,-0.832452,1.8778211,1.0221772,0.91541874,1.3424361,2.3188338,-0.03878069,0.51010585,0.67590797,1.1530554,0.7748982,1.1353923,0.9682971,"uterus,_post-menopause_-_glandular_cells_2",0,1921,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
0.36013448,3.4184275,2.069697,2.0290632,0.10874349,1.3421243,0.5793132,1.1511366,1.4706463,0.9601517,0.23165637,0.98477334,0.61325544,1.0804446,0.9538498,0.47962844,1.4276344,1.5534711,-0.31778997,-0.33486784,1.6098411,1.1635602,1.1963536,1.5812031,2.4667509,-0.05518937,0.98855823,0.76767015,0.9134818,1.2288604,0.4608731,1.9571,"uterus,_post-menopause_-_glandular_cells_2",0,4402,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
0.6647481,3.0806966,1.1628658,1.2812314,0.4240623,0.24822098,1.0376035,0.7714086,1.1210366,1.3140762,-0.8276499,0.9278391,1.505476,0.92318726,1.0135424,-0.056041658,1.0331979,0.47915474,-0.39402992,-0.68465924,3.0304608,1.3742188,0.86308587,1.5228105,2.3489482,0.5071627,0.6084583,1.2410483,1.7790864,0.014002204,0.6127958,0.8512095,"uterus,_post-menopause_-_glandular_cells_2",0,1687,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-1.1835455,3.6663752,3.1626635,2.4012046,0.016207218,0.9459542,1.4574401,1.0546159,2.9537306,2.308221,0.3530175,1.7160957,-0.22757018,1.0826888,1.1360223,-0.7910279,1.8037386,1.685196,-0.87635857,-1.5128925,1.4164364,1.7931956,1.2072726,1.8783574,3.0863636,1.1477298,0.70155746,0.8437435,-1.0171385,1.010954,0.7871222,2.3177185,"uterus,_post-menopause_-_glandular_cells_2",0,333,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
0.40625048,2.3317854,0.8525982,1.8016455,-0.6981536,1.2520446,0.72396123,1.7314475,1.1151538,1.2093593,-0.2840783,1.5695325,1.969937,0.6163537,0.6938554,0.018610835,0.73700523,1.1377997,-0.20016336,-0.6270872,3.3500724,2.4139478,0.5635545,1.6317096,3.7045817,0.6681677,-0.1363681,1.1982787,1.5218198,0.1416418,0.58963317,2.101836,"uterus,_post-menopause_-_glandular_cells_2",0,1329,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-0.3207459,2.593782,0.76898956,1.9511738,0.10359943,1.8533198,1.4214485,0.6631695,1.5870075,1.7485036,-0.20250607,1.8616548,2.3086514,0.7038069,0.27858388,-0.032441318,0.39384487,0.29372174,-0.36578208,-0.6887572,3.2748916,0.79699945,0.26435363,2.3242524,3.1823592,0.5361186,-0.6855595,2.2787993,1.1030207,-0.2920298,0.8688113,1.9696813,"uterus,_post-menopause_-_glandular_cells_2",0,2788,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
0.50760055,2.4777658,1.1492051,1.7909393,0.6647445,1.4551655,0.5382968,1.4279032,1.331131,1.8699834,0.65494704,0.34884042,0.87090045,0.79682773,0.5148637,0.17321956,0.9157694,1.1479931,-0.45272422,-1.438001,1.9050541,1.4256965,0.94362295,1.5238494,1.8055807,-0.17641044,-0.015589893,0.7303172,0.85870165,0.9107,1.1436038,0.74977696,"uterus,_post-menopause_-_glandular_cells_2",0,3832,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
0.38595697,2.9059765,1.1295948,1.7306199,0.6348346,1.5025343,-0.009199619,1.6145604,1.59149,1.705367,0.112951934,0.77762705,0.9373893,0.9708616,0.09291309,0.23804504,0.6821418,1.1767621,-0.5567418,-0.46674722,2.06075,0.8720331,1.0050226,2.2119975,1.3816638,0.069387555,-0.0944882,0.76398206,0.5967922,0.95087963,-0.05512929,1.5546714,"uterus,_post-menopause_-_glandular_cells_2",0,3391,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
0.61360013,2.839349,1.0817018,1.4713464,-1.0420687,0.8257966,1.016416,1.6699091,0.8973653,0.64621925,-0.43474633,1.4346094,1.4330246,0.6210859,0.63576376,0.11273193,1.3485287,1.6156915,-0.2878422,-1.5803592,2.0034406,1.3055168,0.92755383,2.573022,2.4534416,0.6902286,-0.8153767,0.55520517,1.6587982,0.4380809,1.1475482,1.3918259,"uterus,_post-menopause_-_glandular_cells_2",0,291,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
0.621122,3.4512725,2.221743,2.504826,1.2240734,0.66696763,1.319806,1.171282,1.8191354,1.9255178,0.35534108,0.70383155,0.5706772,0.5394998,1.5804949,0.34923267,1.1554391,1.8699795,-0.6354248,-0.66055685,2.5517359,0.23552948,1.396161,1.768108,2.1261175,0.45869946,0.2699991,0.56203234,0.35040677,1.1375908,1.3907665,0.86366504,"uterus,_post-menopause_-_glandular_cells_2",0,4975,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
1.0811677,7.363493,4.9841194,4.023916,-0.89095646,4.776246,0.9304532,0.48143882,4.895475,3.0101476,-1.3109727,-1.1932532,2.6267135,2.112591,0.3693887,-1.0138018,2.8732514,1.0810456,3.7091374,-0.50743234,4.3809505,1.1455352,0.24220955,3.451645,2.0420864,0.3762958,2.2997184,-0.032583177,1.3723329,0.9661678,3.7065706,3.9369755,"uterus,_post-menopause_-_glandular_cells_2",0,2592,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
0.25533706,3.099609,1.399026,1.5981843,0.699232,0.9216105,1.0235832,1.85334,1.5888157,1.4753917,0.28877062,0.9126337,1.9872766,1.1284773,0.7473074,-0.28385586,0.5584711,1.0234019,-0.62618506,-1.0202186,2.0985782,2.1581054,1.2332007,1.463079,1.8939099,-0.096877396,0.28403747,1.183367,2.3990889,0.20924377,0.7880878,1.5295331,"uterus,_post-menopause_-_glandular_cells_2",0,3775,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
0.8827306,3.2632918,1.9031711,1.7892315,0.37377298,0.3944534,1.2323486,2.2743502,1.4012723,1.5788713,-0.39114916,1.0532863,1.6674609,1.1391716,1.2856693,-0.48796004,1.3131814,0.90841705,-0.40897286,-0.33422232,2.0297816,1.4072261,1.458955,1.8959796,2.1944218,0.22893208,0.9996924,0.7214664,1.4218246,0.55940354,0.15101504,1.4350934,"uterus,_post-menopause_-_glandular_cells_2",0,2013,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
0.6425207,2.829505,1.3034995,1.4300346,0.4571662,0.8731399,0.6846074,1.1849949,1.2771595,1.8095757,0.37801522,1.3278849,1.2658818,1.3277545,0.2650553,0.8138439,0.48674586,1.2799642,-0.29357272,-0.536654,1.9452274,1.1740844,0.90720713,1.4973438,2.6550999,0.17163038,0.059062243,0.941529,0.9449063,0.40700316,0.34051573,1.131492,"uterus,_post-menopause_-_glandular_cells_2",0,3229,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
0.49727935,2.2168627,1.6513435,2.5571823,0.46767956,1.5565345,0.49929202,1.2543266,1.4376606,1.0424439,0.2837423,0.95467955,0.8688045,0.68760586,0.7018207,0.32393458,0.81225395,1.5713173,-0.993843,-0.7985276,1.8387868,1.0647691,1.1761498,1.1096581,2.3756666,0.19204086,0.26417655,1.1939892,1.1498135,0.75952256,0.20072263,1.7999529,"uterus,_post-menopause_-_glandular_cells_2",0,4411,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
0.71861076,3.137409,1.9169278,3.025515,0.73731303,1.0954072,1.1317476,0.96706593,1.8031094,0.6943253,-0.15622461,0.7582174,1.8200653,-0.18055475,1.6756749,-0.57502013,0.6929092,2.611118,-0.72506154,-0.9876957,3.456934,0.6337252,1.1745741,2.0117762,2.589902,0.0043554306,-0.026754677,0.93811613,0.83289576,0.4074577,1.655233,1.3192638,"uterus,_post-menopause_-_glandular_cells_2",0,4945,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
0.7944139,3.2949457,1.4244931,1.3897171,0.6413083,0.50911254,0.118032455,1.3929751,1.6541848,1.5278745,0.50405586,0.67667085,0.8676144,0.76170266,-0.08494663,0.90818727,0.9746679,1.7630316,-0.042446196,-0.2984562,2.2455688,0.5232462,0.26810062,0.77696186,2.2819102,-0.054713428,-0.61074054,0.6356391,0.08023912,1.3405402,0.48444304,1.6549888,"uterus,_post-menopause_-_glandular_cells_2",0,1001,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
0.64209193,3.9410813,1.508656,2.4305847,0.9493829,0.9976456,1.6656976,0.37950498,1.6356833,0.8648422,-0.19789743,0.39748925,1.7366343,0.5075674,0.837613,0.10849279,0.9341163,1.1376696,0.043700695,-0.57049626,2.39737,0.28151965,0.17049932,1.5203729,1.9350634,0.025692344,0.1327244,0.35023326,1.0255289,0.28149152,1.5273871,1.1319962,"uterus,_post-menopause_-_glandular_cells_2",0,4871,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
