label,bone_marrow_-_hematopoietic_cells_2,breast_-_adipocytes_2,breast_-_myoepithelial_cells_2,bronchus_-_respiratory_epithelial_cells_2,cerebellum_-_cells_in_molecular_layer_2,cerebral_cortex_-_neuropil_2,"cervix,_uterine_-_glandular_cells_2",colon_-_peripheral_nerve-ganglion_2,esophagus_-_squamous_epithelial_cells_2,fallopian_tube_-_glandular_cells_2,gallbladder_-_glandular_cells_2,heart_muscle_-_myocytes_2,hippocampus_-_glial_cells_2,kidney_-_cells_in_glomeruli_2,kidney_-_cells_in_tubules_2,lateral_ventricle_-_glial_cells_2,lateral_ventricle_-_neuronal_cells_2,liver_-_hepatocytes_2,lung_-_pneumocytes_2,nasopharynx_-_respiratory_epithelial_cells_2,ovary_-_follicle_cells_2,ovary_-_ovarian_stroma_cells_2,rectum_-_glandular_cells_2,salivary_gland_-_glandular_cells_2,seminal_vesicle_-_glandular_cells_2,skin_-_melanocytes_2,small_intestine_-_glandular_cells_2,soft_tissue_2_-_adipocytes_2,soft_tissue_2_-_fibroblasts_2,spleen_-_cells_in_white_pulp_2,"stomach,_lower_-_glandular_cells_2","stomach,_upper_-_glandular_cells_2",tonsil_-_germinal_center_cells_2,tonsil_-_non-germinal_center_cells_2,tonsil_-_squamous_epithelial_cells_2,urinary_bladder_-_urothelial_cells_2,"uterus,_post-menopause_-_glandular_cells_2","uterus,_pre-menopause_-_glandular_cells_2",vagina_-_squamous_epithelial_cells_2,vulva-anal_skin_-_epidermal_cells_2
adrenal gland - glandular cells,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.00390625,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.01171875,0.0234375,0.0,0.0,0.04296875,0.0,0.01953125,0.0,0.0,0.0390625,0.0,0.0,0.109375,0.0625,0.0,0.0,0.0,0.0,0.0
appendix - glandular cells,0.0,0.1484375,0.0234375,0.0,0.015625,0.0078125,0.0546875,0.0,0.0078125,0.01953125,0.0,0.0,0.0859375,0.0078125,0.0,0.0,0.0234375,0.0,0.33203125,0.0,0.00390625,0.05078125,0.00390625,0.0,0.0,0.08203125,0.03515625,0.0,0.0,0.0078125,0.03515625,0.0,0.0,0.01171875,0.04296875,0.0,0.0,0.0,0.0,0.0
appendix - lymphoid tissue,0.0,0.28515625,0.0,0.0,0.0,0.0,0.0,0.0,0.01171875,0.0,0.0,0.0,0.05078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5859375,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.01953125,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0
bone marrow - hematopoietic cells,0.0,0.41796875,0.0,0.0,0.16015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078125,0.0,0.0,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.01953125,0.0703125,0.0390625,0.0,0.0,0.02734375,0.1484375,0.0,0.0,0.0,0.0,0.02734375,0.0
breast - adipocytes,0.0,0.63671875,0.0,0.0,0.01171875,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0859375,0.0,0.0,0.01171875,0.0,0.0,0.01171875,0.0,0.0,0.16015625,0.0,0.0,0.0,0.0703125,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breast - glandular cells,0.0,0.06640625,0.0,0.0,0.00390625,0.53125,0.0,0.0,0.0,0.00390625,0.0,0.0,0.00390625,0.0,0.0,0.00390625,0.0,0.0,0.0,0.0,0.0703125,0.0546875,0.0,0.0,0.0,0.0,0.0,0.0,0.1328125,0.0859375,0.0,0.0,0.0,0.02734375,0.015625,0.0,0.0,0.0,0.0,0.0
breast - myoepithelial cells,0.0,0.0078125,0.0,0.0,0.0,0.15234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05859375,0.0,0.10546875,0.0,0.0,0.0,0.0,0.01171875,0.00390625,0.09765625,0.0,0.0,0.0,0.0,0.0,0.0,0.01171875,0.0,0.0,0.0,0.25,0.046875,0.0,0.0,0.078125,0.17578125,0.0
bronchus - respiratory epithelial cells,0.0,0.23828125,0.0,0.0,0.2265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.1015625,0.0,0.01953125,0.00390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1640625,0.0,0.0,0.02734375,0.11328125,0.0,0.00390625,0.0,0.0,0.0390625,0.0
cerebellum - Purkinje cells,0.0,0.0234375,0.0,0.0,0.05859375,0.0,0.0,0.1015625,0.0,0.0,0.0,0.0,0.41015625,0.0,0.0,0.0,0.0,0.0,0.03515625,0.0,0.0,0.0078125,0.0,0.0,0.1875,0.0,0.0,0.0,0.12890625,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cerebellum - cells in granular layer,0.0,0.41796875,0.0,0.0,0.0078125,0.00390625,0.0,0.0,0.0,0.0,0.0,0.0,0.01953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.046875,0.0,0.0390625,0.0,0.14453125,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.0
cerebellum - cells in molecular layer,0.0,0.1640625,0.0,0.0,0.07421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.09765625,0.0,0.0,0.12890625,0.0,0.0,0.0,0.0,0.01171875,0.0078125,0.0,0.453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
