label,bone_marrow_-_hematopoietic_cells_2,breast_-_adipocytes_2,breast_-_myoepithelial_cells_2,bronchus_-_respiratory_epithelial_cells_2,cerebellum_-_cells_in_molecular_layer_2,cerebral_cortex_-_neuropil_2,"cervix,_uterine_-_glandular_cells_2",colon_-_peripheral_nerve-ganglion_2,esophagus_-_squamous_epithelial_cells_2,fallopian_tube_-_glandular_cells_2,gallbladder_-_glandular_cells_2,heart_muscle_-_myocytes_2,hippocampus_-_glial_cells_2,kidney_-_cells_in_glomeruli_2,kidney_-_cells_in_tubules_2,lateral_ventricle_-_glial_cells_2,lateral_ventricle_-_neuronal_cells_2,liver_-_hepatocytes_2,lung_-_pneumocytes_2,nasopharynx_-_respiratory_epithelial_cells_2,ovary_-_follicle_cells_2,ovary_-_ovarian_stroma_cells_2,rectum_-_glandular_cells_2,salivary_gland_-_glandular_cells_2,seminal_vesicle_-_glandular_cells_2,skin_-_melanocytes_2,small_intestine_-_glandular_cells_2,soft_tissue_2_-_adipocytes_2,soft_tissue_2_-_fibroblasts_2,spleen_-_cells_in_white_pulp_2,"stomach,_lower_-_glandular_cells_2","stomach,_upper_-_glandular_cells_2",tonsil_-_germinal_center_cells_2,tonsil_-_non-germinal_center_cells_2,tonsil_-_squamous_epithelial_cells_2,urinary_bladder_-_urothelial_cells_2,"uterus,_post-menopause_-_glandular_cells_2","uterus,_pre-menopause_-_glandular_cells_2",vagina_-_squamous_epithelial_cells_2,vulva-anal_skin_-_epidermal_cells_2
bone_marrow_-_hematopoietic_cells_2,0.9950980392156863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004901960784313725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breast_-_adipocytes_2,0.0,0.9950980392156863,0.0,0.0,0.004901960784313725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breast_-_myoepithelial_cells_2,0.0,0.0,0.9852941176470589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004901960784313725,0.004901960784313725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004901960784313725,0.0,0.0,0.0,0.0,0.0,0.0
bronchus_-_respiratory_epithelial_cells_2,0.0,0.0,0.0,0.9754901960784313,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.004901960784313725,0.0,0.0,0.0,0.0,0.004901960784313725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004901960784313725
cerebellum_-_cells_in_molecular_layer_2,0.0,0.0,0.0,0.0,0.9950980392156863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004901960784313725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cerebral_cortex_-_neuropil_2,0.0,0.0,0.0,0.0,0.0,0.9950980392156863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004901960784313725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"cervix,_uterine_-_glandular_cells_2",0.004901960784313725,0.0,0.0,0.0,0.0,0.0,0.9852941176470589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004901960784313725,0.0,0.0,0.0,0.0,0.0,0.004901960784313725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
colon_-_peripheral_nerve-ganglion_2,0.0,0.004901960784313725,0.0,0.0,0.0,0.0,0.0,0.9705882352941176,0.0,0.0,0.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.004901960784313725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
esophagus_-_squamous_epithelial_cells_2,0.0,0.004901960784313725,0.0,0.0,0.0,0.0,0.0,0.0,0.9754901960784313,0.0,0.0,0.004901960784313725,0.0,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fallopian_tube_-_glandular_cells_2,0.0,0.0,0.0,0.0,0.004901960784313725,0.0,0.0,0.0,0.0,0.9950980392156863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
