tsne0,tsne1,label,file_n,sample_n,file_name
-35.80983,-4.4610643,"uterus,_post-menopause_-_glandular_cells_2",0,2244,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-36.948395,-1.2226632,"uterus,_post-menopause_-_glandular_cells_2",0,2882,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-40.740646,-4.956338,"uterus,_post-menopause_-_glandular_cells_2",0,3235,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-42.520393,-8.702355,"uterus,_post-menopause_-_glandular_cells_2",0,302,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-40.82702,-7.16393,"uterus,_post-menopause_-_glandular_cells_2",0,1921,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-38.50249,-3.1445968,"uterus,_post-menopause_-_glandular_cells_2",0,4402,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-44.948296,-8.564973,"uterus,_post-menopause_-_glandular_cells_2",0,1687,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-37.37675,-3.9756272,"uterus,_post-menopause_-_glandular_cells_2",0,333,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-46.02503,-10.675091,"uterus,_post-menopause_-_glandular_cells_2",0,1329,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-45.662617,-10.727853,"uterus,_post-menopause_-_glandular_cells_2",0,2788,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-39.272358,-4.28582,"uterus,_post-menopause_-_glandular_cells_2",0,3832,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-39.981915,-1.7144543,"uterus,_post-menopause_-_glandular_cells_2",0,3391,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-42.640892,-8.87195,"uterus,_post-menopause_-_glandular_cells_2",0,291,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-36.712254,-1.308629,"uterus,_post-menopause_-_glandular_cells_2",0,4975,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-42.638714,-1.0965214,"uterus,_post-menopause_-_glandular_cells_2",0,2592,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-45.68096,-8.641215,"uterus,_post-menopause_-_glandular_cells_2",0,3775,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-45.060123,-4.2916055,"uterus,_post-menopause_-_glandular_cells_2",0,2013,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-40.808468,-5.1929092,"uterus,_post-menopause_-_glandular_cells_2",0,3229,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-41.51411,-6.6334963,"uterus,_post-menopause_-_glandular_cells_2",0,4411,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-44.3379,-5.5273333,"uterus,_post-menopause_-_glandular_cells_2",0,4945,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-36.37255,-3.6197546,"uterus,_post-menopause_-_glandular_cells_2",0,1001,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-43.30391,-5.454214,"uterus,_post-menopause_-_glandular_cells_2",0,4871,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
