tsne0,tsne1,label,file_n,sample_n,file_name
40.82876,-1.2548722,"uterus,_post-menopause_-_glandular_cells_2",0,2244,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
40.30944,-4.8418074,"uterus,_post-menopause_-_glandular_cells_2",0,2882,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
45.065586,-1.5749998,"uterus,_post-menopause_-_glandular_cells_2",0,3235,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
49.134968,0.28069496,"uterus,_post-menopause_-_glandular_cells_2",0,302,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
46.734917,-0.54989785,"uterus,_post-menopause_-_glandular_cells_2",0,1921,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
42.49917,-4.289284,"uterus,_post-menopause_-_glandular_cells_2",0,4402,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
51.754433,-1.4496297,"uterus,_post-menopause_-_glandular_cells_2",0,1687,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
41.72564,-4.6878123,"uterus,_post-menopause_-_glandular_cells_2",0,333,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
53.405434,0.053751767,"uterus,_post-menopause_-_glandular_cells_2",0,1329,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
53.20709,0.2809256,"uterus,_post-menopause_-_glandular_cells_2",0,2788,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
44.552513,-2.9110236,"uterus,_post-menopause_-_glandular_cells_2",0,3832,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
43.53981,-2.9290173,"uterus,_post-menopause_-_glandular_cells_2",0,3391,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
49.57519,0.48413837,"uterus,_post-menopause_-_glandular_cells_2",0,291,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
40.67076,-4.620617,"uterus,_post-menopause_-_glandular_cells_2",0,4975,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
47.227806,-6.3329964,"uterus,_post-menopause_-_glandular_cells_2",0,2592,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
51.557755,-1.0527234,"uterus,_post-menopause_-_glandular_cells_2",0,3775,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
50.449684,-3.1771138,"uterus,_post-menopause_-_glandular_cells_2",0,2013,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
45.54828,-1.3889976,"uterus,_post-menopause_-_glandular_cells_2",0,3229,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
47.09693,-0.53728515,"uterus,_post-menopause_-_glandular_cells_2",0,4411,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
49.565018,-4.099942,"uterus,_post-menopause_-_glandular_cells_2",0,4945,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
40.820614,-2.546054,"uterus,_post-menopause_-_glandular_cells_2",0,1001,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
48.0037,-3.7408369,"uterus,_post-menopause_-_glandular_cells_2",0,4871,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
43.221687,-3.806018,"uterus,_post-menopause_-_glandular_cells_2",0,1428,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
39.933903,-4.581576,"uterus,_post-menopause_-_glandular_cells_2",0,4960,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
50.124195,-0.39956474,"uterus,_post-menopause_-_glandular_cells_2",0,1119,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
