tsne0,tsne1,label,file_n,sample_n,file_name
54.376392,56.905685,kidney_-_cells_in_tubules_2,0,2244,kidney_-_cells_in_tubules_2_5000(5)
48.98395,53.83573,kidney_-_cells_in_tubules_2,0,2882,kidney_-_cells_in_tubules_2_5000(5)
57.939068,47.54124,kidney_-_cells_in_tubules_2,0,3235,kidney_-_cells_in_tubules_2_5000(5)
50.50372,47.02441,kidney_-_cells_in_tubules_2,0,302,kidney_-_cells_in_tubules_2_5000(5)
51.803955,53.78543,kidney_-_cells_in_tubules_2,0,1921,kidney_-_cells_in_tubules_2_5000(5)
46.65522,54.528755,kidney_-_cells_in_tubules_2,0,4402,kidney_-_cells_in_tubules_2_5000(5)
56.478054,51.447937,kidney_-_cells_in_tubules_2,0,1687,kidney_-_cells_in_tubules_2_5000(5)
47.776417,54.75956,kidney_-_cells_in_tubules_2,0,333,kidney_-_cells_in_tubules_2_5000(5)
51.361473,54.54892,kidney_-_cells_in_tubules_2,0,1329,kidney_-_cells_in_tubules_2_5000(5)
52.633537,51.49691,kidney_-_cells_in_tubules_2,0,2788,kidney_-_cells_in_tubules_2_5000(5)
50.55669,56.663273,kidney_-_cells_in_tubules_2,0,3832,kidney_-_cells_in_tubules_2_5000(5)
54.10697,47.0083,kidney_-_cells_in_tubules_2,0,3391,kidney_-_cells_in_tubules_2_5000(5)
50.505653,47.029774,kidney_-_cells_in_tubules_2,0,291,kidney_-_cells_in_tubules_2_5000(5)
55.670025,53.57512,kidney_-_cells_in_tubules_2,0,4975,kidney_-_cells_in_tubules_2_5000(5)
60.78493,50.103195,kidney_-_cells_in_tubules_2,0,2592,kidney_-_cells_in_tubules_2_5000(5)
53.142624,53.726326,kidney_-_cells_in_tubules_2,0,3775,kidney_-_cells_in_tubules_2_5000(5)
57.57576,54.0376,kidney_-_cells_in_tubules_2,0,2013,kidney_-_cells_in_tubules_2_5000(5)
57.956146,47.571922,kidney_-_cells_in_tubules_2,0,3229,kidney_-_cells_in_tubules_2_5000(5)
46.628,54.536987,kidney_-_cells_in_tubules_2,0,4411,kidney_-_cells_in_tubules_2_5000(5)
55.2269,53.374092,kidney_-_cells_in_tubules_2,0,4945,kidney_-_cells_in_tubules_2_5000(5)
52.34396,52.72158,kidney_-_cells_in_tubules_2,0,1001,kidney_-_cells_in_tubules_2_5000(5)
48.58254,55.098263,kidney_-_cells_in_tubules_2,0,4871,kidney_-_cells_in_tubules_2_5000(5)
56.773064,52.644,kidney_-_cells_in_tubules_2,0,1428,kidney_-_cells_in_tubules_2_5000(5)
55.113155,53.43887,kidney_-_cells_in_tubules_2,0,4960,kidney_-_cells_in_tubules_2_5000(5)
50.717968,54.616734,kidney_-_cells_in_tubules_2,0,1119,kidney_-_cells_in_tubules_2_5000(5)
55.16041,53.373505,kidney_-_cells_in_tubules_2,0,4951,kidney_-_cells_in_tubules_2_5000(5)
50.744133,51.78605,kidney_-_cells_in_tubules_2,0,2819,kidney_-_cells_in_tubules_2_5000(5)
57.42725,54.010674,kidney_-_cells_in_tubules_2,0,2009,kidney_-_cells_in_tubules_2_5000(5)
47.86084,54.352264,kidney_-_cells_in_tubules_2,0,4441,kidney_-_cells_in_tubules_2_5000(5)
51.09575,52.492165,kidney_-_cells_in_tubules_2,0,520,kidney_-_cells_in_tubules_2_5000(5)
51.645164,53.331688,kidney_-_cells_in_tubules_2,0,4086,kidney_-_cells_in_tubules_2_5000(5)
52.253033,50.125916,kidney_-_cells_in_tubules_2,0,2314,kidney_-_cells_in_tubules_2_5000(5)
