tsne0,tsne1,label,file_n,sample_n,file_name
-65.12146,-47.229195,kidney_-_cells_in_tubules_2,0,2244,kidney_-_cells_in_tubules_2_5000(5)
-56.863636,-46.68415,kidney_-_cells_in_tubules_2,0,2882,kidney_-_cells_in_tubules_2_5000(5)
-68.31429,-38.183212,kidney_-_cells_in_tubules_2,0,3235,kidney_-_cells_in_tubules_2_5000(5)
-65.12364,-38.771545,kidney_-_cells_in_tubules_2,0,302,kidney_-_cells_in_tubules_2_5000(5)
-60.476635,-42.903744,kidney_-_cells_in_tubules_2,0,1921,kidney_-_cells_in_tubules_2_5000(5)
-58.847458,-46.830917,kidney_-_cells_in_tubules_2,0,4402,kidney_-_cells_in_tubules_2_5000(5)
-68.67064,-42.754383,kidney_-_cells_in_tubules_2,0,1687,kidney_-_cells_in_tubules_2_5000(5)
-57.098324,-47.710186,kidney_-_cells_in_tubules_2,0,333,kidney_-_cells_in_tubules_2_5000(5)
-65.40926,-43.041145,kidney_-_cells_in_tubules_2,0,1329,kidney_-_cells_in_tubules_2_5000(5)
-69.11795,-40.349495,kidney_-_cells_in_tubules_2,0,2788,kidney_-_cells_in_tubules_2_5000(5)
-58.745525,-46.347046,kidney_-_cells_in_tubules_2,0,3832,kidney_-_cells_in_tubules_2_5000(5)
-64.55171,-37.08053,kidney_-_cells_in_tubules_2,0,3391,kidney_-_cells_in_tubules_2_5000(5)
-64.51361,-37.79669,kidney_-_cells_in_tubules_2,0,291,kidney_-_cells_in_tubules_2_5000(5)
-70.313866,-36.132866,kidney_-_cells_in_tubules_2,0,4975,kidney_-_cells_in_tubules_2_5000(5)
-58.06091,-31.010406,kidney_-_cells_in_tubules_2,0,2592,kidney_-_cells_in_tubules_2_5000(5)
-64.6984,-37.41837,kidney_-_cells_in_tubules_2,0,3775,kidney_-_cells_in_tubules_2_5000(5)
-67.23372,-40.635033,kidney_-_cells_in_tubules_2,0,2013,kidney_-_cells_in_tubules_2_5000(5)
-68.85357,-37.563923,kidney_-_cells_in_tubules_2,0,3229,kidney_-_cells_in_tubules_2_5000(5)
-58.62905,-46.88274,kidney_-_cells_in_tubules_2,0,4411,kidney_-_cells_in_tubules_2_5000(5)
-68.18862,-37.602158,kidney_-_cells_in_tubules_2,0,4945,kidney_-_cells_in_tubules_2_5000(5)
-64.69518,-40.74676,kidney_-_cells_in_tubules_2,0,1001,kidney_-_cells_in_tubules_2_5000(5)
-56.81411,-46.869522,kidney_-_cells_in_tubules_2,0,4871,kidney_-_cells_in_tubules_2_5000(5)
-64.82117,-41.88177,kidney_-_cells_in_tubules_2,0,1428,kidney_-_cells_in_tubules_2_5000(5)
-63.944572,-38.01891,kidney_-_cells_in_tubules_2,0,4960,kidney_-_cells_in_tubules_2_5000(5)
-59.778477,-42.582165,kidney_-_cells_in_tubules_2,0,1119,kidney_-_cells_in_tubules_2_5000(5)
-65.43864,-40.392082,kidney_-_cells_in_tubules_2,0,4951,kidney_-_cells_in_tubules_2_5000(5)
-59.927277,-43.575485,kidney_-_cells_in_tubules_2,0,2819,kidney_-_cells_in_tubules_2_5000(5)
-68.802055,-42.564224,kidney_-_cells_in_tubules_2,0,2009,kidney_-_cells_in_tubules_2_5000(5)
-57.56898,-46.788654,kidney_-_cells_in_tubules_2,0,4441,kidney_-_cells_in_tubules_2_5000(5)
-60.402565,-43.25726,kidney_-_cells_in_tubules_2,0,520,kidney_-_cells_in_tubules_2_5000(5)
-59.831966,-43.246124,kidney_-_cells_in_tubules_2,0,4086,kidney_-_cells_in_tubules_2_5000(5)
-69.82457,-37.4739,kidney_-_cells_in_tubules_2,0,2314,kidney_-_cells_in_tubules_2_5000(5)
-64.48751,-38.885735,kidney_-_cells_in_tubules_2,0,4365,kidney_-_cells_in_tubules_2_5000(5)
-56.528656,-47.057743,kidney_-_cells_in_tubules_2,0,1237,kidney_-_cells_in_tubules_2_5000(5)
-62.665592,-45.94358,kidney_-_cells_in_tubules_2,0,4528,kidney_-_cells_in_tubules_2_5000(5)
-58.031242,-30.953629,kidney_-_cells_in_tubules_2,0,1800,kidney_-_cells_in_tubules_2_5000(5)
-56.2391,-46.82676,kidney_-_cells_in_tubules_2,0,1951,kidney_-_cells_in_tubules_2_5000(5)
-63.666557,-36.876698,kidney_-_cells_in_tubules_2,0,2620,kidney_-_cells_in_tubules_2_5000(5)
-64.157974,-44.659126,kidney_-_cells_in_tubules_2,0,3282,kidney_-_cells_in_tubules_2_5000(5)
15.4462385,-55.14372,kidney_-_cells_in_tubules_2,0,499,kidney_-_cells_in_tubules_2_5000(5)
-58.36427,-42.17126,kidney_-_cells_in_tubules_2,0,4891,kidney_-_cells_in_tubules_2_5000(5)
-62.57808,-46.961777,kidney_-_cells_in_tubules_2,0,3842,kidney_-_cells_in_tubules_2_5000(5)
-61.746742,-44.479794,kidney_-_cells_in_tubules_2,0,138,kidney_-_cells_in_tubules_2_5000(5)
-60.60943,-41.509907,kidney_-_cells_in_tubules_2,0,1831,kidney_-_cells_in_tubules_2_5000(5)
-56.623306,-47.15898,kidney_-_cells_in_tubules_2,0,3706,kidney_-_cells_in_tubules_2_5000(5)
-57.182365,-46.783295,kidney_-_cells_in_tubules_2,0,2964,kidney_-_cells_in_tubules_2_5000(5)
-65.39888,-37.018826,kidney_-_cells_in_tubules_2,0,4852,kidney_-_cells_in_tubules_2_5000(5)
-61.28455,-41.2975,kidney_-_cells_in_tubules_2,0,3755,kidney_-_cells_in_tubules_2_5000(5)
-62.55718,-44.63428,kidney_-_cells_in_tubules_2,0,1432,kidney_-_cells_in_tubules_2_5000(5)
-63.63303,-37.347027,kidney_-_cells_in_tubules_2,0,39,kidney_-_cells_in_tubules_2_5000(5)
-65.4307,-36.775917,kidney_-_cells_in_tubules_2,0,4194,kidney_-_cells_in_tubules_2_5000(5)
-66.371414,-42.67147,kidney_-_cells_in_tubules_2,0,2062,kidney_-_cells_in_tubules_2_5000(5)
-67.28821,-43.68467,kidney_-_cells_in_tubules_2,0,1969,kidney_-_cells_in_tubules_2_5000(5)
-60.418594,-44.3786,kidney_-_cells_in_tubules_2,0,308,kidney_-_cells_in_tubules_2_5000(5)
-67.93172,-43.753067,kidney_-_cells_in_tubules_2,0,3172,kidney_-_cells_in_tubules_2_5000(5)
-59.650425,-42.815228,kidney_-_cells_in_tubules_2,0,4281,kidney_-_cells_in_tubules_2_5000(5)
-65.44577,-42.49871,kidney_-_cells_in_tubules_2,0,3479,kidney_-_cells_in_tubules_2_5000(5)
-57.554928,-46.65147,kidney_-_cells_in_tubules_2,0,4256,kidney_-_cells_in_tubules_2_5000(5)
-60.11907,-41.88512,kidney_-_cells_in_tubules_2,0,4319,kidney_-_cells_in_tubules_2_5000(5)
-60.89489,-40.76111,kidney_-_cells_in_tubules_2,0,4166,kidney_-_cells_in_tubules_2_5000(5)
-61.65576,-42.12211,kidney_-_cells_in_tubules_2,0,2709,kidney_-_cells_in_tubules_2_5000(5)
-61.580063,-42.28457,kidney_-_cells_in_tubules_2,0,906,kidney_-_cells_in_tubules_2_5000(5)
-63.10585,-46.794094,kidney_-_cells_in_tubules_2,0,4473,kidney_-_cells_in_tubules_2_5000(5)
-65.26278,-42.707867,kidney_-_cells_in_tubules_2,0,2951,kidney_-_cells_in_tubules_2_5000(5)
-64.75469,-37.80489,kidney_-_cells_in_tubules_2,0,3936,kidney_-_cells_in_tubules_2_5000(5)
-58.53359,-42.10635,kidney_-_cells_in_tubules_2,0,3058,kidney_-_cells_in_tubules_2_5000(5)
-58.564285,-42.354515,kidney_-_cells_in_tubules_2,0,2858,kidney_-_cells_in_tubules_2_5000(5)
-66.97541,-36.21725,kidney_-_cells_in_tubules_2,0,3237,kidney_-_cells_in_tubules_2_5000(5)
-57.875053,-46.10656,kidney_-_cells_in_tubules_2,0,1521,kidney_-_cells_in_tubules_2_5000(5)
-68.91395,-36.789776,kidney_-_cells_in_tubules_2,0,861,kidney_-_cells_in_tubules_2_5000(5)
-61.504414,-46.725517,kidney_-_cells_in_tubules_2,0,942,kidney_-_cells_in_tubules_2_5000(5)
-62.709812,-42.88449,kidney_-_cells_in_tubules_2,0,2307,kidney_-_cells_in_tubules_2_5000(5)
